
campaigncutscene_tooltip 				(Fai clic per avviare il prossimo capitolo della storia)
adviser_food_troublesoon5				Voglio anche una pattuglia a protezione del cortile interno, dove costruiremo le nuove strutture.
adviser_food_troublesoon6				Un'ultima cosa: a seguito dell'incendio, alcune casse di cibo si sono guastate. Se non vogliamo fare i conti con un'infestazione, dobbiamo sbarazzarcene.

objective_food_deployguards				Schiera 10 guardie all'interno della prigione
objective_food_deploypatrol				Invia 2 uomini a pattugliare il cortile interno

objective_food_deployguards_description		Per schierare le tue guardie, apri la schermata Dispiegamento e fai clic in un settore per creare una stazione. A questo punto, una guardia verrà automaticamente assegnata a quella determinata stazione.
objective_food_deploypatrol_description		Apri la schermata Dispiegamento e fai clic su Pattuglie, dopodiché trascina il cursore per tracciare i percorsi da sorvegliare.\n\nPer assegnare una guardia a una pattuglia, fai di nuovo clic in un punto qualunque della stessa.

objective_food_dumpfood 				Sbarazzati del cibo avariato
objective_food_dumpfood_description		Le scorte di cibo avariato sono conservate nel magazzino, nel quadrante nord-est della prigione.\n\nPer gettare via un oggetto, fai clic su di esso e poi sulla scritta "Butta".

adviser_food_doncantspeak1				....
adviser_food_doncantspeak2				eeugh .... ...

adviser_food_doninfirmary0              Credo che stia cercando di dirci qualcosa.
adviser_food_doninfirmary1				Chi di voi schifosi figli di puttana succhiacazzi ha combinato questo casino?
adviser_food_doninfirmary2 				È stato un incidente. Non ti faremmo mai del male.
adviser_food_doninfirmary3 				Chiudete il becco e statemi bene a sentire, tutti e due.
adviser_food_doninfirmary4 				Se sapessi chi di voi due stronzi ha appiccato l'incendio, gli spezzerei il collo.
adviser_food_doninfirmary5 				Ma ormai è giunta la mia ora: morirò in questo squallido letto.
adviser_food_doninfirmary6 				Ci sono gli affari di famiglia da gestire: il nome Palermo è tutto ciò che ci rimane, quindi vedete di non mandare tutto a puttane, luride teste di cazzo. Mi avete sentito?
adviser_food_doninfirmary7				Sappiamo cosa fare.
adviser_food_donchat13					Non finisce qui, Nico.
adviser_food_donchat14					Farai bene a guardarti le spalle.

adviser_food_founddrugs1				Non crederai mai a ciò che mi è stato detto.
adviser_food_founddrugs2				I ragazzi stavano gettando via le scorte di cibo avariato, quando hanno scoperto dei carichi di droga e alcol nascosti nelle casse.
adviser_food_founddrugs3				Era da tempo che sospettavamo che la famiglia Palermo avesse trovato il modo di introdurre qui la sua merce, ma non riuscivamo a capire in che modo.
adviser_food_founddrugs4 				Piove sul bagnato.

adviser_food_rebuild1                   Abbiamo ancora molto lavoro da fare: dobbiamo rimettere in sesto la cucina e la mensa.
adviser_food_rebuild2                   Per prima cosa, dobbiamo ricostruire la cucina. Saranno necessari diversi utensili e dovremo assumere dei cuochi.
adviser_food_rebuild3					A quel punto, potremo concentrarci sulla mensa.
adviser_food_rebuild4					Quando avrai portato a termine l'incarico, i cuochi cominceranno automticamente a cucinare per i detenuti.
adviser_food_rebuild5                   Se non sai come procedere, prova a evidenziare l'obiettivo nella lista degli incarichi per visualizzare degli utili suggerimenti.

adviser_food_fightoutro1  				Fantastico: sembra che la famiglia Palermo si stia facendo sempre meno numerosa.

adviser_food_sprinklerintro1 			Quello del contrabbando di droga è un problema da non sottovalutare, ma ora abbiamo questioni più urgenti di cui occuparci.
adviser_food_sprinklerintro2 			Abbiamo rimesso a nuovo la cantina e la mensa: i nostri cuochi possono iniziare a cucinare, il che dovrebbe raffreddare un po' gli animi.
adviser_food_sprinklers1                Sono convinto che l'incendio non è stato accidentale. Dobbiamo impedire che ciò accada di nuovo.
adviser_food_sprinklers2 				Installa un impianto di irrigazione sopra la cucina e la mensa e collegalo alle tubature dell'acqua.

adviser_food_explainneeds1 				I prigionieri hanno delle necessità che influenzano il loro comportamento. In questo momento i carcerati sono molto affamati, ed è per questo che gridano in continuazione.
adviser_food_explainneeds2 				Il cibo è un bisogno primario: cerca di tenerlo bene a mente. Lascia i detenuti senza cibo per un paio di giorni e scoprirai cosa si prova a ritrovarsi nel bel mezzo di una rivolta.
adviser_food_explainneeds3 				Puoi tenere traccia dei bisogni dei tuoi prigionieri tramite il Resoconto delle necessità, al quale puoi accedere tramite l'icona Resoconti nell'angolo in basso a destra.
adviser_food_explainneeds4				Questo resoconto ti fornisce indicazioni sui bisogni dei detenuti: il colore rosso indica che i carcerati sono furiosi poiché una loro particolare necessità non è ancora stata soddisfatta.
adviser_food_explainneeds5 				Come puoi immaginare, l'indicatore del cibo è rosso per praticamente tutti i prigionieri, che sono però anche annoiati (bisogno di Ricreazione) e a disagio a causa dello stato fatiscente della struttura (bisogno di Ambiente e Vestiti).
adviser_food_explainneeds6				In quanto responsabile della prigione, spetterà a te decidere quali bisogni soddisfare in primo luogo. Per esempio, potresti installare dei televisori nelle celle per tenere i detenuti occupati e assumere degli inservienti per dare una bella ripulita.
adviser_food_explainneeds7				In alternativa, puoi scegliere di ignorare le richieste dei detenuti e mantenere il controllo della prigione facendo affidamento sulla repressione violenta.
adviser_food_explainneeds8 				Procedi come meglio credi.

objective_food_needs 					(OPZIONALE) Soddisfa i bisogni dei detenuti
objective_food_handlefoodneed 			(OPZIONALE) Sfama i detenuti
objective_food_handleboredomneed		(OPZIONALE) Offri un po' di svago ai detenuti
objective_food_handleenvironmentneed	(OPZIONALE) Prenditi cura dell'ambiente in cui sono costretti a vivere i detenuti

objective_food_needs_description 					Puoi visualizzare una panoramica dei bisogni dei carcerati facendo clic su Resoconti (nell'angolo in basso a destra dello schermo) e poi su Necessità.\nPuoi anche selezionare un prigioniero in particolare per scoprire di cosa ha bisogno.\n\nNon è possibile soddisfare i vari bisogni in maniera permanente: questa è una battaglia sempre aperta.
objective_food_handlefoodneed_description 			I nostri cuochi cucineranno per tutti: a breve, i carcerati dovrebbero avere la pancia piena.
objective_food_handleboredomneed_description 		È possibile contrastare la noia installando dei televisori nelle varie celle o, in alternativa, costruendo una sala ricreativa in cui collocare TV e tavoli da biliardo.\n\nPuoi collocare dei televisori anche nelle sale comuni come la mensa.
objective_food_handleenvironmentneed_description 	Assumi degli inservienti per fare sì che ripuliscano la prigione.

adviser_food_needssuccess1 				Hai dimostrato di avere molto a cuore i bisogni dei detenuti. Ben fatto.
adviser_food_needssuccess2 				Come avrai notato, le lamentele dei prigionieri ora riguardano principalmente la mancanza di vestiti puliti.
adviser_food_needssuccess3 				Se desideri occuparti anche di questo bisogno, devi sbloccare la lavanderia, che ti permetterà di fornire ai detenuti dei vestiti puliti.
adviser_food_needssuccess4 				Costruisci una lavanderia e assumi altri inservienti per fornire ai detenuti dei vestiti puliti.

objective_food_laundry 					(OPZIONALE) Vestiti puliti
objective_food_buildlaundry 			(OPZIONALE) Costruisci una lavanderia automatica
objective_food_hirejanitors             (OPZIONALE) Assumi un numero sufficiente di inservienti per la lavanderia
objective_food_handleclothingneed 		(OPZIONALE) Fornisci dei vestiti puliti ai detenuti

objective_food_buildkitchen             Costruisci una cucina (circa 12 metri quadrati)
objective_food_buildkitchencookers      Installa almeno quattro fornelli
objective_food_buildkitchenfridges      Installa almeno quattro frigoriferi
objective_food_buildkitchensink         Installa almeno un lavello
objective_food_buildkitchenbin	 		Colloca un bidone della spazzatura in cucina
objective_food_buildkitchenwatermains 	Collega il lavello alle tubature dell'acqua
objective_food_buildkitchenfloor 		(OPZIONALE) Migliora il pavimento della cucina

objective_food_buildkitchen_description		Per prima cosa, dovrai costruire le fondamenta.
objective_food_buildcanteen_description		Per prima cosa, dovrai costruire le fondamenta.

objective_Food_HireChefs				Assumi almeno 8 cuochi
objective_food_CookMeals				(Automatico) Prepara del cibo per tutti i detenuti

objective_food_buildcanteen             Costruisci una mensa (circa 20 metri quadrati)
objective_food_buildservingtables       Colloca due tavoli nella mensa
objective_food_buildcanteentables       Colloca almeno sei tavoli nella mensa
objective_food_buildcanteenchairs       Colloca due panche intorno a ogni tavolo
objective_food_buildcanteenbin	 		Colloca un bidone della spazzatura nella mensa
objective_food_buildcanteenfloor 		(OPZIONALE) Migliora il pavimento della mensa


objective_food_buildsprinklers          Installa un nuovo impianto di irrigazione
objective_food_buildsprinklers1         Installa un paio di irrigatori in cucina
objective_food_buildsprinklers2         Installa un paio di irrigatori nella mensa
objective_food_connectwater             Collega gli irrigatori della cucina alle tubature dell'acqua
objective_food_connectwater2			Collega gli irrigatori della mensa alle tubature dell'acqua
objective_food_feedprisoners            Servi la cena a tutti i detenuti

objective_food_buildkitchenwatermains_description   I tubi grandi vengono utilizzati per spostare ingenti quantitativi d'acqua ad alta pressione, mentre quelli piccoli servono a collegare i vari oggetti alla rete di tubazioni.\n\nUtilizza la modalità STRUMENTI per dotare i tuoi edifici di tubi grandi, che dovrai poi collegare ai vari oggetti che necessitano di acqua tramite tubi piccoli.
objective_food_connectwater_description             I tubi grandi vengono utilizzati per spostare ingenti quantitativi d'acqua ad alta pressione, mentre quelli piccoli servono a collegare i vari oggetti alla rete di tubazioni.\n\nUtilizza la modalità STRUMENTI per dotare i tuoi edifici di tubi grandi, che dovrai poi collegare ai vari oggetti che necessitano di acqua tramite tubi piccoli.
objective_food_connectwater2_description            I tubi grandi vengono utilizzati per spostare ingenti quantitativi d'acqua ad alta pressione, mentre quelli piccoli servono a collegare i vari oggetti alla rete di tubazioni.\n\nUtilizza la modalità STRUMENTI per dotare i tuoi edifici di tubi grandi, che dovrai poi collegare ai vari oggetti che necessitano di acqua tramite tubi piccoli.

campaigncutscene_foodinfirmary			Infermeria
campaigncutscene_foodfamily             Famiglia
campaigncutscene_foodfeud               Faida
campaigncutscene_foodregret				Rimorso
campaigncutscene_foodsuccession 		Successione

campaigncutscene_foodfamily_description		Un tempo, la famiglia Palermo gestiva tutti i traffici di droga della costa est degli Stati Uniti. Scopri la storia di Don Palermo e dei suoi figli.

adviser_name_thedon                     Don Palermo
adviser_name_thedonangry                Don Palermo
adviser_name_nico                       Nico Tamoretti 
adviser_name_nicoshower					Nico Tamoretti
adviser_name_nicosuited					Nico Tamoretti
adviser_name_sonny                      Sonny Palermo 
adviser_name_sonnysuited				Sonny Palermo
adviser_name_sonnystrangled				Sonny Palermo
adviser_name_anthonysuited				Anthony Palermo
adviser_name_wiggins					Wiggins
adviser_name_nicoinfirmary				Nico Tamoretti
adviser_name_vitalia					Vitalia Palermo

cutscene_foodfamily_palermo01			Don Victor Palermo, boss di una delle cosche mafiose più temibili della costa orientale.
cutscene_foodfamily_palermo1			I Palermo sono riusciti a eludere i controlli dell'FBI per decenni.
cutscene_foodfamily_palermo02			Anthony Palermo, primogenito del boss e suo erede naturale, si occupava delle faccende di tutti i giorni.
cutscene_foodfamily_palermo03			Nico Tamoretti non era un uomo d'onore, ma venne accolto all'interno della famiglia in seguito al suo matrimonio con Vitalia, unica figlia del boss.
cutscene_foodfamily_palermo04			Sonny Palermo, secondogenito del Don e membro più giovane della famiglia. La stessa tempra di un pitbull… e metà della sua intelligenza.

cutscene_foodfamily_palermo2 			La loro famiglia gestiva un traffico di narcotici che si estendeva dal Maine alla Florida.
cutscene_foodfamily_palermo3			Ma la situazione cambiò quando Anthony venne colto in flagrante.
cutscene_foodfamily_palermo3b           Freddato da un marito geloso.
cutscene_foodfamily_palermo4			Purtroppo per la famiglia, quando la polizia accorse sulla scena del crimine rinvenne dodici chili di cocaina non tagliata nella borsa sportiva di Anthony.
cutscene_foodfamily_palermo5			Fu un duro colpo per la cosca.
cutscene_foodfamily_palermo6			Tutto ciò che la famiglia Palermo aveva costruito crollò in un batter d'occhio. L'FBI disponeva di tutte le prove necessarie a sbattere in galera tutti i membri della cosca.
cutscene_foodfamily_palermo7			A questo punto, Vitalia, la figlia del boss, rimane l'unica della famiglia a non essere dietro le sbarre... o sottoterra.
cutscene_foodfamily_palermo8			Non sappiamo nulla di lei, se non che è sempre stata tenuta fuori dal giro d'affari della famiglia.
cutscene_foodfamily_palermo9 			Eppure, qualcuno deve pur avere introdotto quella droga dall'esterno.

adviser_food_findalldrugs1				Il problema del cibo è risolto: con la pancia piena, i detenuti saranno molto più rilassati.

adviser_food_findalldrugs2				I Palermo vendevano quella droga a tutti i detenuti della prigione, ci metto la mano sul fuoco.
adviser_food_findalldrugs3				Le guardie dicono di avere notato in molti detenuti i sintomi tipici dell'astinenza.
adviser_food_findalldrugs4				Voglio che i detenuti e le loro celle vengano perquisiti: scommetto che troveremo la droga dei Palermo in ogni angolo del carcere.

objective_food_findalldrugs					Trova tutta la droga presente nella prigione
objective_food_findalldrugs_description 	Perquisisci i vari blocchi di celle facendo clic su uno dei prigionieri al suo interno e poi su "Esamina blocco", oppure utilizza l'opzione Perquisizione nella barra degli strumenti nella parte bassa dello schermo.

objective_food_hiremoreguards 			(OPZIONALE) Assumi più guardie per velocizzare le ricerche

adviser_food_drugsfound1				Il lato positivo è che la situazione non è poi così grave, ma alcuni detenuti presentano i chiari sintomi di una dipendenza da droga e alcol.
adviser_food_drugsfound2				Dobbiamo aiutarli a vincere la loro dipendenza e a combatterne i sintomi.
adviser_food_drugsfound2b 				Avvia un programma di trattamento delle tossicodipendenze presso l'infermeria: i nostri dottori somministreranno ai detenuti un sostituto chimico che allevierà le loro crisi.
adviser_food_drugsfound3				Per quanto riguarda l'alcol, non esiste un valido sostituto chimico, pertanto ritengo che potremmo affidarci a una terapia di gruppo.
adviser_food_drugsfound4				Avrai bisogno di una nuova sala comune in cui tenere gli incontri.
adviser_food_drugsfound5				Per avviare un nuovo programma, accedi alla sezione "Resoconti" nell'angolo in basso a destra dello schermo e fai clic su "Programmi".

objective_food_drugtreatment			Avvia un programma di trattamento delle tossicodipendenze
objective_food_cureaddictions			(OPZIONALE) Inizia a occuparti della tossicodipendenza dei detenuti
objective_food_alcoholprogram			Avvia una terapia di gruppo per abuso di alcol
objective_Food_HelpAlcoholics			(OPZIONALE) Inizia ad aiutare gli alcolisti
objective_food_buildcommonroom 			Costruisci una sala comune
objective_food_buildcommonroomchairs	Crea uno spazio di ascolto con 8 sedie

objective_food_drugtreatment_description 	Fai clic su "Resoconti" nell'angolo in basso a destra dello schermo e seleziona la scheda "Programmi". Il programma in questione è chiamato "Trattamento farmacologico della tossicodipendenza" e si svolge presso l'infermeria.\n\nConsidera che avrai bisogno di almeno due ore di lavoro per organizzare il programma.
objective_food_alcoholprogram_description 	Fai clic su "Resoconti" nell'angolo in basso a destra dello schermo e seleziona la scheda "Programmi".\n\nConsidera che avrai bisogno di almeno due ore di lavoro per organizzare il programma.

cutscene_food_feudintro1 				Si è verificato un incidente nelle docce: abbiamo un cadavere.
cutscene_food_feudintro2 				In effetti, i cadaveri sono due. Fortunatamente, le telecamere hanno ripreso tutto.
cutscene_food_feudintro3 				Quando hai un momento libero, fai clic sulla polaroid nelle docce e dai un'occhiata a ciò che è accaduto.

objective_food_triggerfightscene		Per procedere, fai clic sulla polaroid nelle docce.
objective_food_triggerfightscene_description 	Le docce si trovano nell'area nord-ovest della struttura.

cutscene_food_feud1b                    Da solo. Molto bene.
cutscene_food_feud1                     Ce ne hai messo di tempo.
cutscene_food_feud2                     Bando alle ciance. Non ho mai capito che cosa ci trovasse in te quella troia di mia sorella.
cutscene_food_feud2b 					Quella del vecchio è stata una sua idea?
cutscene_food_feud3                     È questo che pensi, stupido ciccione? Non avrei mai voluto che gli accadesse qualcosa: gli voglio bene come se fosse mio padre.
cutscene_food_feud3b 					E sono stanco di vedere questa famiglia colare a picco per la tua stupidità.
cutscene_food_feud4                     L'incendio era per te.
cutscene_food_feud5                     In tal caso, è giunto il momento di restituire il favore.
cutscene_food_feud6                     Non fare il furbo con me: lo sappiamo tutti e due che avevi intenzione di farmi fuori, prima o poi.
cutscene_food_feud7                     Già, Nico, sei sempre stato un tipo sveglio… e guarda a cosa è servito. Non preoccuparti, non sentirai nulla.
cutscene_food_feud8                     Te l'avevo detto: guardati le spalle.
cutscene_food_feud8b                    euuegggghhhh!!!!!
cutscene_food_feud8c                    AAARRRGGRGGGGGG!!!!
cutscene_food_feud8d                    Ti ho già presentato Franky? È dotato di un talento eccezionale con la corda di pianoforte.
cutscene_food_feud8e                    È così bravo che penseranno tutti che si tratti di un suicidio.
cutscene_food_feud9                     Non finisce qui, Nico.
cutscene_food_feud9b                    Maledizione.

cutscene_food_successionintro			Molto bene. Abbiamo fatto davvero un ottimo lavoro, e credo che la prigione sia di nuovo sotto controllo.
cutscene_food_successionintro2 			Puoi scegliere di rimanere qui e apportare ulteriori modifiche alla prigione oppure procedere verso la prossima struttura.
cutscene_food_successionintro3 			Per procedere, fai clic sulla polaroid in infermeria.

objective_food_runending 				Per procedere, fai clic sulla polaroid in infermeria.
objective_food_runending_description	L'infermeria di trova nell'area sud-ovest della struttura carceraria.

cutscene_food_succession1				Vitalia! 
cutscene_food_succession1b				...?
cutscene_food_succession2				Piccola!
cutscene_food_succession3				Mi dispiace… Ho fatto una stronzata.
cutscene_food_succession4				Stai zitto.
cutscene_food_succession5				Hanno detto che papà non arriverà alla prossima settimana.
cutscene_food_succession6				Lo so… Sono qui per dirgli addio.
cutscene_food_succession7				Sai, potremmo andarcene via, io e te… Lontani da questo inferno di vita.
cutscene_food_succession8				Mi piacerebbe…
cutscene_food_succession9				Ma non posso. Sono una Palermo, Nico.
cutscene_food_succession10				Non posso permettere che, dopo la morte di papà, tutti i suoi sforzi vengano vanificati. E tu non fai parte della nostra famiglia: non puoi prendere il suo posto.
cutscene_food_succession11 				Devo dimostrare ai nostri nemici che sul trono siede ancora un membro della famiglia Palermo.
cutscene_food_succession12				E quindi cosa vorresti fare? Eliminarmi? Dopo tutto quello che abbiamo passato?
cutscene_food_succession13				Nico, Nico, Nico. Sei così all'antica.
cutscene_food_succession14 				No, tesoro. Ho semplicemente deciso di chiedere il divorzio.
cutscene_food_succession15				Che diavolo stai dicendo? Senza l'appoggio della famiglia, sono un uomo morto!
cutscene_food_succession16				Lo so, tesoro. Ma non è più un mio problema.
cutscene_food_succession17				Riposa in pace, papà.
cutscene_food_succession18				Addio, Nico.


# =============================================================================
# Riot 
# =============================================================================

campaignchapter_riot                    Intrighi e mazzette
campaignchapter_riot_description		C'è una rivolta in atto presso il carcere di Alchemico: entra nella prigione e rimetti in sicurezza la zona.

campaigncutscene_riotintro              Ultime notizie

adviser_riot_newsintro_01				Ultime notizie!
adviser_riot_newsintro_02				Rivolta al carcere di Alchemico: il personale si è ritirato presso il perimetro in attesa di supporto militare.
adviser_riot_newsintro_1				Alcuni membri del personale, tra cui l'amministratore delegato Charles Wallace, mancano all'appello.
adviser_riot_newsintro_2				La rivolta è esplosa in seguito all'arresto di diversi giudici…
adviser_riot_newsintro_3				… accusati di avere percepito degli incentivi economici in cambio dell'imposizione di pene più severe ai condannati.
adviser_riot_newsintro_4				Come se non bastasse, pare che il mondo criminale sia stato recentemente scosso da una serie di crimini efferati…
adviser_riot_newsintro_5				… tra cui il tentato omicidio del boss mafioso Victor Palermo.
adviser_riot_newsintro_6				Il sostituto dell'amministratore delegato Charles Wallace, relativamente nuovo a questo tipo di mansioni, è stato incaricato di ripristinare l'ordine.
adviser_riot_newsintro_7				Ci auguriamo che questa sua mancanza di esperienza non influisca negativamente sulla gestione di questa situazione particolarmente spinosa.
adviser_riot_newsintro_8                Si crede che dietro questo improvviso scoppio di violenza si celi Douglas Benedict, un pericoloso malvivente che sta scontando l'ergastolo.

adviser_riot_newsintroheller_1 			Il sindaco Calvin Heller ha rilasciato queste dichiarazioni pochi minuti fa.
adviser_riot_newsintroheller_2 			Mi auguro che questa tragedia serva da monito per coloro che mettono costantemente in discussione le nostre politiche di riforma punitiva.
adviser_riot_newsintroheller_3 			Questi uomini hanno un tetto sopra la testa e tre pasti al giorno. Vengono retribuiti per il loro lavoro.
adviser_riot_newsintroheller_4 			Ed è così che ringraziano i contribuenti che pagano per il loro sostentamento?

campaigncutscene_riothostages			Ostaggi
adviser_name_riotceo					L'amministratore delegato
adviser_name_riotbenedict 				Benedict

adviser_riot_hostages1					Ascoltate bene: abbiamo il vostro amministratore delegato.
adviser_riot_hostages1b 				Euugg.... ...
adviser_riot_hostages2 					Le cose stanno così: io chiedo, voi date.
adviser_riot_hostages3					Se mi accorgo che cercate di fottermi o provate a mandare gli sbirri, vi ficco una pallottola in testa.
adviser_riot_hostages4 					Vogliamo un veicolo privo di segni di riconoscimento e con i finestrini oscurati. Avete un'ora di tempo.
adviser_riot_hostages5 					Dunque, dove eravamo rimasti?
adviser_riot_hostages5b					Oh, ora ricordo: che cosa combinavi in quell'ufficio?
adviser_riot_hostages6					Giuro che non so niente.
adviser_riot_hostages7					Non prendermi per stupido… Potrei offendermi.
adviser_riot_hostages8					Allora, che cosa nascondevi?
adviser_riot_hostages9					Io lavoro in questo posto, ma il ragazzo… Che mi dici di lui?
adviser_riot_hostages10					Tu sai qualcosa che io non so, e se vuoi andartene da qui sulle tue gambe, farai bene a parlare.

adviser_riot_hostageheller1 			Questo è inaccettabile: dobbiamo riuscire a vedere che diavolo sta succedendo nella mensa.
adviser_riot_hostageheller2 			A nord della mensa vi è una piccola stanza di sicurezza: dobbiamo proteggerla.
adviser_riot_hostageheller3 			Manda degli uomini a occuparsi delle telecamere a circuito chiuso: abbiamo bisogno di una panoramica sull'intero blocco di celle.

objective_Riot_MaxSecCameras			Riprendi il controllo della stanza di sicurezza

campaigncutscene_riotroulette			Roulette

adviser_riot_rouletteintro1             Una nostra guardia è riuscita a introdursi nella stanza di sicurezza, quindi ora siamo in grado di monitorare la situazione grazie alle telecamere.
adviser_riot_rouletteintro2             Diamo un'occhiata agli ostaggi.
adviser_riot_click 						<clic>
adviser_riot_roulette1					Questa è la tua ultima possibilità di andartene da qui, amico. Voglio fare un gioco con te.
adviser_riot_roulette2 					Due proiettili, quattro camere di scoppio vuote.
adviser_riot_roulette2b 				Facevamo questo gioco con i conigli: gli facevamo saltare le cervella, un vero spasso!
adviser_riot_roulette3 					Qui non ci sono conigli, ma tu andrai benissimo.
adviser_riot_roulette4 					Cominciamo con una domanda semplice: cosa stavi facendo in quell'ufficio?
adviser_riot_roulette5 					Giuro che non so niente.
adviser_riot_roulette5b 				Ti conviene rispondere.
adviser_riot_roulette6 					Molto bene. Chi sarà il primo? Tu? Io? Questo tizio?
adviser_riot_roulette7					Che cosa sai? Vuoi finire come uno di quei conigli?
adviser_riot_roulette8 					CHE COSA C'ERA IN QUEGLI ARCHIVI?
adviser_riot_roulette9 					Non lo so, lo giuro!
adviser_riot_roulette10 				La fortuna sta per finire: c'è ancora un proiettile lì dentro. E io so cosa ho visto.
adviser_riot_roulette11b 				Non riuscivo a credere ai miei occhi.
adviser_riot_roulette11c 				Il pezzo grosso della compagnia, qui in prigione, con un'aria inequivocabilmente colpevole.
adviser_riot_roulette11d 				Qualcosa mi dice che in quegli archivi non c'era solamente la mia fedina penale…
adviser_riot_roulette11					Ti prego, non farlo.
adviser_riot_roulette11e 				Non farmi perdere la pazienza, Wallace.
adviser_riot_roulette12 				Sai una cosa? Ti renderò le cose più facili.
adviser_riot_roulette12b	 			Basta stronzate.
adviser_riot_roulette13 				Ora è il tuo turno, figlio di puttana. A meno che tu non ti decida a dirmi ciò che voglio sapere.
adviser_riot_roulette14 				Non posso… Ti prego!
adviser_riot_roulette15 				D'accordo, d'accordo, non sparare. Era tutta una questione di soldi.
adviser_riot_roulette16 				Tutto qui?
adviser_riot_roulette17 				Per noi, voi siete dei beni di lusso: più a lungo rimanete qui dentro, maggiori sono i nostri profitti. Noi non facciamo altro che stare al gioco.
adviser_riot_roulette17b				Quei documenti erano la prova.
adviser_riot_roulette18 				E quanto valiamo? Quanto vi portate a casa condannandoci a marcire qui dentro?
adviser_riot_roulette19 				Settantatremila dollari all'anno.
adviser_riot_roulette20					A testa? Figli di puttana… È tempo che cominciate a pagare.

campaigncutscene_riotassault 			Sfondamento

