
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nou
interfaceplanning_zone4							Zona 4
interfaceplanning_zone5							Zona 5
interfaceplanning_zone6							Zona 6
interfaceplanning_zone7							Zona 7
interfaceplanning_zone8							Zona 8
interfaceplanning_zone9							Zona 9

interfacecontraband_source                      Pericole
interfacecontraband_day                         -24 De Ore
interfacecontraband_week                        -7 Zile
interfacecontraband_alltime                     -30 De Zile
interfacecontraband_informants                  Informatori
interfacecontraband_gangs                       Găști

interfaceclone_copy                             Copiază
interfaceclone_paste                            Lipește

interfacetopbar_todo							De Făcut
interfacetopbar_balance							Bancă *B
interfacetopbar_budget							Flux De Numerar *C
interfacetopbar_income							Venit *I
interfacetopbar_expenses						Cheltuieli *C
interfacetopbar_day								ZI *D

interfacetopbar_title_balance					Sold
interfacetopbar_title_budget					Flux Zilnic De Numerar
interfacetopbar_title_cctv						CCTV
interfacetopbar_title_day						Zi
interfacetopbar_title_prisoners					Prizonieri
interfacetopbar_title_guards					Paznici
interfacetopbar_title_tension                   Pericol

interfacetopbar_tooltip_balance					Ce fonduri ai în bancă.\n\nDă Click pentru a crește fondurile prin intermediul listei de Subvenții.
interfacetopbar_tooltip_budget					Suma de bani pe care o vei primi zilnic, după ce cheltuielile sunt scăzute din venit.\n\nDă click pentru a accesa un desfășurător detaliat al finanțelor.
interfacetopbar_tooltip_cctv					Numărul de camere CCTV și monitoare pe care le ai.
interfacetopbar_tooltip_day						De cât timp conduci închisoarea.
interfacetopbar_tooltip_prisoners				Numărul de prizonieri pe care îi ai și numărul maxim de prizonieri pe care îi poți ține în închisoarea asta.
interfacetopbar_tooltip_guards					Numărul de gardieni pe care îi ai disponibili în închisoarea ta.
interfacetopbar_tooltip_tension                 Nivelul de risc total al închisori, conform șefului securității.

interfacetopbar_tooltip_recenttransactions      Tranzacții Recente

interfacetopbar_tooltip_gametime                Timp Jucat În Total : *X ore, *Y minute, *Z secunde

interfacetopbar_tooltip_totalguards             *X Gardieni În Total
interfacetopbar_tooltip_guardincapacitated      *X Indisponibili
interfacetopbar_tooltip_guardstationed          *X Staționați
interfacetopbar_tooltip_guardpatrolling         *X În Patrulă
interfacetopbar_tooltip_guardavailable          *X Disponibili
interfacetopbar_tooltip_guardresting            *X Se Odihnesc
interfacetopbar_tooltip_guardactive             (*X Răspund La Incidente)
interfacetopbar_tooltip_guarddoingjob           *X Muncesc
interfacetopbar_tooltip_idle                    (*X Nu Fac Nimic)
interfacetopbar_tooltip_armedguards             + *X Paznici Înarmați
interfacetopbar_tooltip_dogs                    + *X Dresori De Câini

interfacetopbar_unlimitedfunds                  FONDURI NELIMITATE

interfacetopbar_budget_moneyin					Bani Primiți: $*M /zi
interfacetopbar_budget_moneyout					Bani Cheltuiți: $*M /zi
interfacetopbar_budget_cantgonegative           Nu poți avea flux negativ de numerar (în alte cuvinte, să ai mai multe cheltuieli decât venit) până când nu angajezi un Contabil să se ocupe de finanțele tale.

interfacetopbar_prisoners_types					Deții *X Prizonieri:
interfacetopbar_prisoners_capacity              Capacitatea Maximă Sigură: *X
interfacetopbar_prisonercells_shared            Capacitate Comună: *X
interfacetopbar_prisonercells_unlocked          Capacitate Zone Descuiate: *X
interfacetopbar_prisonercells_minseconly        Capacitate Minimă: *X
interfacetopbar_prisonercells_medseconly        Capacitate Medie: *X
interfacetopbar_prisonercells_maxseconly        Capacitate Maximă: *X
interfacetopbar_prisonercells_protectedonly     Capacitate Custodie: *X
interfacetopbar_prisonercells_supermaxonly      Capacitate Super Maximă: *X
interfacetopbar_prisonercells_deathrowonly      Capacitate Condamnați La Moarte: *X
interfacetopbar_prisonercells_staffonly         Indisponibil: *X
interfacetopbar_prisoners_nocells               *X Prizonieri nu pot fi desemnați unei celule

interfacetopbar_cctv_current					Funcționează *C camere
interfacetopbar_cctv_cap						Ai loc pentru *C camere

interfacetopbar_tension_currentlevel            Nivelul de pericol e *X
interfacetopbar_tension_increasing              și e în creștere
interfacetopbar_tension_decreasing              și e în scădere
interfacetopbar_tension_description             FACTORI:
interfacetopbar_tension_happyprisoners          - *X prizonieri zic că sunt bine tratați
interfacetopbar_tension_unhappyprisoners        + *X prizonieri au plângeri serioase
interfacetopbar_tension_lockedupprisoners       + *X prizonieri sunt încătușați în celulele lor sau în carceră
interfacetopbar_tension_riotingprisoners        + *X prizonieri se revoltă
interfacetopbar_tension_wellfedprisoners        - *X prizonieri sunt bine hrăniți
interfacetopbar_tension_suppressedprisoners      = *X prizonieri sunt docili (ascultători)
interfacetopbar_tension_activeriotguards        + *X jandarmi sunt la fața locului
interfacetopbar_tension_activearmedguards       + *X paznici înarmați sunt angajați
interfacetopbar_tension_recentdeaths            + *X oameni au fost uciși recent
interfacetopbar_tension_recentsearches          + *X prizonieri au fost percheziționați recent, fără să fie necesar
interfacetopbar_tension_angrygangmembers        + *X MEMBRI AI UNOR GĂȘTI SUNT NERVOȘI (liderul este pedepsit)
interfacetopbar_tension_recentpunishments        = (MIJLOC DE INTIMIDARE) *X pedepse au fost decise recent
interfacetopbar_tension_recentcalmed            - *X prizonieri au fost calmați recent

interfacecontrol_mainmenu                       Meniu Principal (Esc)
interfacecontrol_mainmenu_tooltip               Accesează meniul principal (Nou/Încarcă/Salvează/Ieși etc)
interfacecontrol_todo                           Listă De Treburi
interfacecontrol_todo_tooltip                   Accesează lista de treburi
interfacecontrol_research                       Birocrație
interfacecontrol_research_tooltip               Deschide ecranul de Birocrație, în care poți desemna administraori să deblocheze obiecte noi, tipuri de personal și facilități.
interfacecontrol_grading                        Evaluare
interfacecontrol_grading_tooltip                Deschide ecranul de Evaluare, în care poți vedea o notă reprezentativă a succesului tău.

interface_confirmlandbuy                        Ești sigur că dorești să cumperi acest pământ cu $*X?
interface_loadconfirm                           Ești sigur că dorești să încarci această hartă? Tot progresul nesalvat este pierdut.
interface_saveconfirm                           Ești sigur că dorești să salvezi progresul sub acest nume? Datele deja existente vor fi suprascrise.

interface_landbuylabel                          *Xm x *Ym. Zonă de *A metri pătrați în total. *C

interface_action_dismantle                      Demontează
interface_action_dump                           Aruncă
interface_action_repair                         Repară
interface_action_medicalbay                     Aripă Medicală
interface_action_search                         Percheziționează
interface_action_searchcell                     Percheziționează Celula
interface_action_searchcellblock                Percheziționează Blocul
interface_action_sack                           Revocă
interface_action_doormodenormal                 Mod Ușă: Normal
interface_action_doormodelockedshut             Mod Ușă: Încuiată Închisă
interface_action_doormodelockedopen             Mod Ușă: Încuiată Deschisă
interface_action_switchon                       Activează
interface_action_switchoff                      Dezactivează
interface_action_sellobject                     Vinde Obiect
interface_action_dismiss                        Concedia
interface_action_connect                        Conectează
interface_action_clearconnections               Șterge Conexiuni
interface_action_servoopen                      Deschide Cu Mechanism De Declanșare
interface_action_servoclose                     Închide Cu Mechanism De Declanșare

interface_contents_container                    Conținut : *X
interface_contents_stack                        Conținut : *X x *Y

interface_skip                                  SĂRI

interface_error_riotmove                        Nu Poți Intra: Revoltă

interface_foundationsinprogress                 Fundații în desfășurare
riot_underway                                   REVOLTĂ ÎN DESFĂȘURARE
riot_status_prisoners                           *X prizonieri se revoltă
shakedown_underway                              PERCHEZIȚIE GENERALĂ ÎN DESFĂȘURARE
shakedown_found                                 Găsit:

gameover_caption                                Apasă ESC să Continui

sector_jobs_max                                 Sarcini Maxime *X
sector_jobs_qualified                           Prizonieri Calificați: *X
sector_jobs_required                            (Necesari: *X)
sector_noaccess                                 FĂRĂ ACCES
sector_insecure                                 NESIGURĂ



# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Test De Compatibilitate Hardware
hardware_compat_message					Am dori să adunăm următoarele informații legate de hardware, cu permisiunea dumneavoastră.\n\nAceastă informație este complet anonimă și ne va ajuta să asigurăm că Prison Architect este funcțional pe cât mai multe computere posibil.\n\nVă mulțumim!
hardware_compat_accept					Accept
hardware_compat_decline					Refuz

connectionmenu_connect                  Conectează
connectionmenu_disconnect               Deconectează
connectionmenu_clear                    Șterge
connectionmenu_done                     Terminat


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Construiește
buildtoolbar_reports                    Rapoarte
buildtoolbar_bangup                     Închidere
buildtoolbar_lockdown                   Închidere Generală
buildtoolbar_shakedown                  Percheziție Generală
buildtoolbar_weaponsfree                Permite Forță Letală

buildtoolbar_tooltip_reports			Deschide fereastra de rapoarte pentru a vedea informații despre prizonieri, personal, venit, subvenții și altele.
buildtoolbar_tooltip_bangup				Trimite toți prizonieri (dispuși) înapoi în celule. Asta îi va enerva foarte tare pe prizonieri, dacă rămân închiși pentru prea mult timp.
buildtoolbar_tooltip_lockdown			Închide instant toate ușile din închisoare.
buildtoolbar_tooltip_shakedown          Ordonă o percheziție imediată a tuturor celulelor. Asta o să dureze o vreme și îi va enerva în draci pe deținuți.
buildtoolbar_tooltip_weaponsfree        Autorizează

buildtoolbar_cost						Preț: $*C
buildtoolbar_cost_sqrft					Preț: $*C /m²
buildtoolbar_wages						Salarii : $*W pe zi
buildtoolbar_outdoor					Doar Exterior
buildtoolbar_indoor						Doar Interior
buildtoolbar_walk_speed					Viteză De Deplasare : *S
buildtoolbar_walk_speed_slow			Încet
buildtoolbar_walk_speed_norm			Normal
buildtoolbar_walk_speed_fast			Rapid
buildtoolbar_locked                     BLOCAT
buildtoolbar_locked_research			BLOCAT (Ai nevoie de *B)
buildtoolbar_locked_administrator		BLOCAT (*B este necesar)
buildtoolbar_room						Cameră

buildtoolbar_electrical                 - Electric
buildtoolbar_highpower                  - Necesitate Electrică Ridicată
buildtoolbar_water                      - Necesită Conducte De Apă
buildtoolbar_wired                      - Cablat (conectat cu alte obiecte Cablate)- Cablat (conectat cu alte obiecte Cablate)
buildtoolbar_modcontent                 - Conținut Moduri

buildtoolbar_popup_foundations			Construiește/Demolează construcții să stabilești forma închisorii tale.
buildtoolbar_popup_construction			Tipuri diferite de podele și pereți.
buildtoolbar_popup_planning				Planifică închisoarea ta, fără să îți faci griji că muncitorii tăi nu vor face nimic.
buildtoolbar_popup_designation			Desemnează zonele închisorii cu funcții specifice.
buildtoolbar_popup_objects				Pune obiecte utile în jurul închisorii.
buildtoolbar_popup_overlays				Identifică vizual slăbiciunile închisorii tale.
buildtoolbar_popup_utilities			Sisteme de instalații sanitare și electrice.
buildtoolbar_popup_staff				Angajează personalul necesar pentru a întreține închisoarea.
buildtoolbar_popup_deployment			Desemnează personalul în zone ale închisorii.
buildtoolbar_popup_logistics            Desemnează prizonieri să muncească în închisoare. Aici ai și control manual asupra sarcinilor cantinei și spălătoriei.
buildtoolbar_popup_research				Deblochează posibilități noi pentru închisoarea ta.
buildtoolbar_popup_emergencies			Cheamă servicii de urgență dacă situația scapă de sub control.
buildtoolbar_popup_spawn				Generează? Asta ce căcat face?
buildtoolbar_popup_clone				Copiază și lipește construcții existente.
buildtoolbar_popup_properties			Află diferite căcaturi.
buildtoolbar_popup_contraband           Arată sursele contrabandei și toată marfa confiscată recent din închisoarea ta. De asemenea poți vedea Informatorii Confidențiali și informațiile lor.
buildtoolbar_popup_grading              Vezi nota închisorii tale în următoarele domenii – Pedeapsă, Reformă, Securitate și Sănătate. Poți vedea și rata de recidivă a închisorii tale.
buildtoolbar_popup_room_cell			Unde locuiesc prizonierii.
buildtoolbar_popup_room_holdingcell		O cameră în care sunt puși prizonierii noi, până le este găsită o celulă.
buildtoolbar_popup_room_solitary		O formă izolată de deținere pentru cei mai răi dintre cei mai răi.
buildtoolbar_popup_room_canteen			Aici vor lua prizonierii ceaiul de după-amiază.
buildtoolbar_popup_room_kitchen			Zona în care bucătarii prepară mâncare pentru prizonieri.
buildtoolbar_popup_room_shower			Folosită să îți mențină prizonierii curați și fără păduchi.
buildtoolbar_popup_room_yard			Lasă-ți prizonierii să vadă soarele pentru câteva ore pe zi, sub vegherea lunetiștilor tăi.
buildtoolbar_popup_room_storage			Zonă pregătită să dețină materiale de care are nevoie personalul tău.
buildtoolbar_popup_room_deliveries		Unde sunt lăsate bunuri, materiale și prizonieri.
buildtoolbar_popup_room_garbage			De unde sunt colectate deșeurile.
buildtoolbar_popup_room_execution		Unde trimiți prizonierii să moară.
buildtoolbar_popup_room_workshop		Unde trimiți prizonierii să moară de plictiseală, cât timp îți fac plăcuțe de înmatriculare auto.
buildtoolbar_popup_room_security		Birouri pentru Ofițerii tăi.
buildtoolbar_popup_room_office			O zonă în care să lucreze personalul administrativ.
buildtoolbar_popup_room_medicalward		Zonă în care să lucreze personalul medical.
buildtoolbar_popup_room_morgue			Unde trimiți prizonierii și angajații morți.
buildtoolbar_popup_room_commonroom		Le permite prizonierilor să se relaxeze pentru o vreme.
buildtoolbar_popup_room_kennel          Unde locuiesc câini tăi.
buildtoolbar_popup_room_chapel          Ce se întâmplă când un comitet birocratic se strânge să găsească o soluție pentru nevoile religioase ale deținuților? O 'cameră de rugăciune pentru credințe multiple' se întâmplă. Noi îi spunem Capelă.
buildtoolbar_popup_room_paroleroom      Prizonieri tăi vor fi eligibili pentru eliberare condiționată după ce vor servi 50%-70% din sentința lor. Soarta lor va fi decisă în această cameră, cu Directorul de Închisoare și cu Șeful Securității.\n\nNb Este recomandată securitate în plus. Prizonierii devin foarte supărați uneori, când eliberarea condiționată le este refuzată.
buildtoolbar_popup_room_library         Cutii pline cu cărți folosite sau aruncate, din toată țara, vor fi trimise închisorii tale. Va fi necesar ca prizonierii să ordoneze aceste cărți în rafturi.
buildtoolbar_popup_room_intake          Primul loc în care sunt duși prizonierii, după ce ajung.

buildtoolbar_popup_obj_bed				Nu prea moale, nu prea tare, perfect. Eh..defapt, foarte tare și prea mic.
buildtoolbar_popup_obj_toilet			Un drept fundamental al omului, asta daca îi crezi pe toți demenții ăia.
buildtoolbar_popup_obj_table			Merge la fix cu un scaun.
buildtoolbar_popup_obj_chair			Merge genial cu o masă.
buildtoolbar_popup_obj_bench			Pentru stat pe ea.
buildtoolbar_popup_obj_electricchair	Pentru a livra 2000V de justiție.
buildtoolbar_popup_obj_jaildoor			Ține prizonierii acolo unde le este locul.
buildtoolbar_popup_obj_jaildoorlarge	Ține mulți prizonieri acolo unde le este locul.
buildtoolbar_popup_obj_door				O ușă simplă.
buildtoolbar_popup_obj_solitarydoor		O ușă solidă care împiedică evadarea, până și a celor mai forțoși prizonieri.
buildtoolbar_popup_obj_staffdoor		O ușă încuiată care poate fi deschisă de orice angajat al închisorii, nu doar de paznici.
buildtoolbar_popup_obj_window			Să vezi puțin soare prin ea.
buildtoolbar_popup_obj_windowlarge		Să vezi mult soare prin ea.
buildtoolbar_popup_obj_tree				Să luăm măsuri împotriva încălzirii globale este reponsabilitatea fiecăruia dintre noi.
buildtoolbar_popup_obj_light			Asigură-te că îți poți vedea prizonierii în orice moment al zilei.
buildtoolbar_popup_obj_cooker			Oferă-le prizonierilor o viață luxoasă printr-o masă caldă.
buildtoolbar_popup_obj_fridge			Nu lăsa proviziile alimentare să putrezească.
buildtoolbar_popup_obj_bin				Când vine vorba de contrabandă, curățenia este foarte importantă.
buildtoolbar_popup_obj_sink				Tot personalul trebuie să se spele pe mâini.
buildtoolbar_popup_obj_servingtable		Pune mâncare în farfurie pentru prizonieri.
buildtoolbar_popup_obj_showerhead		Un cap de duș. Pentru dușuri.
buildtoolbar_popup_obj_bookshelf		Un raft pe care pui cărți.
buildtoolbar_popup_obj_officedesk		Personalul tău trebuie să scrie mult și des. Oferă-le un birou strălucitor pe care să facă asta.
buildtoolbar_popup_obj_filingcabinet	Personalul tău trebuie să ordoneze frumos lucrurile pe care le scriu.
buildtoolbar_popup_obj_medicalbed		Un loc în care să ți narcoticele înainte să le fure prizonierii.
buildtoolbar_popup_obj_morgueslab		Asigură un loc respectuos pe care se pot odihni morții înainte să îi muți.
buildtoolbar_popup_obj_drain			Scapă de apa de pe podea.
buildtoolbar_popup_obj_sprinkler		In caz incendiu, stropește zona automat.
buildtoolbar_popup_obj_metaldetector	Găsește marfă de contrabandă pe prizonierii care trec prin astea. Va fi necesar un paznic în apropiere să confiște contrabanda.
buildtoolbar_popup_obj_weightsbench		Permite prizonierilor să facă exerciți fizice, ceea ce îi face fericiți.
buildtoolbar_popup_obj_phonebooth		Prizonierii s-ar putea să dorească să discute cu familile lor, iar aceste cabine telefonice utile le permite să facă asta.
buildtoolbar_popup_obj_tv				Prizonierii sunt pacificați, deoarece tâmpesc cu ajutorul mediocrității.
buildtoolbar_popup_obj_largetv			Permite prizonierilor să împărtășească experiența de putrefacție a creierului.
buildtoolbar_popup_obj_pooltable		Scapă de monotonia vieții în închisoare, cu ajutorul unui joc de biliard.
buildtoolbar_popup_obj_dismantleobject	Elimină un obiect din închisoarea ta.
buildtoolbar_popup_obj_altar            Trimite rugăciunile tale, direct la cea mai înaltă putere aleasă.
buildtoolbar_popup_obj_pews             Locuri pentru credincioși. Făcute din cel mai dur și mai necăptușit lemn.
buildtoolbar_popup_obj_prayermat        Protejează-ți prizonierii de podeaua murdară, cât timp se roagă.

buildtoolbar_popup_staff_workman		Vor construii închisoarea pentru tine, conform planurilor pe care le oferi.
buildtoolbar_popup_staff_guard			Folosiți să fie cu ochii pe prizonieri și să îi țină departe de necazuri.
buildtoolbar_popup_staff_armedguard     Având în veder că e înarmat cu o pușcă, prizonierii se vor gândi de două ori înainte să îl atace pe individul acesta.\n\nNotiță: Fiecare paznic înarmat are nevoie de propriul dulap în Armurărie.
buildtoolbar_popup_staff_doctor			Vindecă automat toți oamenii răniți din apropiere, indiferent dacă sunt paznici sau prizonieri.
buildtoolbar_popup_staff_cook			Hrăneste prizonierii cu mesele preparate de el.
buildtoolbar_popup_staff_gardener		Îți menține terenul curat și îngrijit.
buildtoolbar_popup_staff_janitor		Păstrează curățenia în interiorul închisorii. Poate să și ajute la spălatul rufelor.
buildtoolbar_popup_staff_warden			Supraveghetorul suprem al închisorii. Este necesar pentru a putea cerceta și angaja personal avansat.
buildtoolbar_popup_staff_chief			Un angajat avansat care îți permite să accesezi cercetarea mobilizării, CCTV și jandarmilor.
buildtoolbar_popup_staff_foreman		Un angajat avansat care îți permite să accesezi Oameni De Serviciu și Grădinari.
buildtoolbar_popup_staff_psychologist	Un angajat avansat care îți permite să afli ce trece prin capul prizonierilor.
buildtoolbar_popup_staff_accountant		Un angajat avansat care îți dă acces la rapoartele tale financiare.
buildtoolbar_popup_staff_lawyer			Un angajat avansat care te ajută să îndoi unele reguli, ca să ai mai mult control asupra închisorii tale.

buildtoolbar_popup_uts_powerstation		Generează curent electric pentru închisoarea ta.
buildtoolbar_popup_uts_capacitor		Crește cantitatea de electricitate generată, dacă este așezat lângă o Centrală Electrică.
buildtoolbar_popup_uts_electricalcable	Distribuie curent electric prin închisoarea ta.
buildtoolbar_popup_uts_powerswitch		Controlează disponibilitatea electricității în orice cablu conectat la el.\n\nDă click dreapta pentru a activa/dezactiva.
buildtoolbar_popup_uts_waterpumpstation	Oferă o sursă de apă închisorii tale.
buildtoolbar_popup_uts_pipevalve		Controlează disponibilitatea apei în orice țeavă conectată la ea.
buildtoolbar_popup_uts_pipelarge		Distribuie o cantitate mare de apă sub presiune înaltă, în închisoarea ta. E probabil suficient de mare ca un prizonier să se târască prin ea până la libertate, prin patru sute cincizeci de metri de căcat.\n\nNb în mod normal, nu sunt folosite la chiuvete, dușuri etc - presiunea e prea mare. Folosește o țeavă mică pentru alea.
buildtoolbar_popup_uts_pipesmall		Folosite pentru a conecta obiecte cum ar fi toalete, dușuri, chiuvete etc la rețeaua ta de conducte. Presiunea este mai mică, așa că distanța pe care apa o poate parcurge este limitată.
buildtoolbar_popup_uts_cctv				Fi cu ochii pe închisoarea ta, fără să fie nevoie de paznici peste tot deodată.\n\nUn monitor CCTV trebuie conectat la cameră pentru ca sistemul să funcționeze.
buildtoolbar_popup_uts_cctvmonitor		Gândit pentru a fi construit într-o Cameră De Securitate și operat de un Paznic. Monitorizează de la distanță, camerele CCTV din închisoarea ta.\n\nFolosește unealta de Conectare pentru a conecta acest monitor la camerele tale CCTV.\n\nNotiță: Maxim opt camere pot fi vizionate deodată. Dacă sunt conectate mai mult de opt camere, monitorul va trece treptat prin ele, oferind doar acoperire parțială.
buildtoolbar_popup_uts_DoorControlSystem  Gândit pentru a fi construit într-o Cameră De Securitate și operat de un Paznic. Poate fi folosit pentru a deschide uși de la distanță.\n\nFolosește unealta de Conectare pentru a conecta acest sistem la Servomotoarele Ușilor. Sevomotoarele ar trebui să fie construite deasupra ușilor pe care dorești să le controlezi de la distanță.\n\nNotiță: Poți conecta sistemul la cât de multe Servomotoare dorești, dar Paznicul poate opera maxim două uși pe secundă.
buildtoolbar_popup_uts_phonemonitor     Gândit pentru a fi construit într-o Cameră De Securitate și operat de un Paznic. Îți permite să monitorizezi convorbirile spre exterior, făcute de prizonierii tăi, astfel dându-ți informații vitale despre orice activitate ilegală plănuită de aceștia.\n\nFolosește unealta de Conectare pentru a conecta acest sistem la Cabinele Telefonice.
buildtoolbar_popup_uts_Servo            Montează un servomotor pe o ușă care dorești să o controlezi de la distanță. Asigură-te că motorul este exact deasupra ușii.\n\nDupă ce este instalat, ușa se va deschide când servomotorul este declanșat – în mod normal de un Sistem De Control Al Ușilor sau un Cronometru Pentru Ușă.\n\nServomotoarele pot fi legate între ele, pentru a fi declanșate în lanț, odată ce primul a fost declanșat.
