
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Νέο
interfacemode_done                            Ολοκληρώθηκε
interfacemode_destroy                         Καταστροφή
interfacemode_foundations				Θεμέλια
interfacemode_construction                    Υλικά
interfacemode_planning                        Σχεδιασμός
interfacemode_objects                         Αντικείμενα
interfacemode_designation                     Δωμάτια
interfacemode_utilities                       Παροχές
interfacemode_staff                           Προσωπικό
interfacemode_deployment                      Τοποθέτηση
interfacemode_logistics                       Εφοδιαστική
interfacemode_prisoners                       Κρατούμενοι
interfacemode_needs                           Ανάγκες
interfacemode_threats                         Απειλές
interfacemode_overlays                        Επικαλύψεις
interfacemode_research                        Γραφειοκρατία
interfacemode_emergencies                     Επείγοντα
interfacemode_clone                           Κλωνοποίηση
interfacemode_contraband                      Πληροφορίες
interfacemode_grading                         Βαθμολογία
interfacemode_spawn                           (Εκκίνηση)
interfacemode_properties                      (Ιδιότητες)
interfacemode_cutscenes                       (Κινηματογραφικές σκηνές)
interfacemode_selection                       Επιλέξτε

interfaceoverlay_security                       Ασφάλεια
interfaceoverlay_patrols                        Περιπολίες
interfaceoverlay_decay                          Φθορά
interfaceoverlay_territory                      Περιοχή
interfaceoverlay_contraband                     Λαθραία είδη

interfaceproperty_indoor                        Εσωτερικός χώρος
interfaceproperty_visible                       Ορατός
interfaceproperty_territoryprisoner             Συμμορίες
interfaceproperty_territoryguard                Φύλακες
interfaceproperty_sectorprisoner                Διατάραξη κοινής ειρήνης
interfaceproperty_tunnel                        Σήραγγα

interfacedeployment_guards                      Φύλακες
interfacedeployment_patrols                     Περιπολίες με φύλακες
interfacedeployment_dogpatrols                  Περιπολίες με σκύλους
interfacedeployment_armedpatrols                Ένοπλες περιπολίες
interfacedeployment_removeguards                Αφαίρεση φυλάκων
interfacedeployment_clearpatrols                Απαλοιφή περιπολιών
interfacedeployment_targetting                  Εφοδιαστική
interfacedeployment_targettingfood              Εφοδιαστική σίτισης
interfacedeployment_targettinglaundry           Εφοδιαστική ρουχισμού
interfacedeployment_securearea                  Ασφαλής περιοχή
interfacedeployment_sharedzone                  Κοινή
interfacedeployment_staffonlyzone               Μόνο προσωπικό
interfacedeployment_maxseczone                  Μόνο υψίστης ασφ.
interfacedeployment_medseczone                  Μόνο μεσαίας ασφ.
interfacedeployment_minseczone                  Μόνο χαμηλής ασφ.
interfacedeployment_protectedzone               Μόνο προστατευόμενοι
interfacedeployment_supermaxzone                Μόνο υπερυψίστης
interfacedeployment_deathrowzone                Μόνο θανατοποινίτες
interfacedeployment_unlockedzone                Ξεκλείδωτο
interfacedeployment_zonered                     Κόκκινη πτέρυγα
interfacedeployment_zonegreen                   Πράσινη πτέρυγα
interfacedeployment_zoneblue                    Γαλάζια πτέρυγα
interfacedeployment_zoneyellow                  Κίτρινη πτέρυγα

interfacelogistics_jobs                         Εργασία κρατουμένων
interfacelogistics_removejobs                   Αφαίρεση εργασίας
interfacelogistics_targettingfood               Διανομή τροφίμων
interfacelogistics_targettinglaundry            Διανομή ρούχων
interfacelogistics_roomquality                  Ποιότητα δωματίων

interfaceplanning_wall							Τοίχοι
interfaceplanning_object						Αντικείμενα
interfaceplanning_route							Μονοπάτια
interfaceplanning_clear							Απαλοιφή
interfaceplanning_zone1							Ζώνη 1
interfaceplanning_zone2							Ζώνη 2
interfaceplanning_zone3							Ζώνη 3
interfaceplanning_zone4							Ζώνη 4
interfaceplanning_zone5							Ζώνη 5
interfaceplanning_zone6							Ζώνη 6
interfaceplanning_zone7							Ζώνη 7
interfaceplanning_zone8							Ζώνη 8
interfaceplanning_zone9							Ζώνη 9

interfacecontraband_source                      Κίνδυνοι
interfacecontraband_day                         -24 ώρες
interfacecontraband_week                        -7 ημέρες
interfacecontraband_alltime                     -30 ημέρες
interfacecontraband_informants                  Πληροφοριοδότες
interfacecontraband_gangs                       Συμμορίες

interfaceclone_copy                             Αντιγραφή
interfaceclone_paste                            Επικόλληση

interfacetopbar_todo							Υποχρεώσεις
interfacetopbar_balance							Τράπεζα *B
interfacetopbar_budget							Ταμειακή ροή: *C
interfacetopbar_income							Έσοδα: *I
interfacetopbar_expenses						Κόστη: *C
interfacetopbar_day								ΗΜΕΡΑ: *D

interfacetopbar_title_balance					Τραπεζικό υπόλοιπο
interfacetopbar_title_budget					Ημερήσια ταμειακή ροή
interfacetopbar_title_cctv						Παρακολούθηση
interfacetopbar_title_day						Ημέρα
interfacetopbar_title_prisoners					Κρατούμενοι
interfacetopbar_title_guards					Φύλακες
interfacetopbar_title_tension                   Επικινδυνότητα

interfacetopbar_tooltip_balance					Πόσα μετρητά έχεις στην τράπεζα.\n\nΚάνε κλικ για να συγκεντρώσεις κι άλλα κονδύλια μέσα από τη λίστα Επιδοτήσεις.
interfacetopbar_tooltip_budget					Η ποσότητα των χρημάτων που θα λαμβάνεις κάθε μέρα, με βάση τα τωρινά σου έσοδα και έξοδα.\n\nΚάνε κλικ για πρόσβαση σε μια λεπτομερή οικονομική ανάλυση εσόδων και εξόδων.  
interfacetopbar_tooltip_cctv					Ο αριθμός των καμερών και σταθμών παρακολούθησης που διαθέτεις αυτή τη στιγμή.
interfacetopbar_tooltip_day						Πόσο καιρό διευθύνεις τη φυλακή σου.
interfacetopbar_tooltip_prisoners				Ο αριθμός των κρατουμένων που στεγάζεις και που μπορείς να στεγάσεις αυτή τη στιγμή στη φυλακή σου.
interfacetopbar_tooltip_guards					Πόσοι φύλακες είναι διαθέσιμοι για εργασία στη φυλακή σου.
interfacetopbar_tooltip_tension                 Ο γενικός βαθμός επικινδυνότητας στη φυλακή σου, σύμφωνα με τον αρχιφύλακά σου.

interfacetopbar_tooltip_recenttransactions      Πρόσφατες συναλλαγές

interfacetopbar_tooltip_gametime                Συνολικός χρόνος παιχνιδιού: *X ώρες, *Y λεπτά, *Z δευτερόλεπτα

interfacetopbar_tooltip_totalguards             *X συνολικοί φύλακες
interfacetopbar_tooltip_guardincapacitated      *X σε εξουδετέρωση
interfacetopbar_tooltip_guardstationed          *X σε πόστο  
interfacetopbar_tooltip_guardpatrolling         *X σε περιπολία
interfacetopbar_tooltip_guardavailable          *X σε διαθεσιμότητα
interfacetopbar_tooltip_guardresting            *X σε ξεκούραση
interfacetopbar_tooltip_guardactive             (*X σε συμβάν)
interfacetopbar_tooltip_guarddoingjob           *X σε εργασία
interfacetopbar_tooltip_idle                    (*X σε αδράνεια)
interfacetopbar_tooltip_armedguards             + *X ένοπλοι φύλακες
interfacetopbar_tooltip_dogs                    + *X χειριστές σκύλων

interfacetopbar_unlimitedfunds                  ΑΠΕΡΙΟΡΙΣΤΑ ΧΡΗΜΑΤΑ

interfacetopbar_budget_moneyin					Εισροές: *M $ / ημέρα
interfacetopbar_budget_moneyout					Εκροές: *M $ / ημέρα
interfacetopbar_budget_cantgonegative           Δεν μπορείς να έχεις αρνητική ταμειακή ροή (δηλ. να έχεις περισσότερα έξοδα από έσοδα) μέχρι να προσλάβεις μια Λογίστρια, για να διαχειρίζεται τα οικονομικά σου.

interfacetopbar_prisoners_types					Στεγάζονται *X κρατούμενοι:
interfacetopbar_prisoners_capacity              Μέγιστη ασφαλής χωρητικότητα: *X
interfacetopbar_prisonercells_shared            Χωρητικότητα κοινής: *X
interfacetopbar_prisonercells_unlocked          Χωρητικότητα ξεκλείδωτων: *X
interfacetopbar_prisonercells_minseconly        Χωρητικότητα χαμηλής: *X
interfacetopbar_prisonercells_medseconly        Χωρητικότητα μεσαίας: *X
interfacetopbar_prisonercells_maxseconly        Χωρητικότητα υψίστης: *X
interfacetopbar_prisonercells_protectedonly     Χωρητικότητα προστατευόμενων: *X
interfacetopbar_prisonercells_supermaxonly      Χωρητικότητα υπερυψίστης: *X
interfacetopbar_prisonercells_deathrowonly      Χωρητικότητα θανατοποινιτών: *X
interfacetopbar_prisonercells_staffonly         Μη διαθέσιμοι: *X
interfacetopbar_prisoners_nocells               Δεν μπορεί να δοθεί κελί σε *X κρατουμένους

interfacetopbar_cctv_current					Λειτουργούν *C κάμερες
interfacetopbar_cctv_cap						Χώρος για *C κάμερες

interfacetopbar_tension_currentlevel            Βαθμός επικινδυνότητας: *X
interfacetopbar_tension_increasing              και αυξάνεται
interfacetopbar_tension_decreasing              και μειώνεται
interfacetopbar_tension_description             ΠΑΡΑΓΟΝΤΕΣ:
interfacetopbar_tension_happyprisoners          - *X κρατούμενοι λένε ότι έχουν καλή μεταχείριση
interfacetopbar_tension_unhappyprisoners        + *X κρατούμενοι έχουν σοβαρά παράπονα
interfacetopbar_tension_lockedupprisoners       + *X κρατούμενοι είναι περιορισμένοι στα κελιά τους ή σε απομόνωση
interfacetopbar_tension_riotingprisoners        + *X κρατούμενοι εξεγείρονται
interfacetopbar_tension_wellfedprisoners        - *X κρατούμενοι θρέφονται καλά
interfacetopbar_tension_suppressedprisoners     = *X κρατούμενοι βρίσκονται σε καταστολή (συνεργάσιμοι)
interfacetopbar_tension_activeriotguards        + *X παρόντες αστυνομικοί καταστολής
interfacetopbar_tension_activearmedguards       + *X ένοπλοι φύλακες σε υπηρεσία
interfacetopbar_tension_recentdeaths            + *X άνθρωποι έχουν σκοτωθεί πρόσφατα
interfacetopbar_tension_recentsearches          + *X κρατούμενοι ελέγχθηκαν πρόσφατα χωρίς λόγο
interfacetopbar_tension_angrygangmembers        + *X ΜΕΛΗ ΣΥΜΜΟΡΙΑΣ ΕΙΝΑΙ ΕΞΑΓΡΙΩΜΕΝΑ (ο αρχηγός τους τιμωρείται)
interfacetopbar_tension_recentpunishments       = (ΑΠΟΤΡΕΠΤΙΚΟ) *X τιμωρίες έχουν επιβληθεί πρόσφατα
interfacetopbar_tension_recentcalmed            - *X κρατούμενοι έχουν ηρεμίσει πρόσφατα

interfacecontrol_mainmenu                       Κεντρικό μενού (Esc)
interfacecontrol_mainmenu_tooltip               Εναλλαγή του κεντρικού μενού (Νέο/Φόρτωση/Αποθήκευση/Έξοδος κλπ.)
interfacecontrol_todo                           Λίστα υποχρεώσεων
interfacecontrol_todo_tooltip                   Εναλλαγή Λίστας υποχρεώσεων
interfacecontrol_research                       Γραφειοκρατία
interfacecontrol_research_tooltip               Ανοίγει την οθόνη Γραφειοκρατίας, όπου μπορείς να αναθέσεις στους διοικητικούς σου υπαλλήλους το ξεκλείδωμα νέων αντικειμένων, τύπων προσωπικού και εγκαταστάσεων.
interfacecontrol_grading                        Βαθμολογία φυλακής
interfacecontrol_grading_tooltip                Ανοίγει την οθόνη Βαθμολογία φυλακής, που σου δείχνει τον γενικό βαθμό επιτυχίας σου.

interface_confirmlandbuy                        Θέλεις σίγουρα να αγοράσεις αυτό το οικόπεδο για *X $;
interface_loadconfirm                           Θέλεις σίγουρα να φορτώσεις αυτόν τον χάρτη; Θα χάσεις όλη τη μη αποθηκευμένη πρόοδό σου.
interface_saveconfirm                           Θέλεις σίγουρα να κάνεις αποθήκευση με αυτό το όνομα αρχείου; Τα υπάρχοντα δεδομένα θα διαγραφούν.

interface_landbuylabel                          *Xμ x *Yμ. Συνολικό εμβαδό *A τ.μ. *C

interface_action_dismantle                      Αποξήλωση
interface_action_dump                           Απόρριψη
interface_action_repair                         Επισκευή
interface_action_medicalbay                     Ιατρική πτέρυγα
interface_action_search                         Έλεγχος
interface_action_searchcell                     Έλεγχος κελιού
interface_action_searchcellblock                Έλεγχος πτέρυγας κράτησης
interface_action_sack                           Απόλυση
interface_action_doormodenormal                 Λειτουργία πόρτας: Κανονική
interface_action_doormodelockedshut             Λειτουργία πόρτας: Κλειδωμένη
interface_action_doormodelockedopen             Λειτουργία πόρτας: Ανοιχτή
interface_action_switchon                       Ενεργοποίηση
interface_action_switchoff                      Απενεργοποίηση
interface_action_sellobject                     Πώληση αντικειμένου
interface_action_dismiss                        Αποδέσμευση
interface_action_connect                        Σύνδεση
interface_action_clearconnections               Αφαίρεση συνδέσεων
interface_action_servoopen                      Άνοιγμα κατά την ενεργοποίηση
interface_action_servoclose                     Κλείσιμο κατά την ενεργοποίηση

interface_contents_container                    Περιεχόμενα: *X  
interface_contents_stack                        Περιεχόμενα: *X x *Y  

interface_skip                                  ΠΑΡΑΛΕΙΨΗ

interface_error_riotmove                        Δεν μπορεί να μπει: Εξέγερση

interface_foundationsinprogress                 Τοποθετούνται θεμέλια
riot_underway                                   ΕΞΕΓΕΡΣΗ ΣΕ ΕΞΕΛΙΞΗ
riot_status_prisoners                           *X κρατούμενοι εξεγείρονται
shakedown_underway                              ΕΦΟΔΟΣ ΣΕ ΕΞΕΛΙΞΗ
shakedown_found                                 Βρέθηκαν:

gameover_caption                                Πάτησε Esc για συνέχεια

sector_jobs_max                                 Μέγιστες θέσεις εργασίας: *X
sector_jobs_qualified                           Κατάλληλοι κρατούμενοι: *X
sector_jobs_required                            (Απαιτείται: *X)
sector_noaccess                                 ΜΗ ΠΡΟΣΒΑΣΙΜΟ
sector_insecure                                 ΕΠΙΣΦΑΛΕΣ



# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Δοκιμή συμβατότητας υλικού
hardware_compat_message					Με την άδειά σου, θα θέλαμε να συγκεντρώσουμε τα εξής στοιχεία υλικού από τον υπολογιστή σου.\n\nΑυτές οι πληροφορίες είναι τελείως ανώνυμες και θα μας βοηθήσουν να εξασφαλίσουμε ότι το Prison Architect υποστηρίζεται από το ευρύτερο δυνατό φάσμα υλικού υπολογιστών.\n\nΕυχαριστούμε!
hardware_compat_accept					Δέχομαι
hardware_compat_decline					Αρνούμαι

connectionmenu_connect                  Σύνδεση
connectionmenu_disconnect               Αποσύνδεση
connectionmenu_clear                    Απαλοιφή
connectionmenu_done                     Ολοκληρώθηκε


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Οικοδόμηση
buildtoolbar_reports                    Αναφορές
buildtoolbar_bangup                     Έκτακτος εγκλεισμός
buildtoolbar_lockdown                   Αποκλεισμός
buildtoolbar_shakedown                  Έφοδος
buildtoolbar_weaponsfree                Πυρ κατά βούληση

buildtoolbar_tooltip_reports			Άνοιξε το παράθυρο αναφορών για να δεις πληροφορίες σχετικά με τους κρατουμένους, το προσωπικό, τα έσοδα, τις επιδοτήσεις σου και άλλα.
buildtoolbar_tooltip_bangup				Στέλνει όλους τους (πρόθυμους) κρατούμενος στα κελιά τους. Οι κρατούμενοι θα θυμώσουν πολύ αν τους αφήσεις έγκλειστους για πολλή ώρα.
buildtoolbar_tooltip_lockdown			Κλειδώνει άμεσα όλες τις πόρτες της φυλακής.
buildtoolbar_tooltip_shakedown          Διαταγή για άμεσο έλεγχο όλων των Κελιών. Θα πάρει αρκετή ώρα και θα ενοχλήσει τρομερά τους κρατουμένους σου.
buildtoolbar_tooltip_weaponsfree        Δίνει άδεια στους ένοπλους φύλακές σου για χρήση θανατηφόρας βίας.

buildtoolbar_cost						Κόστος: *C $
buildtoolbar_cost_sqrft					Κόστος: *C $ / τ.μ.
buildtoolbar_wages						Μισθοί: *W $ ανά ημέρα
buildtoolbar_outdoor					Μόνο σε εσωτερικούς χώρους
buildtoolbar_indoor						Μόνο σε εξωτερικούς χώρους
buildtoolbar_walk_speed					Ταχύτητα βαδίσματος: *S
buildtoolbar_walk_speed_slow			Αργή
buildtoolbar_walk_speed_norm			Κανονική
buildtoolbar_walk_speed_fast			Γρήγορη
buildtoolbar_locked                     ΚΛΕΙΔΩΜΕΝΟ
buildtoolbar_locked_research			ΚΛΕΙΔΩΜΕΝΟ (Χρειάζεται: *B)
buildtoolbar_locked_administrator		ΚΛΕΙΔΩΜΕΝΟ (Χρειάζεται: *B)
buildtoolbar_room						Δωμάτιο

buildtoolbar_electrical                 – Ηλεκτρικό
buildtoolbar_highpower                  – Υψηλής τάσης
buildtoolbar_water                      – Απαιτεί σύνδεση νερού
buildtoolbar_wired                      – Καλωδιωμένο (συνδέεται με άλλα Καλωδιωμένα αντικείμενα)
buildtoolbar_modcontent                 – Περιεχόμενο από Mod

buildtoolbar_popup_foundations			Κατασκεύασε/κατεδάφισε κτίρια για να δώσεις σχήμα στη φυλακή σου.
buildtoolbar_popup_construction			Διάφορα είδη δαπέδων και τοίχων.
buildtoolbar_popup_planning				Σχεδίασε τη φυλακή σου χωρίς να ανησυχείς μήπως κάνουν κάτι οι εργάτες σου.
buildtoolbar_popup_designation			Καθόρισε τμήματα της φυλακής σου που θα έχουν μια συγκεκριμένη λειτουργία.
buildtoolbar_popup_objects				Τοποθέτησε χρήσιμα αντικείμενα στη φυλακή σου.
buildtoolbar_popup_overlays				Εντόπισε οπτικά τυχόν αδυναμίες στη διάταξη της φυλακής σου.
buildtoolbar_popup_utilities			Υδραυλικά και ηλεκτρικά συστήματα.
buildtoolbar_popup_staff				Προσέλαβε τους εργαζομένους που χρειάζεται για να λειτουργεί η φυλακή σου.
buildtoolbar_popup_deployment			Τοποθέτησε προσωπικό στους χώρους της φυλακής σου.
buildtoolbar_popup_logistics            Ανάθεσε σε φυλακισμένους να δουλέψουν σε διάφορα σημεία της φυλακής σου. Σου δίνει επίσης πλήρη έλεγχο των εργασιών καντίνας και καθαρισμού ρούχων.
buildtoolbar_popup_research				Ξεκλείδωσε νέες δυνατότητες για τη φυλακή σου.
buildtoolbar_popup_emergencies			Κάλεσε τις υπηρεσίας επείγουσας ανάγκης, αν τα πράγματα πάρουν άσχημη τροπή.
buildtoolbar_popup_spawn				Εκκίνηση; Τι στο διάολο κάνει αυτό;
buildtoolbar_popup_clone				Κάνε αντιγραφή και επικόλληση των υπαρχόντων κτισμάτων σου.
buildtoolbar_popup_properties			Μάθε διάφορα γαμάτα.
buildtoolbar_popup_contraband           Δες τις πηγές Λαθραίων ειδών, καθώς και όλα τα λαθραία είδη που κατασχέθηκαν πρόσφατα στη φυλακή σου. Δείχνει επίσης τους Εμπιστευτικούς πληροφοριοδότες σου και τις πληροφορίες που παρέχουν.
buildtoolbar_popup_grading              Δες τη γενική βαθμολογία της φυλακής με βάση τέσσερα κριτήρια: Τιμωρία, Αναμόρφωση, Ασφάλεια και Υγεία. Δείχνει επίσης το ποσοστό υποτροπής της φυλακής σου.
buildtoolbar_popup_room_cell			Εδώ μένουν οι κρατούμενοί σου.
buildtoolbar_popup_room_holdingcell		Ένα δωμάτιο όπου τοποθετούνται οι καινούργιοι κατάδικοι, μέχρι να τους βρεθεί κελί.
buildtoolbar_popup_room_solitary		Μία μορφή φυλάκισης με απομόνωση, για τις χειρότερες των χειρότερων περιπτώσεων.
buildtoolbar_popup_room_canteen			Εδώ παίρνουν οι κρατούμενοί σου το απογευματινό τους τσάι.
buildtoolbar_popup_room_kitchen			Χώρος όπου οι μάγειρες ετοιμάζουν φαγητό για τους κρατουμένους σου.
buildtoolbar_popup_room_shower			Χρησιμοποιείται για να διατηρεί τους κρατουμένους σου πεντακάθαρους και χωρίς ψείρες.
buildtoolbar_popup_room_yard			Επιτρέπει στους κρατουμένους σου να απολαμβάνουν το φως του ήλιου λίγες ώρες την ημέρα, υπό το άγρυπνο βλέμμα των ελεύθερων σκοπευτών σου.
buildtoolbar_popup_room_storage			Χώρος όπου αποθηκεύονται τα υλικά που χρειάζεται το προσωπικό της φυλακής σου.
buildtoolbar_popup_room_deliveries		Σημείο όπου γίνεται η παράδοση αγαθών, υλικών και κρατουμένων.
buildtoolbar_popup_room_garbage			Από εδώ συλλέγονται τα απορρίμματά σου.
buildtoolbar_popup_room_execution		Εδώ στέλνεις τους κρατουμένους σου για να πεθάνουν.
buildtoolbar_popup_room_workshop		Εδώ στέλνεις τους κρατουμένους σου για να πεθάνουν από τη βαρεμάρα, ενώ φτιάχνουν πινακίδες κυκλοφορίας αυτοκινήτων για λογαριασμό σου.
buildtoolbar_popup_room_security		Γραφεία για τους τρομερούς σου φύλακες.
buildtoolbar_popup_room_office			Χώρος εργασίας του διοικητικού σου προσωπικού.
buildtoolbar_popup_room_medicalward		Χώρος εργασίας του ιατρικού σου προσωπικού.
buildtoolbar_popup_room_morgue			Εδώ στέλνεις τους νεκρούς σου κρατουμένους και μέλη του προσωπικού σου.
buildtoolbar_popup_room_commonroom		Επιτρέπει στους κρατουμένους να χαλαρώσουν για λίγο.
buildtoolbar_popup_room_kennel          Εδώ μένουν οι σκύλοι της φυλακής σου.
buildtoolbar_popup_room_chapel          Τι γίνεται όταν μια επιτροπή γραφειοκρατών συνεδριάζει και σχεδιάζει μια λύση για τις θρησκευτικές ανάγκες των κρατουμένων; Ένας «πολυθρησκευτικός χώρος προσευχής», αυτό γίνεται. Εμείς, πάντως, το αποκαλούμε Παρεκκλήσι.
buildtoolbar_popup_room_paroleroom      Οι κρατούμενοί σου θα δικαιούνται αποφυλάκιση υπό όρους αφού εκτίσουν το 50% και το 75% της ποινής τους. Η μοίρα τους θα αποφασίζεται σε αυτό το δωμάτιο, παρουσία του Διευθυντή και του Αρχιφύλακα.\n\nΣημείωση: προτείνεται η λήψη έξτρα μέτρων ασφαλείας. Μερικές φορές οι κρατούμενοι αναστατώνεται επικίνδυνα όταν απορρίπτεται το αίτημα αποφυλάκισής τους.
buildtoolbar_popup_room_library         Η φυλακή σου θα λαμβάνει κούτες άχρηστων και μεταχειρισμένων βιβλίων από όλη τη χώρα. Οι κρατούμενοι θα πρέπει να ταξινομούν αυτά τα βιβλία στα ράφια.
buildtoolbar_popup_room_intake          Εδώ οδηγούνται αρχικά οι κρατούμενοί σου όταν φτάνουν στη φυλακή.

buildtoolbar_popup_obj_bed				Δεν είναι πολύ μαλακό, ούτε πολύ σκληρό, αλλά ακριβώς όπως πρέπει. Μπα, για να είμαστε ειλικρινείς, είναι σκληρό (και μικρό) σαν χαλίκι.
buildtoolbar_popup_obj_toilet			Ένα βασικό ανθρώπινο δικαίωμα, τουλάχιστον σύμφωνα με κάτι τρελάρες που το παίζουν ειδικοί.
buildtoolbar_popup_obj_table			Ταιριάζει περίφημα με μια καρέκλα.
buildtoolbar_popup_obj_chair			Ταιριάζει εξαιρετικά με ένα τραπέζι.
buildtoolbar_popup_obj_bench			Για να κάθεται κόσμος πάνω του.
buildtoolbar_popup_obj_electricchair	Για να αποδίδεις 2.000 βολτ ηλεκτρικής δικαιοσύνης.
buildtoolbar_popup_obj_jaildoor			Για να κρατάς τους κρατουμένους σου στη θέση τους.
buildtoolbar_popup_obj_jaildoorlarge	Για να κρατάς πολλούς κρατουμένους σου στη θέση τους.
buildtoolbar_popup_obj_door				Μια απλή πόρτα.
buildtoolbar_popup_obj_solitarydoor		Μια βαριά πόρτα για να εμποδίζει ακόμα και τους δυνατότερους κρατούμενους να αποδράσουν.
buildtoolbar_popup_obj_staffdoor		Μια κλειδωμένη πόρτα που μπορεί να την ανοίγει οποιοδήποτε μέλος του προσωπικού, όχι μόνο οι Φύλακες.
buildtoolbar_popup_obj_window			Για να περνάει λίγο φως του ήλιου.
buildtoolbar_popup_obj_windowlarge		Για να περνάει μπόλικο φως του ήλιου.
buildtoolbar_popup_obj_tree				Η λήψη μέτρων ενάντια στην υπερθέρμανση του πλανήτη είναι ευθύνη όλων μας.
buildtoolbar_popup_obj_light			Για να μπορείς να δεις τους κρατουμένους σου κάθε στιγμή της ημέρας.
buildtoolbar_popup_obj_cooker			Ζεστό φαγητό: μια υπερλούξ εμπειρία για τους κρατουμένους σου.
buildtoolbar_popup_obj_fridge			Δεν αφήνει τα τρόφιμά σου να σαπίσουν.
buildtoolbar_popup_obj_bin				Η ευταξία είναι σημαντική για το θέμα των λαθραίων ειδών.
buildtoolbar_popup_obj_sink				Όλοι οι εργαζόμενοι πρέπει να πλένουν τα χέρια τους.
