
campaigncutscene_tooltip 				(Klicken, um das nächste Kapitel der Geschichte auszulösen)
adviser_food_explainneeds1 				Alle Häftlinge haben Bedürfnisse. Und diese Bedürfnisse wirken sich direkt auf ihr Verhalten aus. Im Moment sind alle furchtbar hungrig, deswegen auch das ganze Geschrei.
adviser_food_explainneeds2 				Essen ist eines ihrer Hauptbedürfnisse und wenn Sie das nicht befriedigen, droht Ihnen jede Menge Ärger. Ein Gefängnis ist immer nur wenige ausgefallene Mahlzeiten von einem ausgewachsenen Aufstand entfernt.
adviser_food_explainneeds3 				Über den Bedürfnisbericht können Sie die Bedürfnisse Ihrer Häftlinge kontrollieren. Sie können ihn normalerweise über das Berichtesymbol rechts unten öffnen.
adviser_food_explainneeds4				In diesem Bericht werden die Bedürfnisse aller Ihrer Häftlinge angezeigt. Rot bedeutet, dass viele Häftlinge wütend sind, weil das Bedürfnis nicht befriedigt wird.
adviser_food_explainneeds5 				Wie zu erwarten, ist "Essen" für praktisch jeden rot. Aber diese Häftlinge sind auch sehr gelangweilt (Bedürfnis "Unterhaltung") und das Gefängnis befindet sich in einem ziemlich dürftigen Zustand, was sich in den Bedürfnissen "Umgebung" und "Kleidung" niederschlägt.
adviser_food_explainneeds6				Als Gefängnisarchitekt ist es Ihre Aufgabe, zu entscheiden, um welche Bedürfnisse Sie sich zuerst kümmern. Sie könnten zum Beispiel Fernseher in den Zellen anbringen, damit die Häftlinge eine Beschäftigung haben und ein paar Hausmeister einstellen, um das Gefängnis aufzuräumen.
adviser_food_explainneeds7				Oder Sie ignorieren die Bedürfnisse der Häftlinge einfach und verlassen sich auf rohe Gewalt, um Ihr Gefängnis unter Kontrolle zu behalten.
adviser_food_explainneeds8 				Das überlasse ich Ihnen.

objective_food_needs 					(OPTIONAL) Kümmern Sie sich um die Bedürfnisse Ihrer Häftlinge!
objective_food_handlefoodneed 			(OPTIONAL) Kümmern Sie sich um das Bedürfnis "Essen" Ihrer Häftlinge! 
objective_food_handleboredomneed		(OPTIONAL) Kümmern Sie sich um das Bedürfnis "Unterhaltung" Ihrer Häftlinge! 
objective_food_handleenvironmentneed	(OPTIONAL) Kümmern Sie sich um das Bedürfnis "Umgebung" Ihrer Häftlinge!

objective_food_needs_description 					Eine Übersicht über die Bedürfnisse all Ihrer Häftlinge können Sie öffnen, indem Sie "Berichte" anklicken (rechts unten).\nSie können auch einen Häftling markieren und dessen Bedürfnisse aufrufen.\n\nBedürfnisse können nie dauerhaft befriedigt werden - es ist ein niemals endender Kampf.
objective_food_handlefoodneed_description 			Unsere Köche bereiten für alle Essen zu und alle Häftlinge sollten zum Ende der nächsten Essenszeit versorgt worden sein.
objective_food_handleboredomneed_description 		Gegen Langeweile können Sie Fernseher in jeder Zelle anbringen. Oder Sie bauen einen Gemeinschaftsraum mit ein paar Fernsehern und Billardtischen.\n\nSie können auch Fernseher in Gemeinschaftsräumen, wie der Kantine, aufstellen.
objective_food_handleenvironmentneed_description 	Wenn Sie Haumeister einstellen, machen diese nach und nach alles sauber.

adviser_food_needssuccess1 				Sie haben große Hingabe bei der Sorge um die Bedürfnisse Ihrer Häftlinge bewiesen. Gut gemacht.
adviser_food_needssuccess2 				Sie haben wahrscheinlich schon bemerkt, dass die Hauptklage unter Ihren Häftlingen der Mangel an sauberer Kleidung ist. 
adviser_food_needssuccess3 				Wenn Sie sich auch dieses Bedürfnisses annehmen wollen, müssen Sie die Wäscherei freischalten und einen Waschdienst ins Leben rufen, damit nach und nach alle Häftlinge saubere Kleidung bekommen.
adviser_food_needssuccess4 				Bauen Sie eine Wäscherei. Stellen Sie für Ihre Wäscherei ausreichend Hausmeister ein.

objective_food_laundry 					(OPTIONAL) Sorgen Sie für saubere Kleidung!
objective_food_buildlaundry 			(OPTIONAL)Bauen Sie eine Wäscherei!
objective_food_hirejanitors             (OPTIONAL) Stellen Sie für Ihre Wäscherei ausreichend Hausmeister ein!
objective_food_handleclothingneed 		(OPTIONAL) Kümmern Sie sich um die Kleidungsbedürfnisse Ihrer Häftlinge!

objective_food_buildkitchen             Bauen Sie eine Küche (ca. 12 qm)!
objective_food_buildkitchencookers      Installieren Sie mindestens vier Herde!
objective_food_buildkitchenfridges      Installieren Sie mindestens vier Kühlschränke!
objective_food_buildkitchensink         Installieren Sie eine Küchenspüle!
objective_food_buildkitchenbin	 		Platzieren Sie einen Mülleimer in der Küche!
objective_food_buildkitchenwatermains 	Schließen Sie die Spüle an die Wasserleitung an!
objective_food_buildkitchenfloor 		(OPTIONAL) Verbessern Sie den Küchenboden!

objective_food_buildkitchen_description		Sie müssen zuerst das Fundament bauen.
objective_food_buildcanteen_description		Sie müssen zuerst das Fundament bauen.

objective_Food_HireChefs				Stellen Sie mindestens acht Köche ein!
objective_food_CookMeals				(Automatisch) Bereiten Sie Mahlzeiten für alle Häftlinge zu!

objective_food_buildcanteen             Bauen Sie eine Kantine (ca. 20 qm)!
objective_food_buildservingtables       Installieren Sie zwei Essensausgaben!
objective_food_buildcanteentables       Stellen Sie mindestens sechs Tische auf!
objective_food_buildcanteenchairs       Stellen Sie an jeden Tisch zwei Bänke!
objective_food_buildcanteenbin	 		Platzieren Sie einen Mülleimer in der Kantine!
objective_food_buildcanteenfloor 		(OPTIONAL) Verbessern Sie den Kantinenboden!


objective_food_buildsprinklers          Installieren Sie eine neue Sprinkleranlage!
objective_food_buildsprinklers1         Installieren Sie mehrere Sprinkler in der Küche!
objective_food_buildsprinklers2         Installieren Sie mehrere Sprinkler in der Kantine!
objective_food_connectwater             Schließen Sie die Sprinkler in der Küche an die Wasserleitung an!
objective_food_connectwater2			Schließen Sie die Sprinkler in der Kantine an die Wasserleitung an!
objective_food_feedprisoners            Schließen Sie einen Essensdienst ab, indem Sie alle Häftlinge mit Essen versorgen!

objective_food_buildkitchenwatermains_description   Große Rohre leiten große Wassermengen unter hohem Druck. Kleine Rohre sind für den Anschluss von einzelnen Objekten an die Wasserversorgung gedacht.\n\nÖffnen Sie das Fenster "Versorgung", um grße Rohre in Ihre Gebäude einzubauen. Danach verbinden Sie mit kleinen Rohren alle Objekte in der Umgebung, die mit Wasser versorgt werden müssen, mit dem großen Rohr.
objective_food_connectwater_description             Große Rohre leiten große Wassermengen unter hohem Druck. Kleine Rohre sind für den Anschluss von einzelnen Objekten an die Wasserversorgung gedacht.\n\nÖffnen Sie das Fenster "Versorgung", um grße Rohre in Ihre Gebäude einzubauen. Danach verbinden Sie mit kleinen Rohren alle Objekte in der Umgebung, die mit Wasser versorgt werden müssen, mit dem großen Rohr.
objective_food_connectwater2_description            Große Rohre leiten große Wassermengen unter hohem Druck. Kleine Rohre sind für den Anschluss von einzelnen Objekten an die Wasserversorgung gedacht.\n\nÖffnen Sie das Fenster "Versorgung", um grße Rohre in Ihre Gebäude einzubauen. Danach verbinden Sie mit kleinen Rohren alle Objekte in der Umgebung, die mit Wasser versorgt werden müssen, mit dem großen Rohr.

campaigncutscene_foodinfirmary			Die Krankenstation
campaigncutscene_foodfamily             Die Familie
campaigncutscene_foodfeud               Die Fehde
campaigncutscene_foodregret				Die Reue
campaigncutscene_foodsuccession 		Die Nachfolge

campaigncutscene_foodfamily_description		Die Familie Palermo hat früher den Drogenhandel an der gesamten Ostküste Amerikas kontrolliert. Entdecken Sie die Hintergrundgeschichte von Don Palermo und seinen Kindern.

adviser_name_thedon                     Don Palermo
adviser_name_thedonangry                Don Palermo
adviser_name_nico                       Nico Tamoretti 
adviser_name_nicoshower					Nico Tamoretti
adviser_name_nicosuited					Nico Tamoretti
adviser_name_sonny                      Sonny Palermo 
adviser_name_sonnysuited				Sonny Palermo
adviser_name_sonnystrangled				Sonny Palermo
adviser_name_anthonysuited				Anthony Palermo
adviser_name_wiggins					Wiggins
adviser_name_nicoinfirmary				Nico Tamoretti
adviser_name_vitalia					Vitalia Palermo

cutscene_foodfamily_palermo01			Don Victor Palermo. Boss einer der gefürchtetsten Mafiafamilien der Ostküste.
cutscene_foodfamily_palermo1			Die Palermos haben das FBI jahrzehntelang an der Nase herum geführt.
cutscene_foodfamily_palermo02			Anthony Palermo, der älteste Sohn von Don und dessen natürlicher Nachfolger, war für das Tagesgeschäft verantwortlich. 
cutscene_foodfamily_palermo03			Nico Tamoretti war zwar ursprünglich kein Familienmitglied, wurde aber aufgenommen, als er Dons einzige Tochter Vitalia heiratete.
cutscene_foodfamily_palermo04			Und dann ist da noch Sonny Palermo. Der zweite Sohn von Don. Ein echter Fiesling. Ein Temperament wie ein Pitbull und nur halb so viel Grips.

cutscene_foodfamily_palermo2 			Ihr Imperium umfasste den Drogenhandel von Maine bis Florida. 
cutscene_foodfamily_palermo3			Zumindest, bis Anthony in flagranti erwischt wurde.
cutscene_foodfamily_palermo3b           Er wurde von einem eifersüchtigen Ehemann erschossen.
cutscene_foodfamily_palermo4			Zum Pech für die Familie fand die Polizei am Tatort in Anthonys Sporttasche zwölf Kilo reinstes Kokain. 
cutscene_foodfamily_palermo5			Und die Beweise führten bis hoch zum Familienoberhaupt.
cutscene_foodfamily_palermo6			Über Nacht fiel alles, was sich die Familie Palermo aufgebaut hatte, in sich zusammen. Das FBI hatte alles, was es brauchte, um sie im Gefängnis verrotten zu lassen.
cutscene_foodfamily_palermo7			Fehlt noch Vitalia, die Tochter von Don und einziges lebendes Familienmitglied, das nicht hinter Gittern ist.
cutscene_foodfamily_palermo8			Wir wissen nur wenig über sie, abgesehen davon, dass sie immer aus den Familiengeschäften rausgehalten wurde. 
cutscene_foodfamily_palermo9 			Aber irgendjemand muss die Drogen von außerhalb reingeschmuggelt haben.

adviser_food_findalldrugs1				Damit wäre das Essensproblem behoben. Die Insassen werden mit vollen Bäuchen viel zufriedener sein.

adviser_food_findalldrugs2				Die Palermos haben diese Drogen unter Garantie an jeden unserer Häftlinge verkauft. 
adviser_food_findalldrugs3				Die Wachen sagen, viele Häftlinge hätten sich seit dem Feuer zurückgezogen. 
adviser_food_findalldrugs4				Ich will, dass Sie jeden einzelnen Häftling und jede einzelne Zelle durchsuchen. Ich wette, wir werden Palermos Drogen überall im Gefängnis finden.

objective_food_findalldrugs					Finden Sie alle Drogen im Gefängnis!
objective_food_findalldrugs_description 	Durchsuchen Sie jeden Zellenblock, indem Sie erst einen Häftling darin anklicken und dann "Zellenblock durchsuchen". Oder Sie benutzen die Option "Razzia" in der Werkzeugleiste am unteren Bildschirmrand.

objective_food_hiremoreguards 			(OPTIONAL) Stellen Sie mehr Wachen ein, um die Durchsuchung zu beschleunigen!

adviser_food_drugsfound1				Das Gute ist, dass alles nicht so schlimm ist, wie es hätte sein können. Aber wir haben definitiv Probleme mit Drogensucht und Alkoholismus.
adviser_food_drugsfound2				Wir müssen diesen Männern helfen. Nur so können wir den Missbrauch unterbinden und uns um ihre Symptome kümmern. 
adviser_food_drugsfound2b 				Starten Sie ein Drogentherapie-Programm auf der Krankenstation. Unsere Ärzte werden eine Ersatzdroge austeilen, die den Suchtdruck der Süchtigen mindert.
adviser_food_drugsfound3				Für die Alkoholiker gibt es keine Ersatzdroge, wir sollten für sie eine Gruppentherapie ins Leben rufen. 
adviser_food_drugsfound4				Sie müssen einen neuen Gemeinschaftsraum bauen, um diese Treffen abzuhalten.
adviser_food_drugsfound5				Um neue Programme zu starten, gehen Sie rechts unten zu "Berichte" und dann zu "Programme".

objective_food_drugtreatment			Beginnen Sie ein Drogentherapie-Programm.
objective_food_cureaddictions			(OPTIONAL) Beginnen Sie, die drogensüchtigen Häftlinge zu heilen!
objective_food_alcoholprogram			Starten Sie ein Gruppentherapie-Programm für Alkoholiker!
objective_Food_HelpAlcoholics			(OPTIONAL) Fangen Sie an, den Alkoholikern durch den Entzug zu helfen!
objective_food_buildcommonroom 			Bauen Sie einen Gemeinschaftsraum! 
objective_food_buildcommonroomchairs	Erschaffen Sie einen Sitzungsraum mit acht Stühlen!

objective_food_drugtreatment_description 	Klicken Sie rechts unten "Berichte" an und wählen Sie dann die Registerkarte "Programme" aus. Das Programm heißt "Pharmakologische Behandlung von Drogensucht" und findet auf der Krankenstation statt.\n\nNb Es müssen mindestens zwei Stunden Arbeitszeit in der Tagesordnung zugewiesen werden, damit Häftlinge teilnehmen können.
objective_food_alcoholprogram_description 	Klicken Sie rechts unten "Berichte" an und wählen Sie dann die Registerkarte "Programme" aus. \n\nNb Es müssen mindestens zwei Stunden Arbeitszeit in der Tagesordnung zugewiesen werden, damit Häftlinge teilnehmen können.

cutscene_food_feudintro1 				Es gab einen Vorfall in der Dusche. Wir haben einen Toten. 
cutscene_food_feudintro2 				Es sind sogar zwei Tote. Zum Glück ist alles kameraüberwacht. 
cutscene_food_feudintro3 				Wenn Sie einen Moment Zeit haben, klicken Sie auf das Polaroid in der Dusche, dann sehen wir uns an, was passiert ist.

objective_food_triggerfightscene		Klicken Sie zum Fortfahren das Polaroid in der Dusche an, wenn Sie bereit sind.
objective_food_triggerfightscene_description 	Die Duschen befinden sich in der nordwestlichen Ecke der Strafanstalt.

cutscene_food_feud1b                    Alleine. Perfekt.
cutscene_food_feud1                     Du hast dir viel Zeit gelassen.
cutscene_food_feud2                     Lass den Scheiß. Ich hab sowieso nie verstanden, was meine Hure von einer Schwester an dir gefunden hat.
cutscene_food_feud2b 					Ist das ihre Idee? Ohne den Alten?
cutscene_food_feud3                     Das denkst du, du fettes Arschloch? Ich wollte nicht, dass er verletzt wird. Ich liebe ihn wie meinen eigenen Vater.
cutscene_food_feud3b 					Ich ertrage es nicht mehr, mit anzusehen, wie diese Familie durch deine Dummheit zugrunde geht.
cutscene_food_feud4                     Das Feuer war für dich.
cutscene_food_feud5                     Dann will ich dir den Gefallen mal zurückzahlen.
cutscene_food_feud6                     Tu nicht so als wärst du ein Heiliger. Wir wissen beide, dass du schon immer vorhattest, mich eines Tages um die Ecke zu bringen.
cutscene_food_feud7                     Ja, du warst schon immer ein schlaues Kerlchen, Nico. Sieh nur, wie weit dich das gebracht hat. Keine Angst, tut gar nicht weh.
cutscene_food_feud8                     Ich hab's dir gesagt. Pass auf dich auf.
cutscene_food_feud8b                    arrgggghhhh!!!!!.....
cutscene_food_feud8c                    AAARRRGGRGGGGGG!!!!
cutscene_food_feud8d                    Kennst du Franky? Er kann hervorragend mit Klavierdraht umgehen.
cutscene_food_feud8e                    Ehrlich gesagt werden sie es für einen Selbstmord halten, wenn er fertig ist.
cutscene_food_feud9                     Es ist noch nicht vorbei, Nico.
cutscene_food_feud9b                    Du willst mich verarschen.

cutscene_food_successionintro			Sehr gut. Wir haben hier einiges bewirkt und ich denke, das Gefängnis befindet sich wieder unter unserer Kontrolle.
cutscene_food_successionintro2 			Sie können bleiben und das Gefängnis weiter verbessern oder wir machen mit der nächsten Strafanstalt weiter.
cutscene_food_successionintro3 			Klicken Sie das Polaroid auf der Krankenstation an, wenn Sie bereit sind, fortzufahren.

objective_food_runending 				Klicken Sie zum Fortfahren das Polaroid in der Dusche an, wenn Sie bereit sind.
objective_food_runending_description	Die Krankenstation befindet sich am Südwestrand des Gefängnisses.

cutscene_food_succession1				Vitalia! 
cutscene_food_succession1b				...?
cutscene_food_succession2				Süße!
cutscene_food_succession3				Tut mir leid. Ich hab's vermasselt.
cutscene_food_succession4				Ganz ruhig.
cutscene_food_succession5				Sie sagen, Dad wird die Woche nicht überstehen.
cutscene_food_succession6				Ich weiß. Ich bin hier, um mich zu verabschieden.
cutscene_food_succession7				Weißt du, wir könnten einfach gehen. Du und ich. Dieses verdammte Leben. Alles ist weg.
cutscene_food_succession8				Kling gut.
cutscene_food_succession9				Aber ich kann nicht. Ich bin eine Palermo, Nico.
cutscene_food_succession10				Und wenn Daddy nicht mehr ist und du als Außenseiter seinen Platz einnähmest, würden unsere Feinde unsere Familie vernichten. 
cutscene_food_succession11 				Das darf ich nicht zulassen. Ich muss allen zeigen, dass immer noch ein Palermo auf dem Thron sitzt.
cutscene_food_succession12				Was, du kommst hierher um mich zu ohrfeigen? Nach allem, was wir zusammen durchgestanden haben?
cutscene_food_succession13				Nico, Nico, Nico. Du bist so altmodisch. 
cutscene_food_succession14 				Nein, Süßer. Ich werde mich von dir scheiden lassen.
cutscene_food_succession15				Wie bitte? Willst du mich verarschen? Ohne die Familie hinter mir bin ich hier drin ein toter Mann.
cutscene_food_succession16				Ich weiß, Süßer. Aber das geht mich nichts mehr an.
cutscene_food_succession17				Ich wünsche dir einen besseren Ort, Daddy.
cutscene_food_succession18				Mach's gut, Nico.


# =============================================================================
# Riot 
# =============================================================================

campaignchapter_riot                    Keine Zeit für Mitleid
campaignchapter_riot_description		Im Alchemico Staatsgefängnis gibt es einen Aufstand. Begeben Sie sich dorthin und bringen Sie das Gebäude wieder unter Kontrolle.

campaigncutscene_riotintro              Sondermeldung

adviser_riot_newsintro_01				Sondermeldung! 
adviser_riot_newsintro_02				Aufstand im Alchemico Staatsgefängnis - Angestellte und Sicherheitspersonal haben sich an die Umzäunung zurückgezogen und warten dort auf militärische Unterstützung.
adviser_riot_newsintro_1				Mehrere Mitarbeiter werden noch vermisst, darunter auch Geschäftsführer Charles Wallace.
adviser_riot_newsintro_2				Der Aufstand brach los, nachdem mehrere hochrangige Richter in Gewahrsam genommen wurden, ...
adviser_riot_newsintro_3				... die gegen Bestechungsgeld schwerere Gefängnisstrafen ausgesprochen haben sollen.
adviser_riot_newsintro_4				Quellen zufolge wird die Situation dadurch noch angespannter, dass die Unterwelt kürzlich von mehreren Morden an hochrangigen Kriminellen erschüttert wurde ...
adviser_riot_newsintro_5				... darunter auch der letztmonatige Mordanschlag auf den Mafiaboss Victor Palermo.
adviser_riot_newsintro_6				Der Stellvertreter von Geschäftsführer Charles Wallace, der relativ neu auf diesem Gebiet ist, wurde mit der Wiederherstellung der Ordnung betraut.
adviser_riot_newsintro_7				Es bleibt abzuwarten, ob sein Mangel an Erfahrung sich in dieser schwierigen Lage negativ auswirken wird.
adviser_riot_newsintro_8                Douglas Benedict, der gerade eine lebenslängliche Haftstrafe absitzt, soll der Rädelsführer hinter diesem Gewaltausbruch sein.

adviser_riot_newsintroheller_1 			Vor wenigen Minuten hat sich Bürgermeister Calvin Heller zur Lage geäußert.
adviser_riot_newsintroheller_2 			Allen, die unsere Reformbemühungen im Bereich des Strafvollzugs kritisieren, sollten sich dies als schreckliche Mahnung zu Herzen nehmen. 
adviser_riot_newsintroheller_3 			Diese Männer bekommen Unterkunft und Essen gestellt. Sie haben das Privileg bezahlter Arbeit. 
adviser_riot_newsintroheller_4 			Das ist ihr Dank an alle Steuerzahler, die für ihr angenehmes Leben zahlen.

campaigncutscene_riothostages			Geiseln
adviser_name_riotceo					Der Geschäftsführer 
adviser_name_riotbenedict 				Benedict

adviser_riot_hostages1					Aufgepasst. Wir haben euren Boss. 
adviser_riot_hostages1b 				Argh.... ...
adviser_riot_hostages2 					Und so läuft das hier. Ich frage. Ihr liefert. 
adviser_riot_hostages3					Wenn's Probleme gibt, ihr irgendjemand hier reinschickt oder wenn ich auch nur einen Bullen rieche, kriegt er 'ne Kugel in den Schädel.
