
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nowa gra
# Sound tools
# =============================================================================

soundchannelviewer_title                Kanały dźwiękowe
soundeditor_title                       Edytor dźwięków
soundinstanceeditor_title				Edytor instancji dźwiękowych

soundeditor_positiontitle		Typ pozycji
soundeditor_instancetitle		Typ instancji
soundeditor_looptitle			Typ pętli
soundeditor_sourcetypetitle		Typ dźwięku
soundeditor_soundnametitle		Nazwa dźwięku

soundeditor_volumetitle			Głośność
soundeditor_frequencytitle              Częstotliwość
soundeditor_mindistancetitle            Min. odległość
soundeditor_attacktitle                 Czas ataku
soundeditor_sustaintitle                Podtrzymanie
soundeditor_releasetitle                Zwolnienie
soundeditor_loopdelaytitle              Opóźnienie pętli
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Następne zdarzenie

soundeditor_play                        Odtwarzaj
soundeditor_stop                        Zatrzymaj

soundparametereditor_title              Parametr dźwięku
soundparametereditor_typetitle          Typ
soundparametereditor_linktitle          Powiązany z
soundparametereditor_updatetitle        Typ aktualizacji
soundparametereditor_smoothing          Wygładzanie
soundparametereditor_chaintitle         Łańcuch

soundeditor_newdsp                      Dodaj DSP
sounddspeditor_title                    Edytor DSP
samplebankeditor_title                  Edytor sampli
samplebankeditor_addsample              Dodaj dźwięk
samplebank                              (biblioteka sampli)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            Gotowe
interfacemode_destroy                         Usuń
interfacemode_foundations				Fundamenty
interfacemode_construction                    Materiały
interfacemode_planning                        Planowanie
interfacemode_objects                         Obiekty
interfacemode_designation                     Pomieszczenia
interfacemode_utilities                       Zaplecze
interfacemode_staff                           Personel
interfacemode_deployment                      Rozmieszczenie
interfacemode_logistics                       Logistyka
interfacemode_prisoners                       Więźniowie
interfacemode_needs                           Potrzeby
interfacemode_threats                         Zagrożenia
interfacemode_overlays                        Nakładki
interfacemode_research                        Biurokracja
interfacemode_emergencies                     Służby ratownicze
interfacemode_clone                           Kopiuj
interfacemode_contraband                      Wywiad
interfacemode_grading                         Klasyfikacja
interfacemode_spawn                           (miejsce startowe)
interfacemode_properties                      (właściwości)
interfacemode_cutscenes                       (przerywniki filmowe)
interfacemode_selection                       Wybierz

interfaceoverlay_security                       Bezpieczeństwo
interfaceoverlay_patrols                        Patrole
interfaceoverlay_decay                          Pogorszenie
interfaceoverlay_territory                      Obszar
interfaceoverlay_contraband                     Kontrabanda

interfaceproperty_indoor                        Wnętrze
interfaceproperty_visible                       Widoczne
interfaceproperty_territoryprisoner             Gangi
interfaceproperty_territoryguard                Strażnicy
interfaceproperty_sectorprisoner                Zamieszki
interfaceproperty_tunnel                        Tunel

interfacedeployment_guards                      Strażnicy
interfacedeployment_patrols                     Patrole
interfacedeployment_dogpatrols                  Patrole z psami
interfacedeployment_armedpatrols                Uzbrojone patrole
interfacedeployment_removeguards                Usuń strażników
interfacedeployment_clearpatrols                Wyczyść patrole
interfacedeployment_targetting                  Logistyka
interfacedeployment_targettingfood              Logistyka żywności
interfacedeployment_targettinglaundry           Logistyka prania
interfacedeployment_securearea                  Bezpieczny obszar
interfacedeployment_sharedzone                  Współdzielony obszar
interfacedeployment_staffonlyzone               Tylko dla personelu
interfacedeployment_maxseczone                  Zaostrzony rygor bezpieczeństwa
interfacedeployment_medseczone                  Średni rygor bezpieczeństwa
interfacedeployment_minseczone                  Minimalny rygor bezpieczeństwa
interfacedeployment_protectedzone               Strefa chroniona
interfacedeployment_supermaxzone                Najwyższy rygor bezpieczeństwa
interfacedeployment_deathrowzone                Strefa oczekiwania na wyrok śmierci
interfacedeployment_unlockedzone                Odblokowana strefa
interfacedeployment_zonered                     Oddział czerwony
interfacedeployment_zonegreen                   Oddział zielony
interfacedeployment_zoneblue                    Oddział niebieski
interfacedeployment_zoneyellow                  Oddział żółty

interfacelogistics_jobs                         Praca więzienna
interfacelogistics_removejobs                   Usuń pracę
interfacelogistics_targettingfood               Dystrybucja żywności
interfacelogistics_targettinglaundry            Dystrybucja prania
interfacelogistics_roomquality                  Jakość pomieszczeń

interfaceplanning_wall							Ściany
interfaceplanning_object						Obiekty
interfaceplanning_route							Ścieżki
interfaceplanning_clear							Wyczyść
interfaceplanning_zone1							Strefa 1
interfaceplanning_zone2							Strefa 2
interfaceplanning_zone3							Strefa 3
interfaceplanning_zone4							Strefa 4
interfaceplanning_zone5							Strefa 5
interfaceplanning_zone6							Strefa 6
interfaceplanning_zone7							Strefa 7
interfaceplanning_zone8							Strefa 8
interfaceplanning_zone9							Strefa 9

interfacecontraband_source                      Zagrożenia
interfacecontraband_day                         -24 godziny
interfacecontraband_week                        -7 dni
interfacecontraband_alltime                     -30 dni
interfacecontraband_informants                  Informatorzy
interfacecontraband_gangs                       Gangi

interfaceclone_copy                             Kopiuj
interfaceclone_paste                            Wklej

interfacetopbar_todo							Lista zadań
interfacetopbar_balance							Bank *B
interfacetopbar_budget							Przepływy pieniężne *C
interfacetopbar_income							Dochody *I
interfacetopbar_expenses						Koszty *C
interfacetopbar_day								DZIEŃ *D

interfacetopbar_title_balance					Saldo bankowe
interfacetopbar_title_budget					Dzienny przepływ pieniężny
interfacetopbar_title_cctv						System monitoringu
interfacetopbar_title_day						Dzień
interfacetopbar_title_prisoners					Więźniowie
interfacetopbar_title_guards					Strażnicy
interfacetopbar_title_tension                   Zagrożenie

interfacetopbar_tooltip_balance					Ilość środków w banku.\n\nKliknij, aby pozyskać więcej środków z listy dotacji.
interfacetopbar_tooltip_budget					Ilość środków otrzymywana codziennie, uzależniona od bieżących wydatków i dochodów.\n\nKliknij, aby wyświetlić szczegółowe podsumowanie dochodów i wydatków. 
interfacetopbar_tooltip_cctv					Liczba posiadanych kamer i monitorów.
interfacetopbar_tooltip_day						Czas, przez który zarządzasz więzieniem.
interfacetopbar_tooltip_prisoners				Bieżąca oraz maksymalna liczba więźniów.
interfacetopbar_tooltip_guards					Liczba więźniów zdolnych do pracy.
interfacetopbar_tooltip_tension                 Ogólny poziom zagrożenia w więzieniu w opinii szefa ochrony.

interfacetopbar_tooltip_recenttransactions      Ostatnie transakcje

interfacetopbar_tooltip_gametime                Łączny czas gry: *X h, *Y min, *Z s.

interfacetopbar_tooltip_totalguards             *X strażników
interfacetopbar_tooltip_guardincapacitated      *X unieruchomionych
interfacetopbar_tooltip_guardstationed          *X stacjonujących 
interfacetopbar_tooltip_guardpatrolling         *X patrolujących
interfacetopbar_tooltip_guardavailable          *X dostępnych
interfacetopbar_tooltip_guardresting            *X odpoczywających
interfacetopbar_tooltip_guardactive             (*X zajmujących się incydentami)
interfacetopbar_tooltip_guarddoingjob           *X wykonujących prace
interfacetopbar_tooltip_idle                    (*X bezczynnych)
interfacetopbar_tooltip_armedguards             + *X uzbrojonych strażników
interfacetopbar_tooltip_dogs                    + *X przewodników psów

interfacetopbar_unlimitedfunds                  NIEOGRANICZONE ŚRODKI

interfacetopbar_budget_moneyin					Dochody: $*M dziennie
interfacetopbar_budget_moneyout					Wydatki: $*M dziennie
interfacetopbar_budget_cantgonegative           Dopóki nie zatrudnisz księgowego, który będzie zarządzać finansami, nie możesz mieć ujemnych przepływów pieniężnych (tj. więcej wydatków niż dochodów).

interfacetopbar_prisoners_types					Obecnie w placówce przebywa *X więźniów:
interfacetopbar_prisoners_capacity              Maksymalna bezpieczna liczba więźniów: *X
interfacetopbar_prisonercells_shared            Pojemność obszarów wspólnych: *X
interfacetopbar_prisonercells_unlocked          Pojemność odblokowanych stref: *X
interfacetopbar_prisonercells_minseconly        Pojemność stref o minimalnym rygorze: *X
interfacetopbar_prisonercells_medseconly        Pojemność stref o średnim rygorze: *X
interfacetopbar_prisonercells_maxseconly        Pojemność stref o surowym rygorze: *X
interfacetopbar_prisonercells_protectedonly     Pojemność stref chronionych: *X
interfacetopbar_prisonercells_supermaxonly      Pojemność stref o najwyższym rygorze: *X
interfacetopbar_prisonercells_deathrowonly      Pojemność stref oczekiwania na wyrok śmierci: *X
interfacetopbar_prisonercells_staffonly         Niedostępn.: *X
interfacetopbar_prisoners_nocells               *X więźniom nie można przydzielić celi

interfacetopbar_cctv_current					Liczba kamer działających w placówce: *C
interfacetopbar_cctv_cap						Liczba kamer, które może pomieścić placówka: *C

interfacetopbar_tension_currentlevel            Poziom zagrożenia: *X
interfacetopbar_tension_increasing              i rośnie
interfacetopbar_tension_decreasing              i spada
interfacetopbar_tension_description             CZYNNIKI:
interfacetopbar_tension_happyprisoners          - *X więźniów mówi, że są dobrze traktowani
interfacetopbar_tension_unhappyprisoners        + *X więźniów zgłasza poważne problemy
interfacetopbar_tension_lockedupprisoners       + *X więźniów jest zamkniętych w swoich celach lub izolatce
interfacetopbar_tension_riotingprisoners        + *X więźniów buntuje się
interfacetopbar_tension_wellfedprisoners        - *X więźniów jest dobrze wyżywionych
interfacetopbar_tension_suppressedprisoners     = *X więźniów jest podporządkowanych
interfacetopbar_tension_activeriotguards        + na miejscu jest *X policjantów do tłumienia zamieszek
interfacetopbar_tension_activearmedguards       + w więzieniu pracuje *X uzbrojonych strażników
interfacetopbar_tension_recentdeaths            + ostatnio zabito *X osób
interfacetopbar_tension_recentsearches          + ostatnio przeszukano niepotrzebnie *X więźniów
interfacetopbar_tension_angrygangmembers        + *X CZŁONKÓW GANGU JEST WŚCIEKŁYCH (przywódca został ukarany)
interfacetopbar_tension_recentpunishments       = (PRZESTROGA) ostatnio ukarano *X więźniów
interfacetopbar_tension_recentcalmed            - ostatnio uspokojono *X więźniów

interfacecontrol_mainmenu                       Menu główne (Esc)
interfacecontrol_mainmenu_tooltip               Włącza/wyłącza menu główne (Nowa gra/Załaduj grę/Zapisz/Wyjdź itp.)
interfacecontrol_todo                           Lista zadań
interfacecontrol_todo_tooltip                   Włącza/wyłącza listę zadań
interfacecontrol_research                       Biurokracja
interfacecontrol_research_tooltip               Otwiera ekran Biurokracja, na którym możesz przydzielić zadania administratorom, aby odblokować nowe przedmioty, typy personelu, obiekty i pomieszczenia.
interfacecontrol_grading                        Klasyfikacja więzienia
interfacecontrol_grading_tooltip                Otwiera ekran Klasyfikacja więzienia, który pokazuje Twoje dotychczasowe postępy.

interface_confirmlandbuy                        Czy na pewno chcesz kupić tę działkę za *X$?
interface_loadconfirm                           Czy na pewno chcesz załadować tę mapę? Wszystkie niezapisane postępy zostaną utracone.
interface_saveconfirm                           Czy na pewno chcesz zapisać plik pod tą nazwą? Istniejące dane zostaną nadpisane.

interface_landbuylabel                          *X m x *Y m. Łączna powierzchnia: *A m2. *C

interface_action_dismantle                      Zdemontuj
interface_action_dump                           Wyrzuć
interface_action_repair                         Napraw
interface_action_medicalbay                     Oddział szpitalny
interface_action_search                         Przeszukaj
interface_action_searchcell                     Przeszukaj celę
interface_action_searchcellblock                Przeszukaj blok więzienny
interface_action_sack                           Zwolnij
interface_action_doormodenormal                 Tryb drzwi: Zwykły
interface_action_doormodelockedshut             Tryb drzwi: Zamknięte
interface_action_doormodelockedopen             Tryb drzwi: Otwarte
interface_action_switchon                       Wł.
interface_action_switchoff                      Wył.
interface_action_sellobject                     Sprzedaj przedmiot
interface_action_dismiss                        Anuluj
interface_action_connect                        Połącz
interface_action_clearconnections               Usuń połączenia
interface_action_servoopen                      Otwarcie przez wyzwalacz
interface_action_servoclose                     Zamknięcie przez wyzwalacz

interface_contents_container                    Zawartość: *X 
interface_contents_stack                        Zawartość: *X x *Y 

interface_skip                                  POMIŃ

interface_error_riotmove                        Nie można wejść: Zamieszki

interface_foundationsinprogress                 Trwa budowa fundamentów
riot_underway                                   TRWAJĄ ZAMIESZKI
riot_status_prisoners                           *X więźniów buntuje się
shakedown_underway                              TRWA PRZESZUKANIE
shakedown_found                                 Znaleziono:

gameover_caption                                Wciśnij klawisz ESC, aby kontynuować

sector_jobs_max                                 Maks. liczba prac: *X
sector_jobs_qualified                           Wykwalifikowani więźniowie: *X
sector_jobs_required                            (Wymagana liczba: *X)
sector_noaccess                                 BRAK DOSTĘPU
sector_insecure                                 STREFA NIEBEZPIECZNA



# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Test kompatybilności komputera
hardware_compat_message					Za Twoją zgodą chcielibyśmy gromadzić następujące informacje dotyczące Twojego komputera.\n\nInformacje te są w pełni anonimowe i pomogą nam zadbać o to, by gra Prison Architect obsługiwała jak najwięcej konfiguracji sprzętowych.\n\nDziękujęmy!
hardware_compat_accept					Zgadzam się
hardware_compat_decline					Nie zgadzam się

connectionmenu_connect                  Połącz
connectionmenu_disconnect               Odłącz
connectionmenu_clear                    Wyczyść
connectionmenu_done                     Gotowe


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Zbuduj
buildtoolbar_reports                    Raporty
buildtoolbar_bangup                     Powrót do cel
buildtoolbar_lockdown                   Zamknięcie
buildtoolbar_shakedown                  Przeszukanie
buildtoolbar_weaponsfree                Użycie śmiercionośnej siły

buildtoolbar_tooltip_reports			Otwórz okno raportów, aby zobaczyć informacje na temat więźniów, personelu, dochodów, dotacji itp.
buildtoolbar_tooltip_bangup				Wysyła wszystkich (posłusznych) więźniów do celi. Jeśli zostawisz ich w celach zbyt długo, więźniowie będą bardzo wściekli.
buildtoolbar_tooltip_lockdown			Natychmiastowo zamyka wszystkie drzwi w więzieniu.
buildtoolbar_tooltip_shakedown          Powoduje niezwłoczne przeszukanie wszystkich celi. Czynność ta zabierze sporo czasu i mocno zdenerwuje więźniów.
buildtoolbar_tooltip_weaponsfree        Uzbrojeni strażnicy otrzymują pozwolenie na użycie śmiercionośnej siły.

buildtoolbar_cost						Koszt: *C$
buildtoolbar_cost_sqrft					Koszt: *C$ /m2
buildtoolbar_wages						Wynagrodzenie: *W$ dziennie
buildtoolbar_outdoor					Tylko na zewnątrz
buildtoolbar_indoor						Tylko wewnątrz
buildtoolbar_walk_speed					Prędkość: *S
buildtoolbar_walk_speed_slow			Wolna
buildtoolbar_walk_speed_norm			Normalna
buildtoolbar_walk_speed_fast			Szybka
buildtoolbar_locked                     ZABLOKOWANO
buildtoolbar_locked_research			NIEDOSTĘPNE (wymaganie: *B)
buildtoolbar_locked_administrator		NIEDOSTĘPNE (wymaganie: *B)
buildtoolbar_room						Pomieszczenie

buildtoolbar_electrical                 - Elektryczne
buildtoolbar_highpower                  - Pod wysokim napięciem
buildtoolbar_water                      - Wymaga przyłącza wodnego
buildtoolbar_wired                      - Okablowane (łączy się z innymi okablowanymi obiektami)
buildtoolbar_modcontent                 - Zawartość z modyfikacji

buildtoolbar_popup_foundations			Buduj lub burz budynki, aby nadać kształt swojemu więzieniu.
buildtoolbar_popup_construction			Różne typy podłóg i ścian.
buildtoolbar_popup_planning				Rozplanuj swoje więzienie przed rozpoczęciem robót.
buildtoolbar_popup_designation			Wydziel poszczególne obszary więzienia i nadaj im funkcje.
buildtoolbar_popup_objects				Umieść użyteczne przedmioty na terenie placówki.
buildtoolbar_popup_overlays				Identyfikuj słabe punkty w układzie więzienia.
buildtoolbar_popup_utilities			Instalacje wodne i elektryczne.
buildtoolbar_popup_staff				Zatrudnij niezbędny personel do obsługi więzienia.
buildtoolbar_popup_deployment			Przydziel pracowników do poszczególnych stref więzienia.
buildtoolbar_popup_logistics            Przydziel więźniów do pracy na terenie więzienia. Możesz również ręcznie zarządzać pracą w stołówce i pralni.
buildtoolbar_popup_research				Odblokuj nowe możliwości w więzieniu.
buildtoolbar_popup_emergencies			Gdy sprawy przybiorą zły obrót, wezwij służby ratownicze.
buildtoolbar_popup_spawn				Miejsce startowe? Co to do cholery robi?
buildtoolbar_popup_clone				Powielaj istniejące struktury za pomocą opcji kopiuj i wklej.
buildtoolbar_popup_properties			Dowiedz się co i jak.
buildtoolbar_popup_contraband           Wyświetla źródła kontrabandy oraz wszelką niedawno odkrytą kontrabandę w więzieniu. Pokazuje także informatorów i przekazane przez ich informacje.
buildtoolbar_popup_grading              Pokazuje klasyfikację więzienia w czterech dziedzinach – kary, reformy, bezpieczeństwo i zdrowie. Zawiera także wskaźniki recydywy placówki.
buildtoolbar_popup_room_cell			To tutaj mieszkają twoi więźniowie.
buildtoolbar_popup_room_holdingcell		Pomieszczenie, w którym umieszcza się nowych więźniów do czasu znalezienia dla nich celi.
buildtoolbar_popup_room_solitary		Odizolowana cela dla najgorszych więźniów.
buildtoolbar_popup_room_canteen			Miejsce, w którym twoi więźniowie mogą zjeść lunch.
buildtoolbar_popup_room_kitchen			Miejsce, w którym kucharze przygotowują posiłki dla więźniów.
buildtoolbar_popup_room_shower			Służy do czyszczenia i odpchlania więźniów.
buildtoolbar_popup_room_yard			Pozwala więźniom zażyć słońca przez kilka godzin dziennie pod czujnym okiem snajperów w wieżach.
buildtoolbar_popup_room_storage			Miejsce składowania materiałów potrzebnych personelowi więziennemu.
buildtoolbar_popup_room_deliveries		Miejsce wyładowywania towarów, materiałów i więźniów.
buildtoolbar_popup_room_garbage			Miejsce, w którym umieszcza się odpady do wywozu.
buildtoolbar_popup_room_execution		Miejsce, w którym więźniowie umierają.
buildtoolbar_popup_room_workshop		Miejsce, w którym więźniowie umierają z nudy, wykonując dla ciebie tablice rejestracyjne.
buildtoolbar_popup_room_security		Biura dla twoich pracowników.
buildtoolbar_popup_room_office			Miejsce pracy personelu administracyjnego.
buildtoolbar_popup_room_medicalward		Miejsce pracy personelu medycznego.
buildtoolbar_popup_room_morgue			Miejsce, w którym składuje się martwych więźniów i pracowników.
buildtoolbar_popup_room_commonroom		Pozwala więźniom zrelaksować się trochę.
buildtoolbar_popup_room_kennel          Miejsce, w którym są przechowywane twoje psy.
buildtoolbar_popup_room_chapel          Co się dzieje, gdy komisja biurokratyczna postanawia zaspokoić potrzeby religijne więźniów? „Wielowyznaniowa sala modlitewna” Nazywamy ją kaplicą.
buildtoolbar_popup_room_paroleroom      Twoi więźniowie mają prawo do zwolnienia warunkowego po odbyciu 50% oraz 75% kary. O ich losie zadecyduje naczelnik i dyrektor więzienia podczas przesłuchania w tym pomieszczeniu.\n\nNbZaleca się dodatkowe środki bezpieczeństwa. Więźniowie, którym odmówiono zwolnienia warunkowego, dosyć łatwo się denerwują.
buildtoolbar_popup_room_library         Do twojego więzienia będą napływać niechciane i używane książki z całego kraju. Więźniowie muszą sortować je i umieszczać na półkach.
buildtoolbar_popup_room_intake          Pierwsze miejsce, do którego są zabierani nowo przybyli więźniowie.

buildtoolbar_popup_obj_bed				Nie za twarde, nie za miękkie – wprost idealne. No dobra, tak naprawdę jest ciasne i niewygodne.
buildtoolbar_popup_obj_toilet			Jedno z podstawowych praw człowieka – przynajmniej według tej bandy pomyleńców.
buildtoolbar_popup_obj_table			Idealny w połączeniu z krzesłem.
buildtoolbar_popup_obj_chair			Idealne w połączeniu ze stołem.
buildtoolbar_popup_obj_bench			Służy do siedzenia.
buildtoolbar_popup_obj_electricchair	Dostarcza 2000 woltów sprawiedliwości.
buildtoolbar_popup_obj_jaildoor			Trzyma więźniów tam, gdzie ich miejsce.
buildtoolbar_popup_obj_jaildoorlarge	Trzyma tłumy więźniów tam, gdzie ich miejsce.
buildtoolbar_popup_obj_door				Zwykłe drzwi.
buildtoolbar_popup_obj_solitarydoor		Grube drzwi, które powstrzymają nawet najsilniejszych więźniów przed ucieczką.
buildtoolbar_popup_obj_staffdoor		Zamykane drzwi, które może otworzyć każdy pracownik.
buildtoolbar_popup_obj_window			Wpuszcza trochę słońca do pomieszczenia.
buildtoolbar_popup_obj_windowlarge		Wpuszcza dużo słońca do pomieszczenia.
buildtoolbar_popup_obj_tree				Mamy obowiązek walczyć z globalnym ociepleniem.
buildtoolbar_popup_obj_light			Pozwala obserwować więźniów o każdej porze dnia.
buildtoolbar_popup_obj_cooker			Zapewnia więźniom luksus, jakim są gorące posiłki.
buildtoolbar_popup_obj_fridge			Zapobiega psuciu się żywności.
buildtoolbar_popup_obj_bin				Porządek to podstawa, jeśli chodzi o kontrabandę.
buildtoolbar_popup_obj_sink				Wszyscy pracownicy mają obowiązek myć dłonie.
buildtoolbar_popup_obj_servingtable		Służy do wydawania więźniom posiłków.
buildtoolbar_popup_obj_showerhead		Natrysk. Pozwala brać prysznic.
buildtoolbar_popup_obj_bookshelf		Półka na książki. 
buildtoolbar_popup_obj_officedesk		Twoi pracownicy mają dużo roboty papierkowej. Daj im schludne biuro, w którym będą mogli ją wykonywać.
buildtoolbar_popup_obj_filingcabinet	Służy do sortowania dokumentów sporządzonych przez Twoich pracowników.
buildtoolbar_popup_obj_medicalbed		Służy do przechowywania narkotyków, dopóki nie wykradną ich więźniowie.
buildtoolbar_popup_obj_morgueslab		Zadbaj o to, by umarli mieli gdzie wypocząć, zanim odejdą do lepszego świata.
buildtoolbar_popup_obj_drain			Odprowadza wodę z podłogi.
buildtoolbar_popup_obj_sprinkler		Automatycznie zrasza obszar w przypadku pożaru.
buildtoolbar_popup_obj_metaldetector	Wykrywa kontrabandę u więźniów. Aby skonfiskować kontrabandę, w pobliżu musi stać strażnik.
buildtoolbar_popup_obj_weightsbench		Pozwala więźniom ćwiczyć, co uszczęśliwia ich.
buildtoolbar_popup_obj_phonebooth		Te wygodne budki telefoniczne pozwalają więźniom rozmawiać z bliskimi.
buildtoolbar_popup_obj_tv				Pacyfikuje więźniów za pomocą tumaniących programów.
buildtoolbar_popup_obj_largetv			Pozwala więźniom otumaniać się w grupie.
buildtoolbar_popup_obj_pooltable		Partyjka w bilarda ożywi monotonię życia więziennego. 
buildtoolbar_popup_obj_dismantleobject	Usuwa obiekt z więzienia.
buildtoolbar_popup_obj_altar            Kieruje modlitwy prosto do wybranego bóstwa.
buildtoolbar_popup_obj_pews             Siedzenia dla wiernych. Wykonane z gołego, twardego drewna.
buildtoolbar_popup_obj_prayermat        Pozwala więźniom modlić się na brudnej podłodze. 

buildtoolbar_popup_staff_workman		Zbuduje więzienie w oparciu o dostarczone plany.
buildtoolbar_popup_staff_guard			Panuje nad więźniami i dba o to, aby niczego nie przeskrobali.
buildtoolbar_popup_staff_armedguard     Strażnik uzbrojony w strzelbę – więźniowie pomyślą dwa razy, zanim zaatakują tego jegomościa.\n\nUwaga: każdy uzbrojony strażnik potrzebuje własnej szafki w zbrojowni.
buildtoolbar_popup_staff_doctor			Automatycznie leczy wszystkich rannych w pobliżu, zarówno strażników, jak i więźniów.
buildtoolbar_popup_staff_cook			Gotuje dla twoich więźniów.
buildtoolbar_popup_staff_gardener		Zajmuje się terenami zielonymi więzienia.
buildtoolbar_popup_staff_janitor		Dba o czystość i porządek w więzieniu. Może również pomagać w pralni.
buildtoolbar_popup_staff_warden			Pan i władca więzienia. Jest niezbędny do prowadzenia badań i zatrudniania wykwalifikowanych pracowników.
buildtoolbar_popup_staff_chief			Wykwalifikowany pracownik, który umożliwia opracowanie technologii rozmieszczania, monitoringu oraz strażników do tłumienia zamieszek.
buildtoolbar_popup_staff_foreman		Wykwalifikowany pracownik, który daje dostęp do woźnych i ogrodników.
buildtoolbar_popup_staff_psychologist	Wykwalifikowany pracownik, który pozwala zaglądać do umysłów więźniów. 
buildtoolbar_popup_staff_accountant		Wykwalifikowany pracownik, który daje ci dostęp do raportów finansowych.
buildtoolbar_popup_staff_lawyer			Wykwalifikowany pracownik, który pomoże ci nagiąć kilka zasad celem zyskania większej kontroli nad więzieniem.

buildtoolbar_popup_uts_powerstation		Generuje prąd do użytku na terenie więzienia.
buildtoolbar_popup_uts_capacitor		Umieść go przy elektrowni, aby zwiększyć ilość generowanego prądu.
buildtoolbar_popup_uts_electricalcable	Rozprowadza prąd po więzieniu.
buildtoolbar_popup_uts_powerswitch		Włącza/wyłącza pobór prądu przy każdym podłączonym kablu.\n\nKliknij prawym przyciskiem, aby włączyć/wyłączyć.
buildtoolbar_popup_uts_waterpumpstation	Zaopatrz więzienie w wodę.
buildtoolbar_popup_uts_pipevalve		Włącza/wyłącza dopływ wody do każdej podłączonej rury.
buildtoolbar_popup_uts_pipelarge		Rozprowadza po więzieniu dużą ilość wody pod wysokim ciśnieniem. Jest prawdopodobnie na tyle duża, aby więzień mógł przedostać się na wolność, pełzając przez pół kilometra odchodów.\n\nNb Ze względu na wysokie ciśnienie zazwyczaj nie stosuje się jej w zlewach, prysznicach itp. Do tego celu należy użyć małej rury.
buildtoolbar_popup_uts_pipesmall		Służy do podłączania obiektów, takich jak toalety, prysznice, zlewy itp., do dużej sieci rur. Z racji niskiego ciśnienia mała rura ma ograniczony zasięg.
buildtoolbar_popup_uts_cctv				Pozwala obserwować więzienie bez umieszczania strażników w każdym zakamarku.\n\nAby korzystać z kamery, musisz podłączyć ją do monitora.
buildtoolbar_popup_uts_cctvmonitor		Umieszczany w centrum bezpieczeństwa i obsługiwany przez strażnika. Pozwala zdalnie obserwować kamery monitoringu.\n\nUżyj komendy Połącz, aby podłączyć monitor do kamer.\n\nUwaga: monitor pozwala na oglądanie maksymalnie ośmiu kamer naraz. Jeśli podłączysz więcej niż osiem kamer, monitor będzie stopniowo przełączał między nimi, zapewniając jedynie częściowe pokrycie.
buildtoolbar_popup_uts_DoorControlSystem  Umieszczany w centrum bezpieczeństwa i obsługiwany przez strażnika. Służy do zdalnego otwierania drzwi na terenie więzienia.\n\nUżyj komendy Połącz, aby podłączyć system do kontrolerów drzwi. Kontrolery drzwi należy umieścić nad drzwiami, którymi chcesz zdalnie sterować.\n\nUwaga: możesz podłączyć dowolną liczbę kontrolerów, ale strażnik obsługujący system może otwierać maksymalnie dwie pary drzwi na sekundę.
