
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nová hra
interfacemode_emergencies                     Tísňové složky
interfacemode_clone                           Klonování
interfacemode_contraband                      Prohledávání
interfacemode_grading                         Hodnocení
interfacemode_spawn                           (Zrození)
interfacemode_properties                      (Vlastnosti)
interfacemode_cutscenes                       (Animované sekvence)
interfacemode_selection                       Vybrat

interfaceoverlay_security                       Zabezpečení
interfaceoverlay_patrols                        Hlídky
interfaceoverlay_decay                          Rozklad
interfaceoverlay_territory                      Území
interfaceoverlay_contraband                     Kontraband

interfaceproperty_indoor                        Pod střechou
interfaceproperty_visible                       Lze spatřit
interfaceproperty_territoryprisoner             Gangy
interfaceproperty_territoryguard                Stráže
interfaceproperty_sectorprisoner                Vzpoura
interfaceproperty_tunnel                        Tunel

interfacedeployment_guards                      Stráže
interfacedeployment_patrols                     Běžné hlídky
interfacedeployment_dogpatrols                  Hlídky se psy
interfacedeployment_armedpatrols                Ozbrojené hlídky
interfacedeployment_removeguards                Odstranit stráže
interfacedeployment_clearpatrols                Smazat trasy
interfacedeployment_targetting                  Logistika
interfacedeployment_targettingfood              Logistika potravin
interfacedeployment_targettinglaundry           Logistika prádla
interfacedeployment_securearea                  Zabezpečená oblast
interfacedeployment_sharedzone                  Sdíleno
interfacedeployment_staffonlyzone               Pouze zaměstnanci
interfacedeployment_maxseczone                  Pouze max. ostraha
interfacedeployment_medseczone                  Pouze stř. ostraha
interfacedeployment_minseczone                  Pouze min. ostraha
interfacedeployment_protectedzone               Pouze ochr. vazba
interfacedeployment_supermaxzone                Pouze supermax. ostraha
interfacedeployment_deathrowzone                Pouze cela smrti
interfacedeployment_unlockedzone                Odemčeno
interfacedeployment_zonered                     Červené křídlo
interfacedeployment_zonegreen                   Zelené křídlo
interfacedeployment_zoneblue                    Modré křídlo
interfacedeployment_zoneyellow                  Žluté křídlo

interfacelogistics_jobs                         Práce vězňů
interfacelogistics_removejobs                   Zrušit práci
interfacelogistics_targettingfood               Distribuce potravin
interfacelogistics_targettinglaundry            Distribuce prádla
interfacelogistics_roomquality                  Kvalita místností

interfaceplanning_wall							Zdi
interfaceplanning_object						Objekty
interfaceplanning_route							Cesty
interfaceplanning_clear							Volné prostranství
interfaceplanning_zone1							Zóna 1
interfaceplanning_zone2							Zóna 2
interfaceplanning_zone3							Zóna 3
interfaceplanning_zone4							Zóna 4
interfaceplanning_zone5							Zóna 5
interfaceplanning_zone6							Zóna 6
interfaceplanning_zone7							Zóna 7
interfaceplanning_zone8							Zóna 8
interfaceplanning_zone9							Zóna 9

interfacecontraband_source                      Nebezpečí
interfacecontraband_day                         -24 hodin
interfacecontraband_week                        -7 dní
interfacecontraband_alltime                     -30 dní
interfacecontraband_informants                  Informátoři
interfacecontraband_gangs                       Gangy

interfaceclone_copy                             Kopírovat
interfaceclone_paste                            Vložit

interfacetopbar_todo							Úkoly
interfacetopbar_balance							Banka *B
interfacetopbar_budget							Cashflow *C
interfacetopbar_income							Příjmy *I
interfacetopbar_expenses						Náklady *C
interfacetopbar_day								DEN *D

interfacetopbar_title_balance					Zůstatek na účtu
interfacetopbar_title_budget					Denní cashflow
interfacetopbar_title_cctv						Bezpečnostní kamery
interfacetopbar_title_day						Den
interfacetopbar_title_prisoners					Vězni
interfacetopbar_title_guards					Stráže
interfacetopbar_title_tension                   Nebezpečí

interfacetopbar_tooltip_balance					Kolik peněz máš na účtu.\n\nKliknutím můžeš získat další prostředky ze seznamu grantů.
interfacetopbar_tooltip_budget					Množství peněz, které dostáváš každý den v závislosti na aktuální výši příjmů a výdajů.\n\nKliknutím si zobrazíš podrobný přehled příjmů a výdajů. 
interfacetopbar_tooltip_cctv					Počet bezpečnostních kamer a monitorů, které momentálně vlastníš.
interfacetopbar_tooltip_day						Jak dlouho řídíš svou věznici.
interfacetopbar_tooltip_prisoners				Počet vězňů, kteří se ve tvé věznici momentálně nacházejí, a její maximální kapacita.
interfacetopbar_tooltip_guards					Kolik strážných máš ve své věznici momentálně k dispozici.
interfacetopbar_tooltip_tension                 Celková úroveň nebezpečí tvé věznice dle názoru šéfa ostrahy.

interfacetopbar_tooltip_recenttransactions      Nedávné transakce

interfacetopbar_tooltip_gametime                Celkový odehraný čas: *X hod. *Y min. *Z sek.

interfacetopbar_tooltip_totalguards             *X strážných celkem
interfacetopbar_tooltip_guardincapacitated      *X neschopných služby
interfacetopbar_tooltip_guardstationed          *X na pozicích 
interfacetopbar_tooltip_guardpatrolling         *X na hlídkách
interfacetopbar_tooltip_guardavailable          *X k dispozici
interfacetopbar_tooltip_guardresting            *X odpočívá
interfacetopbar_tooltip_guardactive             (*X reaguje na incidenty)
interfacetopbar_tooltip_guarddoingjob           *X vykonává práci
interfacetopbar_tooltip_idle                    (*X bez úkolu)
interfacetopbar_tooltip_armedguards             + *X ozbrojených stráží
interfacetopbar_tooltip_dogs                    + *X psovodů

interfacetopbar_unlimitedfunds                  NEOMEZENÉ PROSTŘEDKY

interfacetopbar_budget_moneyin					Příjmy: $*M / denně
interfacetopbar_budget_moneyout					Výdaje: $*M / denně
interfacetopbar_budget_cantgonegative           Nemůžeš hospodařit s negativním cashflow (tj. mít vyšší výdaje než příjmy), dokud nenajmeš účetní, která se ti bude starat o finanční záležitosti.

interfacetopbar_prisoners_types					Aktuálně *X vězňů:
interfacetopbar_prisoners_capacity              Maximální bezpečná kapacita: *X
interfacetopbar_prisonercells_shared            Kapacita společných cel: *X
interfacetopbar_prisonercells_unlocked          Kapacita volných prostor: *X
interfacetopbar_prisonercells_minseconly        Kapacita min. ostrahy: *X
interfacetopbar_prisonercells_medseconly        Kapacita stř. ostrahy: *X
interfacetopbar_prisonercells_maxseconly        Kapacita max. ostrahy: *X
interfacetopbar_prisonercells_protectedonly     Kapacita och. vazby: *X
interfacetopbar_prisonercells_supermaxonly      Kapacita supermax. ostrahy: *X
interfacetopbar_prisonercells_deathrowonly      Kapacita cel smrti: *X
interfacetopbar_prisonercells_staffonly         Nelze využít: *X
interfacetopbar_prisoners_nocells               *X vězňům nelze přiřadit žádnou celu

interfacetopbar_cctv_current					Aktuálně běží *C kamer(y)
interfacetopbar_cctv_cap						Prostor pro *C kamer(y)

interfacetopbar_tension_currentlevel            Úroveň nebezpečí je *X
interfacetopbar_tension_increasing              a zvyšuje se
interfacetopbar_tension_decreasing              a snižuje se
interfacetopbar_tension_description             FAKTORY:
interfacetopbar_tension_happyprisoners           - Vězňové, kteří jsou spokojeni se zacházením: *X
interfacetopbar_tension_unhappyprisoners        + Vězňové s vážnými stížnostmi: *X
interfacetopbar_tension_lockedupprisoners       + Vězňové na samotce nebo spoutaní na celách: *X
interfacetopbar_tension_riotingprisoners        + Bouřící se vězňové: *X
interfacetopbar_tension_wellfedprisoners         - Nasycení vězňové: *X
interfacetopbar_tension_suppressedprisoners     = Vězňové pod kontrolou (poslušní): *X
interfacetopbar_tension_activeriotguards        + Členové zásahové jednotky v areálu: *X
interfacetopbar_tension_activearmedguards       + Ozbrojené stráže v aktivní službě: *X
interfacetopbar_tension_recentdeaths            + Nedávno zabití lidé: *X
interfacetopbar_tension_recentsearches          + Vězňové, kteří byli nedávno zbytečně prohledáváni: *X
interfacetopbar_tension_angrygangmembers        + ZUŘÍCÍ ČLENOVÉ GANGŮ (vůdce si odpykává trest): *X
interfacetopbar_tension_recentpunishments       = (ODSTRAŠUJÍCÍ EFEKT) Nedávno uvalené tresty: *X
interfacetopbar_tension_recentcalmed             - Vězňové, kteří byli nedávno uklidněni: *X

interfacecontrol_mainmenu                       Hlavní nabídka (Esc)
interfacecontrol_mainmenu_tooltip               Zobrazit hlavní nabídku (spuštění nové hry, načtení nebo uložení pozice, vypnutí hry apod.)
interfacecontrol_todo                           Seznam úkolů
interfacecontrol_todo_tooltip                   Zobrazit seznam úkolů
interfacecontrol_research                       Správa věznice
interfacecontrol_research_tooltip               Otevřít obrazovku Správa věznice, kde si můžeš prostřednictvím administrativních pracovníků zpřístupňovat nové možnosti, typy zaměstnanců a budovy.
interfacecontrol_grading                        Hodnocení věznice
interfacecontrol_grading_tooltip                Otevřít obrazovku Hodnocení věznice, ze které se dozvíš celkové hodnocení svého dosavadního úsilí.

interface_confirmlandbuy                        Opravdu chceš koupit tento pozemek za $*X?
interface_loadconfirm                           Opravdu chceš načíst tuto mapu? Přijdeš tím o veškerý neuložený postup hrou.
interface_saveconfirm                           Opravdu chceš uložit pozici s tímto názvem souboru? Přepíšeš tím stávající data.

interface_landbuylabel                          *X m x *Y m. Celkem *A m čtverečních. *C

interface_action_dismantle                      Rozebrat
interface_action_dump                           Vyhodit
interface_action_repair                         Opravit
interface_action_medicalbay                     Ošetřovna
interface_action_search                         Prohledat
interface_action_searchcell                     Prohledat celu
interface_action_searchcellblock                Prohledat blok
interface_action_sack                           Propustit
interface_action_doormodenormal                 Režim dveří: normální
interface_action_doormodelockedshut             Režim dveří: zamčeno
interface_action_doormodelockedopen             Režim dveří: odemčeno
interface_action_switchon                       Zapnout
interface_action_switchoff                      Vypnout
interface_action_sellobject                     Prodat objekt
interface_action_dismiss                        Propustit
interface_action_connect                        Připojit
interface_action_clearconnections               Odpojit
interface_action_servoopen                      Při aktivaci otevřít
interface_action_servoclose                     Při aktivaci zavřít

interface_contents_container                    Obsah: *X 
interface_contents_stack                        Obsah: *X x *Y 

interface_skip                                  PŘESKOČIT

interface_error_riotmove                        Nelze vstoupit: vzpoura

interface_foundationsinprogress                 Probíhá pokládání základů
riot_underway                                   PROBÍHÁ VZPOURA
riot_status_prisoners                           Bouřící se vězňové: *X
shakedown_underway                              PROBÍHÁ PROHLÍDKA CEL
shakedown_found                                 Nalezeno:

gameover_caption                                Pokračuj stiskem klávesy ESC

sector_jobs_max                                 Max. pracovních pozic: *X
sector_jobs_qualified                           Kvalifikovaní vězni: *X
sector_jobs_required                            (Požadováno: *X)
sector_noaccess                                 CHYBÍ PŘÍSTUP
sector_insecure                                 NEZAJIŠTĚNO



# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Test kompatibility hardwaru
hardware_compat_message					Rádi bychom s tvým souhlasem získali z tvého počítače následující údaje o hardwaru.\n\nTyto informace jsou zcela anonymní a pomohou nám při snaze uzpůsobit hru Prison Architect co nejširší škále hardwarových konfigurací.\n\nDěkujeme!
hardware_compat_accept					Přijmout
hardware_compat_decline					Odmítnout

connectionmenu_connect                  Připojit
connectionmenu_disconnect               Odpojit
connectionmenu_clear                    Volné prostranství
connectionmenu_done                     Hotovo


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Postavit
buildtoolbar_reports                    Hlášení
buildtoolbar_bangup                     Návrat do cel
buildtoolbar_lockdown                   Nouzové uzamčení
buildtoolbar_shakedown                  Prohlídka cel
buildtoolbar_weaponsfree                Povolení ke střelbě

buildtoolbar_tooltip_reports			Otevři hlášení s informacemi o svých vězních, zaměstnancích, příjmu, grantech a podobně.
buildtoolbar_tooltip_bangup				Pošli všechny (spolupracující) vězně zpět do cel. Necháš-li je ovšem pod zámkem příliš dlouho, rozzuříš je.
buildtoolbar_tooltip_lockdown			Všechny dveře ve věznici se okamžitě uzamknou.
buildtoolbar_tooltip_shakedown          Bude vydán okamžitý příkaz k prohledání všech cel. Tato kontrola trvá poměrně dlouho a vězňové ji k smrti nenávidí.
buildtoolbar_tooltip_weaponsfree        Tvoji ozbrojení strážní mají povoleno používat smrtící prostředky.

buildtoolbar_cost						Cena: $*C
buildtoolbar_cost_sqrft					Cena: $*C / m2
buildtoolbar_wages						Plat: $*W denně
buildtoolbar_outdoor					Pouze venku
buildtoolbar_indoor						Pouze uvnitř
buildtoolbar_walk_speed					Rychlost chůze: *S
buildtoolbar_walk_speed_slow			pomalejší
buildtoolbar_walk_speed_norm			normální
buildtoolbar_walk_speed_fast			rychlejší
buildtoolbar_locked                     ZAMČENO
buildtoolbar_locked_research			ZAMČENO (zapotřebí: *B)
buildtoolbar_locked_administrator		ZAMČENO (zapotřebí: *B)
buildtoolbar_room						Místnost

buildtoolbar_electrical                  - elektřina
buildtoolbar_highpower                   - vysoké napětí
buildtoolbar_water                       - vyžaduje přívod vody
buildtoolbar_wired                       - zasíťování (připojí se k ostatním zasíťovaným objektům)
buildtoolbar_modcontent                  - modifikace

buildtoolbar_popup_foundations			Stavěj/bourej budovy a určuj tak podobu své věznice.
buildtoolbar_popup_construction			Různé typy podlah a zdí.
buildtoolbar_popup_planning				Rozvrhni si věznici bez obav, že by se dělníci hned pustili do práce.
buildtoolbar_popup_designation			Přiřazuj jednotlivým částem věznice konkrétní funkce.
buildtoolbar_popup_objects				Rozmisťuj po věznici různé užitečné předměty.
buildtoolbar_popup_overlays				Zjisti, jaké má tvá věznice slabiny.
buildtoolbar_popup_utilities			Rozvod vody a elektřiny.
buildtoolbar_popup_staff				Najmi pracovníky, které potřebuješ k zajištění chodu své věznice.
buildtoolbar_popup_deployment			Rozmisťuj své zaměstnance po věznici.
buildtoolbar_popup_logistics            Přiřazuj vězňům různé pracovní činnosti. Zároveň zde můžeš ručně určit, které oblasti mají obsluhovat jednotlivé jídelny a prádelny.
buildtoolbar_popup_research				Zpřístupňuj si pro svou věznici nové možnosti.
buildtoolbar_popup_emergencies			Dojde-li do tuhého, přivolej si na pomoc nouzové složky.
buildtoolbar_popup_spawn				Zrození? K čemu to sakra je?
buildtoolbar_popup_clone				Kopíruj již hotové části věznice.
buildtoolbar_popup_properties			Zjišťuj podrobnosti o všem kolem sebe.
buildtoolbar_popup_contraband           Zobrazuje zdroje kontrabandu a veškerý kontraband, který byl v poslední době ve vězení odhalen. Také zde najdeš všechny své informátory a jejich hlášení.
buildtoolbar_popup_grading              Prohlédni si celkové hodnocení věznice podle čtyř různých ukazatelů – trestu, nápravy, zabezpečení a zdraví. Také zde zjistíš, kolik z tvých propuštěných vězňů se dopustilo recidivity.
buildtoolbar_popup_room_cell			Zde žijí tví vězni.
buildtoolbar_popup_room_holdingcell		Místnost, do které jsou umisťováni noví vězňové, dokud se pro ně neuvolní cela.
buildtoolbar_popup_room_solitary		Izolace pro uvěznění těch nejhorších provinilců.
buildtoolbar_popup_room_canteen			Zde si tví vězni mohou dát odpolední svačinku.
buildtoolbar_popup_room_kitchen			Místnost, ve které kuchaři připravují jídlo pro tvé vězně.
buildtoolbar_popup_room_shower			Místnost, díky které budou tví vězni jako ze škatulky a bez vší.
buildtoolbar_popup_room_yard			Nech své vězně několik hodin denně odpočívat na čerstvém vzduchu a pod ostřížím zrakem odstřelovačů na strážních věžích.
buildtoolbar_popup_room_storage			Oblast pro uskladnění materiálu, který zaměstnanci tvé věznice potřebují ke své práci.
buildtoolbar_popup_room_deliveries		Místo, na kterém probíhá vykládka zboží, materiálu a vězňů.
buildtoolbar_popup_room_garbage			Místo, ze kterého je odvážen odpad.
buildtoolbar_popup_room_execution		Místnost, do které chodí vězni umírat.
buildtoolbar_popup_room_workshop		Místnost, do které chodí vězni umírat nudou, zatímco vyrábí registrační značky na auta.
buildtoolbar_popup_room_security		Místnost pro pracovníky ostrahy.
buildtoolbar_popup_room_office			Místnost vyhrazená administrativním pracovníkům.
buildtoolbar_popup_room_medicalward		Oblast, ve které pracuje tvůj zdravotnický personál.
buildtoolbar_popup_room_morgue			Sem můžeš ukládat své zesnulé vězně a zaměstnance.
buildtoolbar_popup_room_commonroom		Zde se mohou tví vězni trochu pobavit a odpočinout si.
buildtoolbar_popup_room_kennel          Zde žijí tvoji psi.
buildtoolbar_popup_room_chapel          Co vznikne, když se správa věznice rozhodne vyhovět náboženským potřebám všech svých vězňů najednou? „Víceúčelová multireligiózní modlitebna“. My jí říkáme prostě „kaple“.
buildtoolbar_popup_room_paroleroom      Po odčinění 50 % a 75 % svého trestu mohou vězni požádat o podmínečné propuštění. O jejich osudu rozhodnou v této místnosti správce věznice a šéf ostrahy.\n\nPozn.: Doporučuje se zajistit zvýšená bezpečností opatření. Pokud vězni se svou žádostí neuspějí, bývají velice... rozladění.
buildtoolbar_popup_room_library         Do věznice ti budou mnohé organizace i jednotlivci z celé země posílat různé vyřazené či použité knihy. Vězni je budou muset roztřídit do polic.
buildtoolbar_popup_room_intake          Toto je první místo, kam jsou vězni přivedeni ihned po svém příjezdu.

buildtoolbar_popup_obj_bed				Ani příliš měkká, ani příliš tvrdá, zkrátka akorát. Tedy, vlastně je dost tvrdá. A úzká.
buildtoolbar_popup_obj_toilet			Základní lidské právo, pokud tedy na tyhle tlachy věříš.
buildtoolbar_popup_obj_table			Skvělý doplněk židle.
buildtoolbar_popup_obj_chair			Skvělý doplněk stolu.
buildtoolbar_popup_obj_bench			Určená k sezení.
buildtoolbar_popup_obj_electricchair	Plných 2000 voltů spravedlnosti.
buildtoolbar_popup_obj_jaildoor			Udrží vězně tam, kde by měli být.
buildtoolbar_popup_obj_jaildoorlarge	Udrží spoustu vězňů tam, kde by měli být.
buildtoolbar_popup_obj_door				Jednoduché dveře.
buildtoolbar_popup_obj_solitarydoor		Odolné dveře, které znemožní útek i těm nejsilnějším vězňům.
buildtoolbar_popup_obj_staffdoor		Zamčené dveře, které mohou otevřít nejen strážní, ale všichni zaměstnanci věznice.
buildtoolbar_popup_obj_window			Vpouští do místnosti sluneční světlo.
buildtoolbar_popup_obj_windowlarge		Vpouští do místnosti spoustu slunečního světla.
buildtoolbar_popup_obj_tree				Zabraňovat globálnímu oteplování je povinností nás všech.
buildtoolbar_popup_obj_light			Pomůcka, díky které na své vězně dobře uvidíš v kteroukoliv denní dobu.
buildtoolbar_popup_obj_cooker			Dopřej svým vězňům požitek z teplého jídla.
buildtoolbar_popup_obj_fridge			Zabraňuje kažení potravin.
buildtoolbar_popup_obj_bin				Pořádek je důležitý, zabraňuje kšeftování s kontrabandem.
buildtoolbar_popup_obj_sink				Všichni zaměstnanci jsou povinni si mýt ruce.
buildtoolbar_popup_obj_servingtable		Místo, odkud si vězni vyzvedávají jídlo.
buildtoolbar_popup_obj_showerhead		Sprchová hlavice. Slouží ke sprchování.
buildtoolbar_popup_obj_bookshelf		Polička, na kterou se vejde mnoho knih. 
buildtoolbar_popup_obj_officedesk		Tví zaměstnanci musí zapisovat spoustu věcí. Poskytni jim krásný stůl, u kterého to budu moci dělat.
buildtoolbar_popup_obj_filingcabinet	Tví pracovníci budou muset zapsané věci náležitě archivovat.
buildtoolbar_popup_obj_medicalbed		Místo pro úschovu narkotik do doby, než je vězni ukradnou.
buildtoolbar_popup_obj_morgueslab		Zajisti mrtvým důstojné zacházení, než je odvezou jinam.
buildtoolbar_popup_obj_drain			Zajišťuje odtok vody z podlahy.
buildtoolbar_popup_obj_sprinkler		V případě požáru místnost automaticky kropí vodou.
buildtoolbar_popup_obj_metaldetector	Odhaluje kontraband u vězňů, kteří jím projdou. V blízkosti se musí nacházet dozorce, který bude kontraband zabavovat.
buildtoolbar_popup_obj_weightsbench		Umožňuje vězňům cvičit, což jim dělá radost.
buildtoolbar_popup_obj_phonebooth		Vězňové si mohou chtít občas promluvit se svými blízkými, tyto telefonní automaty jim to umožňují.
buildtoolbar_popup_obj_tv				Zklidni své vězně sledováním bezduchých otupujících pořadů.
buildtoolbar_popup_obj_largetv			Zajišťuje odumírání mozkových buněk velkému množství vězňů najednou.
buildtoolbar_popup_obj_pooltable		Dobrá partie kulečníku snižuje jednotvárnost vězeňského života. 
buildtoolbar_popup_obj_dismantleobject	Odebere z věznice zvolený objekt.
buildtoolbar_popup_obj_altar            Posílá modlitby přímo k uchu zvolené vyšší mocnosti.
buildtoolbar_popup_obj_pews             Místa pro věřící. Nemají polstrování a jsou vyrobeny z toho nejtvrdšího dřeva.
buildtoolbar_popup_obj_prayermat        Zajišťují, aby vězni při modlitbách nemuseli klečet na špinavé podlaze. 

buildtoolbar_popup_staff_workman		Staví věznici dle plánů, které jim poskytneš.
buildtoolbar_popup_staff_guard			Dohlíží na tvé vězně a dávají pozor, aby nedělali problémy.
buildtoolbar_popup_staff_armedguard     Tito ostří hoši jsou vyzbrojeni brokovnicemi a vězni si dávají dobrý pozor, aby je nerozzlobili.\n\nPoznámka: Každý ozbrojený strážný potřebuje mít ve zbrojnici svou vlastní bezpečnostní skříňku.
buildtoolbar_popup_staff_doctor			Automaticky léčí okolní zraněné, ať už to jsou strážní, nebo vězni.
buildtoolbar_popup_staff_cook			Vaří jídlo pro vězně.
buildtoolbar_popup_staff_gardener		Stará se, aby bylo okolí budov hezké a uklizené.
buildtoolbar_popup_staff_janitor		Udržuje čistotu a pořádek uvnitř budov. Může také vypomoci s prací v prádelně.
buildtoolbar_popup_staff_warden			Vrchní správce celé věznice. Je zapotřebí ke zpřístupnění a najmutí různých administrativních pracovníků.
buildtoolbar_popup_staff_chief			Administrativní pracovník, jehož prostřednictvím lze zpřístupnit rozmisťování hlídek, využívání bezpečnostních kamer a nasazení speciálních jednotek.
buildtoolbar_popup_staff_foreman		Administrativní pracovník, jehož prostřednictvím lze zpřístupnit uklízeče a zahradníky.
buildtoolbar_popup_staff_psychologist	Administrativní pracovník, jehož prostřednictvím lze nahlédnout do myslí tvých vězňů. 
buildtoolbar_popup_staff_accountant		Administrativní pracovnice, která ti poskytuje hlášení o peněžních tocích.
buildtoolbar_popup_staff_lawyer			Administrativní pracovník, který ti pomáhá obcházet různý pravidla a získat tak lepší kontrolu nad chodem věznice.

buildtoolbar_popup_uts_powerstation		Zajišťuje věznici dodávky elektrického proudu.
buildtoolbar_popup_uts_capacitor		Nachází-li se poblíž trafostanice, zvyšuje kapacitu dodávek elektřiny.
buildtoolbar_popup_uts_electricalcable	Rozvádí elektřinu po věznici.
buildtoolbar_popup_uts_powerswitch		Zapíná a vypíná proud v napojeném vedení.\n\nPravým kliknutím jej zapneš nebo vypneš.
buildtoolbar_popup_uts_waterpumpstation	Zajišťuje věznici dodávky vody.
buildtoolbar_popup_uts_pipevalve		Zapíná a vypíná tok vody v napojeném potrubí.
buildtoolbar_popup_uts_pipelarge		Rozvádí po věznici velké množství vody pod vysokým tlakem. Průměr potrubí je dost velký na to, aby se jím mohl proplazit někdo, kdo je odhodlán dostat se na svobodu skrz pět set metrů břečky páchnoucí po výkalech.\n\nPozn.: Tento typ potrubí se nehodí pro napojování dřezů, sprch apod. – je v něm příliš velký tlak. Použij místo něj úzké trubky.
buildtoolbar_popup_uts_pipesmall		Slouží k napojování záchodů, sprch, dřezů apod. k vysokotlaké rozvodné síti. Tlak v tomto potrubí je výrazně nižší, což omezuje jeho využitelnou délku.
buildtoolbar_popup_uts_cctv				Sleduj dění v celé věznici, aniž by na každém rohu musel být jeden dozorce.\n\nAby bezpečnostní kamery fungovaly, musíš je napojit na monitor.
buildtoolbar_popup_uts_cctvmonitor		Vybavení místnosti ostrahy, které musí obsluhovat nějaký strážný. Na dálku ovládá bezpečnostní kamery rozmístěné po věznici.\n\nK propojení monitoru s bezpečnostními kamerami slouží nástroj Připojit.\n\nPoznámka: V jeden okamžik lze sledovat maximálně osm kamer. Pokud jich připojíš víc, monitor mezi nimi bude postupně přepínat a bude tedy poskytovat jen částečný přehled o dění kolem kamer.
buildtoolbar_popup_uts_DoorControlSystem  Vybavení místnosti ostrahy, které musí obsluhovat nějaký strážný. Slouží k dálkovému ovládání dveří ve věznici.\n\nK propojení servomotorů s tímto systémem slouží nástroj Připojit. Chceš-li nějaké dveře ovládat na dálku, musíš je vybavit servomotory.\n\nPoznámka: K systému můžeš připojit libovolný počet servomotorů, ovšem strážný u ovládacího pultu může otevřít maximálně dvoje dveře za sekundu.
