
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              새로시작
interfaceplanning_wall							벽
interfaceplanning_object						물품
interfaceplanning_route							통로
interfaceplanning_clear							제거
interfaceplanning_zone1							구역 1
interfaceplanning_zone2							구역 2
interfaceplanning_zone3							구역 3
interfaceplanning_zone4							구역 4
interfaceplanning_zone5							구역 5
interfaceplanning_zone6							구역 6
interfaceplanning_zone7							구역 7
interfaceplanning_zone8							구역 8
interfaceplanning_zone9							구역 9

interfacecontraband_source                      위험물
interfacecontraband_day                          -24시간
interfacecontraband_week                         -7일
interfacecontraband_alltime                      -30일
interfacecontraband_informants                  정보원
interfacecontraband_gangs                       갱단

interfaceclone_copy                             복사
interfaceclone_paste                            붙여넣기

interfacetopbar_todo							할 일
interfacetopbar_balance							잔고 *B
interfacetopbar_budget							현금유출입 *C
interfacetopbar_income							수입 *I
interfacetopbar_expenses						지출 *C
interfacetopbar_day								*D일

interfacetopbar_title_balance					은행잔고
interfacetopbar_title_budget					일일 현금유출입
interfacetopbar_title_cctv						CCTV
interfacetopbar_title_day						운영일
interfacetopbar_title_prisoners					죄수
interfacetopbar_title_guards					교도관
interfacetopbar_title_tension                   위험수준

interfacetopbar_tooltip_balance					은행에 보유한 현금이 얼마나 있는지 보여줍니다.\n\n클릭하면 보조금 목록을 통해 더 많은 자금을 확보할 수 있습니다.
interfacetopbar_tooltip_budget					현재의 수입 지출을 기준으로 매일 들어오는 금액을 보여줍니다.\n\클릭하면 자세한 수입과 지출 내역을 볼 수 있습니다.
interfacetopbar_tooltip_cctv					현재 보유하고 있는 CCTV 카메라와 모니터의 수를 나타냅니다.
interfacetopbar_tooltip_day						교도소를 얼마나 오랫동안 운영했는지 보여줍니다.
interfacetopbar_tooltip_prisoners				현재 교도소에 수용하고 있는 죄수의 수와 수용 가능한 최대 죄수의 수를 나타냅니다.
interfacetopbar_tooltip_guards					현재 교도소에서 활용할 수 있는 교도관이 몇 명인지 나타냅니다.
interfacetopbar_tooltip_tension                 교도대장을 통해 교도소의 전반적인 위험 수준을 나타냅니다.

interfacetopbar_tooltip_recenttransactions      최근 거래

interfacetopbar_tooltip_gametime                총 플레이 시간: *X시간, *Y분, *Z초

interfacetopbar_tooltip_totalguards             전체 교도관: *X명
interfacetopbar_tooltip_guardincapacitated      무능력자: *X명
interfacetopbar_tooltip_guardstationed          경비 중: *X명
interfacetopbar_tooltip_guardpatrolling         순찰 중: *X명
interfacetopbar_tooltip_guardavailable          가용 인원: *X명
interfacetopbar_tooltip_guardresting            휴식 중: *X명
interfacetopbar_tooltip_guardactive             (사건 대응 중: *X명)
interfacetopbar_tooltip_guarddoingjob           업무 중: *X명
interfacetopbar_tooltip_idle                    (업무 없음: *X명)
interfacetopbar_tooltip_armedguards              + 무장교도관: *X명
interfacetopbar_tooltip_dogs                     + 경비견 조련사: *X명

interfacetopbar_unlimitedfunds                  무한한 재정

interfacetopbar_budget_moneyin					수입: $*M /하루
interfacetopbar_budget_moneyout					지출: $*M /하루
interfacetopbar_budget_cantgonegative           재정을 관리할 회계사를 고용할 때까지는 현금유출입이 적자(지출이 수입보다 많은 상태)가 되어서는 안됩니다.

interfacetopbar_prisoners_types					현재 *X명 수감중
interfacetopbar_prisoners_capacity              최대 안전 수용능력: *X
interfacetopbar_prisonercells_shared            공용감방 수용능력: *X
interfacetopbar_prisonercells_unlocked          잠금해제감방 수용능력: *X
interfacetopbar_prisonercells_minseconly        저위험자 수용능력: *X
interfacetopbar_prisonercells_medseconly        중위험자 수용능력: *X
interfacetopbar_prisonercells_maxseconly        고위험자 수용능력: *X
interfacetopbar_prisonercells_protectedonly     보호감호자 수용능력: *X
interfacetopbar_prisonercells_supermaxonly      초고위험자 수용능력: *X
interfacetopbar_prisonercells_deathrowonly      사형수 수용능력: *X
interfacetopbar_prisonercells_staffonly         사용 불가 감방: *X
interfacetopbar_prisoners_nocells               *X명의 죄수에게 감방을 배정할 수 없습니다

interfacetopbar_cctv_current					현재 *C대의 카메라 운영 중
interfacetopbar_cctv_cap						*C대의 카메라 수용가능

interfacetopbar_tension_currentlevel            위험 수준 *X
interfacetopbar_tension_increasing              높아지고 있음
interfacetopbar_tension_decreasing              낮아지고 있음
interfacetopbar_tension_description             변화요인:
interfacetopbar_tension_happyprisoners           - *X명의 죄수가 좋은 대우를 받고 있다고 말함
interfacetopbar_tension_unhappyprisoners         + *X명의 죄수는 심각한 불만이 있음
interfacetopbar_tension_lockedupprisoners        + *X명의 죄수가 감방이나 독방에 감금되어 있음
interfacetopbar_tension_riotingprisoners         + *X명의 죄수가 폭동을 일으킴
interfacetopbar_tension_wellfedprisoners         - *X명의 죄수가 잘 먹고 있음
interfacetopbar_tension_suppressedprisoners      = *X명의 죄수가 제압됨(여전히 불만)
interfacetopbar_tension_activeriotguards         + *X명의 폭동진압대가 출동함
interfacetopbar_tension_activearmedguards        + *X명의 무장교도관이 근무함
interfacetopbar_tension_recentdeaths             + 최근 *X명의 사람이 사망함
interfacetopbar_tension_recentsearches           + 최근 *X명의 죄수가 불필요한 수색을 당함
interfacetopbar_tension_angrygangmembers         + *X명의 갱단이 분노함(우두머리가 처벌 받음)
interfacetopbar_tension_recentpunishments        = (억제됨)최근 *X회의 처벌이 내려짐
interfacetopbar_tension_recentcalmed             - 최근 *X명의 죄수가 안정됨

interfacecontrol_mainmenu                       메인메뉴(Esc)
interfacecontrol_mainmenu_tooltip               메인메뉴를 엽니다(새로시작/불러오기/저장/나가기 등).
interfacecontrol_todo                           할 일 목록
interfacecontrol_todo_tooltip                   할 일 목록을 엽니다.
interfacecontrol_research                       업무결재시스템
interfacecontrol_research_tooltip               업무결재시스템 화면을 엽니다. 관리자를 배정해서 새 아이템, 새 직원, 새 시설을 잠금해제할 수 있습니다.
interfacecontrol_grading                        교도소 평점
interfacecontrol_grading_tooltip                교도소 평점 화면을 엽니다. 교도소가 얼마나 성공적으로 운영되었는지 평점을 보여줍니다.

interface_confirmlandbuy                        이 토지를 $*X에 구매하시겠습니까?
interface_loadconfirm                           이 지도를 불러오기 하시겠습니까? 저장되지 않은 부분은 사라집니다.
interface_saveconfirm                           이 파일명으로 저장하시겠습니까? 기존 데이터를 덮어쓰게 됩니다.

interface_landbuylabel                          *Xm x *Ym. 총면적 *A 평방미터. *C

interface_action_dismantle                      철거
interface_action_dump                           버리기
interface_action_repair                         수리
interface_action_medicalbay                     치료 구역
interface_action_search                         수색
interface_action_searchcell                     감방 수색
interface_action_searchcellblock                감방동 수색
interface_action_sack                           해고
interface_action_doormodenormal                 문 설정: 기본
interface_action_doormodelockedshut             문 설정: 잠그기
interface_action_doormodelockedopen             문 설정: 열어놓기
interface_action_switchon                       스위치 켜기
interface_action_switchoff                      스위치 끊기
interface_action_sellobject                     물품 팔기
interface_action_dismiss                        지우기
interface_action_connect                        연결
interface_action_clearconnections               연결 해제
interface_action_servoopen                      신호 오면 열기
interface_action_servoclose                     신호 오면 닫기

interface_contents_container                    내용물: *X 
interface_contents_stack                        내용물: *X x *Y 

interface_skip                                  건너뛰기

interface_error_riotmove                        들어갈 수 없음: 폭동

interface_foundationsinprogress                 기초공사 진행 중
riot_underway                                   폭동 중
riot_status_prisoners                           *X명의 죄수가 폭동을 일으킴
shakedown_underway                              전면수색 진행 중
shakedown_found                                 발견된 것:

gameover_caption                                계속하려면 ESC를 누르십시오

sector_jobs_max                                 최대 일자리 *X
sector_jobs_qualified                           유자격자 죄수: *X
sector_jobs_required                            (*X 필요)
sector_noaccess                                 길 없음
sector_insecure                                 위험함



# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					하드웨어 호환성 검사
hardware_compat_message					검사를 수락하면 귀하의 컴퓨터에서 하드웨어 데이터를 수집하게 됩니다.\n\n이 정보는 철저한 익명성이 보장되며 프리즌 아키텍트가 가능한 한 다양한 컴퓨터 하드웨어에서 지원되도록 도울 것입니다.\n\n감사합니다!
hardware_compat_accept					수락
hardware_compat_decline					거부

connectionmenu_connect                  연결
connectionmenu_disconnect               연결해제
connectionmenu_clear                    제거
connectionmenu_done                     완료


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      건설
buildtoolbar_reports                    보고서
buildtoolbar_bangup                     전원입실
buildtoolbar_lockdown                   전체잠금
buildtoolbar_shakedown                  전면수색
buildtoolbar_weaponsfree                발포허가

buildtoolbar_tooltip_reports			보고서 창을 열어서 죄수, 직원, 수입, 보조금 등에 대한 정보를 확인합니다.
buildtoolbar_tooltip_bangup				모든 죄수를 자기 감방으로 보냅니다. 너무 오랫동안 가두어 두면 죄수들이 화나게 됩니다.
buildtoolbar_tooltip_lockdown			즉시 교도소의 모든 문을 잠급니다.
buildtoolbar_tooltip_shakedown          모든 감방에 대한 즉각적인 수색을 지시합니다. 어느정도 시간이 걸리며 재소자들이 무척 짜증을 냅니다.
buildtoolbar_tooltip_weaponsfree        무장교도관이 살상무기를 사용하도록 허가합니다.

buildtoolbar_cost						비용: $*C
buildtoolbar_cost_sqrft					비용: $*C /sq
buildtoolbar_wages						임금 : 일당 $*W
buildtoolbar_outdoor					실외 전용
buildtoolbar_indoor						실내 전용
buildtoolbar_walk_speed					이동 속도 : *S
buildtoolbar_walk_speed_slow			느림
buildtoolbar_walk_speed_norm			보통
buildtoolbar_walk_speed_fast			빠름
buildtoolbar_locked                     잠김
buildtoolbar_locked_research			잠김(*B 필요)
buildtoolbar_locked_administrator		잠김(*B 필요)
buildtoolbar_room						방

buildtoolbar_electrical                  - 전기제품
buildtoolbar_highpower                   - 많은 전력 필요
buildtoolbar_water                       - 수도 연결 필요
buildtoolbar_wired                       - 전기 배선(전기가 연결된 다른 물품에 연결)
buildtoolbar_modcontent                  - 요소 수정하기

buildtoolbar_popup_foundations			교도소를 만들기 위해 건물을 새우거나 철거합니다.
buildtoolbar_popup_construction			여러 종류의 바닥이나 벽.
buildtoolbar_popup_planning				인부들이 무슨 일을 할지 고민 하지 말고 먼저 계획을 세웁니다.
buildtoolbar_popup_designation			교도소에 특별한 기능을 하는 구역을 지정합니다.
buildtoolbar_popup_objects				교도소에 유용한 물건을 놓습니다.
buildtoolbar_popup_overlays				교도소 배치도를 보고 취약점을 직접 확인합니다.
buildtoolbar_popup_utilities			배관과 전기시스템.
buildtoolbar_popup_staff				교도소를 운영하는데 필요한 사람들을 고용합니다.
buildtoolbar_popup_deployment			교도소에 직원을 배치합니다.
buildtoolbar_popup_logistics            죄수들을 교도소 내의 노역에 배정합니다. 식당이나 세탁 일자리를 수동으로 조정할 수도 있습니다.
buildtoolbar_popup_research				교도소를 위한 새로운 기능들을 잠금해제 합니다.
buildtoolbar_popup_emergencies			상황이 악화될 것 같으면 긴급출동센터에 연락합니다.
buildtoolbar_popup_spawn				산란? 이게 뭐 하는거지?
buildtoolbar_popup_clone				기존 건축물을 복사해서 붙여넣기 합니다.
buildtoolbar_popup_properties			무엇이든 알아냅니다.
buildtoolbar_popup_contraband           밀반입품의 출처와 교도소에서 최근 발견된 모든 밀반입품을 알려줍니다. 비밀 정보원과 그들이 수집한 정보를 알려줍니다.
buildtoolbar_popup_grading              처벌, 교정, 보안, 건강의 네 가지 핵심 항목을 기준으로 교도소에 대한 전체적인 평가를 보여줍니다. 출소자들의 재범율도 보여줍니다.
buildtoolbar_popup_room_cell			죄수들이 생활하는 곳입니다.
buildtoolbar_popup_room_holdingcell		새로 들어온 죄수가 감방을 배정받을 때까지 마무는 곳입니다.
buildtoolbar_popup_room_solitary		악질 중의 악질을 가두는 독립된 공간입니다.
buildtoolbar_popup_room_canteen			죄수들이 밥이나 차를 마시는 곳입니다.
buildtoolbar_popup_room_kitchen			죄수들에게 줄 음식을 조리하는 곳입니다.
buildtoolbar_popup_room_shower			죄수들이 깨끗하게 씻고 머릿니를 박멸하는 공간입니다.
buildtoolbar_popup_room_yard			죄수들이 감시탑의 매서운 시선 아래 잠깐동안 햇빛을 볼 수 쬘 수 있게 해줍니다.
buildtoolbar_popup_room_storage			교도소에 필요한 자재들을 저장하는 곳입니다.
buildtoolbar_popup_room_deliveries		물품, 자재, 죄수들이 도착하는 곳입니다.
buildtoolbar_popup_room_garbage			쓰레기를 모으는 곳입니다.
buildtoolbar_popup_room_execution		죄수를 사형 집행하기 위해 보내는 곳입니다.
buildtoolbar_popup_room_workshop		지루해 죽을 지경인 죄수들을 데려다 자동차 번호판을 만들 수 있는 공간입니다.
buildtoolbar_popup_room_security		교도관을 위한 사무실입니다.
buildtoolbar_popup_room_office			관리자들이 일하는 공간입니다.
buildtoolbar_popup_room_medicalward		의료 대원들이 일하는 공간입니다.
buildtoolbar_popup_room_morgue			사망자를 안치하기 위해 보내는 공간입니다.
buildtoolbar_popup_room_commonroom		죄수들이 자유시간에 휴식을 취하게 해줍니다.
buildtoolbar_popup_room_kennel          경비견들이 생활하는 곳입니다.
buildtoolbar_popup_room_chapel          운영위원회가 열려 수감자들의 종교적 욕구를 해결하기 위해 머리를 맞대고 생각해낸 것이 무엇일까요? '다종교 기도실'. 우리는 그걸 예배실이라고 부릅니다.
buildtoolbar_popup_room_paroleroom      죄수들은 형량의 50%에서 75%정도 복역하면 가석방될 수 있습니다. 그들의 운명은 이 방에서 교도소장과 교도대장과 함께 결정될 것입니다.\n\n참고: 추가적인 경비가 필요합니다. 죄수들은 가석방이 거부되면 난폭해지는 경향이 있습니다.
buildtoolbar_popup_room_library         교도소에는 전국에서 보낸 버려지거나 낡은 책 상자들이 쌓입니다. 죄수들은 그 책들을 책장에 정리할 필요가 있습니다.
buildtoolbar_popup_room_intake          죄수가 처음 도착하면 보내지는 곳입니다.

buildtoolbar_popup_obj_bed				너무 푹신하지도 너무 딱딱하지도 않으면 좋겠지만, 사실 너무 작고 딱딱합니다.
buildtoolbar_popup_obj_toilet			마땅이 줘야 할 인권입니다. 뭐, 저 나쁜놈들을 믿는다면요.
buildtoolbar_popup_obj_table			의자랑 있으면 완벽합니다.
buildtoolbar_popup_obj_chair			책상과 있으면 딱이네요.
buildtoolbar_popup_obj_bench			앉는 곳.
buildtoolbar_popup_obj_electricchair	2000V의 고압 전류로 정의를 구현합니다.
buildtoolbar_popup_obj_jaildoor			죄수들이 있어야 할 곳에 가둬놓는 장치.
buildtoolbar_popup_obj_jaildoorlarge	많은 죄수들을 가둬놓는 장치.
buildtoolbar_popup_obj_door				단순한 문입니다.
buildtoolbar_popup_obj_solitarydoor		최강의 죄수도 탈출을 막을 수 있는 튼튼한 문입니다.
buildtoolbar_popup_obj_staffdoor		교도관 외에도 모든 직원이 열 수 있는 문입니다.
buildtoolbar_popup_obj_window			햇빛을 살짝 느낄 수 있습니다.
buildtoolbar_popup_obj_windowlarge		햇빛을 살짝 더 넓게 느낄 수 있습니다.
buildtoolbar_popup_obj_tree				지구 온난화를 막는 것은 우리 모두의 의무입니다.
buildtoolbar_popup_obj_light			하루 종일 재소자를 볼 수 있게 불을 밝힙니다.
buildtoolbar_popup_obj_cooker			죄수들에게 따뜻한 음식으로 럭셔리한 인생을 누리게 해줍니다.
buildtoolbar_popup_obj_fridge			음식이 상하지 않게 해줍니다.
buildtoolbar_popup_obj_bin				정리정돈은 밀반입품을 막기 위해 중요합니다.
buildtoolbar_popup_obj_sink				모든 사람들이 손을 씻어야 합니다.
buildtoolbar_popup_obj_servingtable		죄수들에게 음식을 배식합니다.
buildtoolbar_popup_obj_showerhead		샤워기입니다. 샤워 할 때 씁니다.
buildtoolbar_popup_obj_bookshelf		책을 정돈해 두는 곳입니다.
buildtoolbar_popup_obj_officedesk		직원들은 작성해야 할 것이 많습니다. 일할 수 있도록 반짝반짝한 사무용 책상을 주세요.
buildtoolbar_popup_obj_filingcabinet	직원들이 작성한 서류를 깔끔하게 정리해서 보관해야 합니다.
buildtoolbar_popup_obj_medicalbed		약물을 보관해 두는 곳으로 이따금 죄수들이 이곳에서 약물을 훔칩니다.
buildtoolbar_popup_obj_morgueslab		사망자를 옮기기 전에 경건한 곳에 있도록 합니다.
buildtoolbar_popup_obj_drain			바닥의 물이 배수되도록 합니다.
buildtoolbar_popup_obj_sprinkler		화재가 발생하면 자동으로 그 구역에 물이 분사됩니다.
buildtoolbar_popup_obj_metaldetector	죄수가 통과할 때 밀반입품을 찾아냅니다. 밀반입품을 압수하려면 근처에 교도관이 있어야 합니다.
buildtoolbar_popup_obj_weightsbench		죄수들이 운동을 할 수 있게 해주어 행복 지수를 높여줍니다.
buildtoolbar_popup_obj_phonebooth		죄수들도 가족과 이야기를 나누고 싶을 수 있습니다.
buildtoolbar_popup_obj_tv				죄수들의 지루한 일상에 평화를 가져다 줍니다.
buildtoolbar_popup_obj_largetv			더 많은 죄수들의 뇌를 멍청하게 만들어줍니다.
buildtoolbar_popup_obj_pooltable		당구 게임으로 교도소 생활의 단조로움을 극복합니다.
buildtoolbar_popup_obj_dismantleobject	교도소에서 물품을 철거합니다.
buildtoolbar_popup_obj_altar            예배자들을 더 높은 권능과 직접적으로 연결해줍니다.
buildtoolbar_popup_obj_pews             신자를 위한 의자입니다. 가장 단단한 나무로 만들어집니다.
buildtoolbar_popup_obj_prayermat        죄수들이 기도하는 동안 더러워지는 것을 막아줍니다. 

buildtoolbar_popup_staff_workman		당신이 설계한대로 교도소를 지어줍니다.
buildtoolbar_popup_staff_guard			죄수들을 관리하고 감시하는 직원입니다.
buildtoolbar_popup_staff_armedguard     총으로 무장한 교도관이며, 죄수들은 이 친구를 공격하기 전에 두 번은 생각해야 합니다.\n\n참고: 무장교도관들은 무기고에 각자의 개인사물함이 필요합니다.
buildtoolbar_popup_staff_doctor			주위의 다친 사람들을 죄수이든 교도관이든 가리지 않고 전부 치료합니다.
buildtoolbar_popup_staff_cook			죄수들을 먹여줄 직원입니다.
buildtoolbar_popup_staff_gardener		교도소 정원을 깔끔하게 관리해줍니다.
buildtoolbar_popup_staff_janitor		교도소 내부를 청결하게 관리해줍니다. 빨래도 도와줍니다.
buildtoolbar_popup_staff_warden			교도소 최고 감독관입니다. 연구를 수행하고 고위 직원을 고용하기 위해 필요합니다.
buildtoolbar_popup_staff_chief			교도관 배치, CCTV, 폭동진압대 등을 쓸 수 있게 해주는 고위 직원입니다.
buildtoolbar_popup_staff_foreman		청소부와 정원사를 부를 수 있게 해주는 고위 직원입니다.
buildtoolbar_popup_staff_psychologist	죄수들의 마음에 대한 통찰력을 얻게 해주는 고위 직원입니다. 
buildtoolbar_popup_staff_accountant		재정 보고서에 접근할 수 있게 해주는 고위 직원입니다.
buildtoolbar_popup_staff_lawyer			교도소를 보다 잘 통제하기 위해 규칙을 유연하게 조정할 수 있게 해주는 고위 직원입니다.

buildtoolbar_popup_uts_powerstation		교도소에 사용할 전기를 생산합니다.
buildtoolbar_popup_uts_capacitor		발전기 바로 옆에 놓여 전기 생산량을 늘립니다.
buildtoolbar_popup_uts_electricalcable	교도소 전체에 전기를 공급합니다.
buildtoolbar_popup_uts_powerswitch		연결된 케이블에 전기를 공급하거나 차단합니다.\n\n오른쪽 버튼을 클릭해서 켜고 끕니다.
buildtoolbar_popup_uts_waterpumpstation	교도소에 물을 공급하는 원천입니다.
buildtoolbar_popup_uts_pipevalve		연결된 파이프에 물을 공급하거나 차단합니다.
buildtoolbar_popup_uts_pipelarge		교도소에 고압으로 대량의 물을 공급하는 파이프입니다. 사람이 기어들어갈 수 있을 정도로 큽니다.\n\n참고: 수압이 너무 세기 때문에 보통 싱크대나 샤워기에 직접 연결하지 않습니다. 그런 용도로는 작은 파이프를 사용합니다.
buildtoolbar_popup_uts_pipesmall		화장실이나 샤워기, 싱크대 같은 품목을 대형 파이프에 연결하기 위해 사용됩니다. 수압이 낮기 때문에 연결할 수 있는 길이에 한계가 있습니다. 수압이 너무 떨어지기 전에 연결되어야 합니다.
buildtoolbar_popup_uts_cctv				교도관 없이도 교도소 모든 지역을 한번에 볼 수 있게 해줍니다.\n\nCCTV 모니터와 카메라를 연결해야 합니다.
buildtoolbar_popup_uts_cctvmonitor		보안실 내부에 설치하고 교도관이 작동합니다. CCTV 카메라로 교도소 주변을 원격으로 감시합니다.\n\n연결 도구를 이용해 CCTV와 연결해야 합니다.\n\n참고: 한 번에 8대의 카메라만 연결 가능합니다. 8대를 넘게 연결하면 그 중 일부만 돌아가며 감시하게 됩니다.
buildtoolbar_popup_uts_DoorControlSystem  보안실 내부에 설치하고 교도관이 작동합니다. 교도소 내부의 문들을 원격으로 열 수 있습니다.\n\n연결 도구를 이용해 통제시스템을 문 개폐기에 연결합니다. 원격으로 제어할 문에 개폐기가 설치되어 있어야 합니다.\n\n참고: 통제시스템을 원하는 여러 대의 문 개폐기에 연결할 수 있습니다. 그러나 통제시스템을 조작하는 교도관은 1초에 최대 2개의 문을 열 수 있습니다.
buildtoolbar_popup_uts_phonemonitor     보안실에 설치해서 교도관이 운영합니다. 죄수들의 통화 내역을 감시해서 불법적인 행동을 계획하는 것을 막을 수 있습니다.\n\n연결 도구를 이용해 전화부스와 연결해야 합니다.
buildtoolbar_popup_uts_Servo            원격으로 제어하고 싶은 문 위에 개폐기를 설치합니다. 모터를 정확히 문 위에 설치해야 합니다.\n\n개폐기가 설치되면 문 통제시스템이나 문 타이머로 신호를 보내 자동으로 문을 열고 닫을 수 있습니다.\n\n개폐기를 서로 연결하여 하나의 문을 열면 나머지 문들도 같이 열 수 있습니다.
buildtoolbar_popup_uts_LogicCircuit     고급 건축가 전용.\n\n입력과 출력을 설정 할 수 있는 논리회로입니다.\n\n가능한 작동법: And / Or / Not / Nand / Nor / Xor\n\n오른클릭으로 작동법을 바꿀 수 있습니다.
buildtoolbar_popup_uts_LogicBridge      고급 건축가 전용.\n\n신호를 받아서 같은 공간에 있는 설치되어 있는 전력 케이블에 신호를 이어줍니다. 그러면 같은 전력 케이블에 설치된 다른 논리회로에 신호를 전달합니다.\n\n신호를 교도소 전체로 '방송'할 수 있습니다. 시계 신호를 전달하는데 유용합니다.
buildtoolbar_popup_uts_DoorTimer        정해진 시간에 자동으로 문을 열 수 있습니다.\n\n연결 도구를 이용해 타이머를 문 개폐기에 연결해야 합니다.
buildtoolbar_popup_uts_Wire             원격 조종 시스템을 서로 연결합니다.
buildtoolbar_popup_uts_showallwires		교도소 내의 연결된 모든 전선을 보여줍니다.
