
campaigncutscene_tooltip 				(Cliquer pour déclencher le chapitre suivant de l'histoire)
adviser_food_drugsfound3				Pour l'alcool, il n'existe pas de substitut, je suggère donc de commencer des thérapies de groupe.
adviser_food_drugsfound4				Il va falloir construire une nouvelle salle commune pour organiser ces meetings.
adviser_food_drugsfound5				Pour lancer de nouveaux programmes, allez dans « Rapports » en bas à droite de l'écran, puis dans « Programmes ».

objective_food_drugtreatment			Lancer un programme de désintoxication
objective_food_cureaddictions			(OPTIONNEL) Commencer à soigner les détenus toxicomanes
objective_food_alcoholprogram			Lancer un programme de thérapies de groupe pour les alcooliques
objective_Food_HelpAlcoholics			(OPTIONNEL) Commencer à soigner les détenus alcooliques par la réhabilitation
objective_food_buildcommonroom 			Construire une salle commune
objective_food_buildcommonroomchairs	Constituer un lieu de réunion formé de huit chaises

objective_food_drugtreatment_description 	Cliquez sur « Rapports » en bas à droite de l'écran, puis sélectionnez l'onglet « Programmes ». Le programme se nomme « Traitement de la toxicomanie », et prend place à l'infirmerie.\n\nRemarque : le régime devra comprendre au moins deux heures de travail pour que les prisonniers puissent y participer.
objective_food_alcoholprogram_description 	Cliquez sur « Rapports » en bas à droite de l'écran, puis sélectionnez l'onglet « Programmes ».\n\nRemarque : le régime devra comprendre au moins deux heures de travail pour que les prisonniers puissent y participer.

cutscene_food_feudintro1 				Quelque chose s'est passé aux douches. Il y a un mort.
cutscene_food_feudintro2 				Deux morts en fait. Encore heureux qu'on ait des caméras ici.
cutscene_food_feudintro3 				Quand vous aurez un moment, cliquez sur le polaroïd des douches pour qu'on voie ce qui s'est passé.

objective_food_triggerfightscene		Quand vous serez prêt, cliquez sur le polaroïd des douches pour continuer.
objective_food_triggerfightscene_description 	Les douches sont dans la partie nord-ouest de l'établissement.

cutscene_food_feud1b                    Seul. Parfait.
cutscene_food_feud1                     T'as pris ton temps.
cutscene_food_feud2                     Écrase. J'ai jamais pigé ce que ma pute de sœur pouvait bien te trouver.
cutscene_food_feud2b 					C'était son idée ? Buter le vieux ?
cutscene_food_feud3                     C'est vraiment ce que tu crois, gros tas ? Je voulais pas lui faire de mal. Je l'aime comme si c'était mon propre père.
cutscene_food_feud3b 					J'en ai ma claque que cette famille ait à souffrir de ta stupidité.
cutscene_food_feud4                     L'incendie était pour toi.
cutscene_food_feud5                     Alors prends ça comme un remerciement.
cutscene_food_feud6                     Tu parles. On sait bien tous les deux que tu voulais me liquider un jour.
cutscene_food_feud7                     Ouais, t'as toujours été un petit futé, Nico. Regarde un peu où ça t'a mené. T'en fais pas, tu souffriras pas.
cutscene_food_feud8                     Je t'avais bien dit de surveiller tes arrières.
cutscene_food_feud8b                    Euugggghhhh ! ...
cutscene_food_feud8c                    AAARRRGGRGGGGGG !
cutscene_food_feud8d                    Tu connais pas Franky ? C'est un vrai virtuose avec les cordes de piano.
cutscene_food_feud8e                    Franchement, le temps qu'il ait fini, ils croiront que c'est un suicide.
cutscene_food_feud9                     C'est pas fini Nico.
cutscene_food_feud9b                    C'est une blague ou quoi ?

cutscene_food_successionintro			Très bien. On a vraiment fait progresser les choses, et on a repris le contrôle de la prison, je pense.
cutscene_food_successionintro2 			Vous pouvez rester et continuer à améliorer la prison, ou nous pouvons nous rendre à l'établissement suivant.
cutscene_food_successionintro3 			Quand vous serez prêt à continuer, cliquez sur le polaroïd de l'infirmerie.

objective_food_runending 				Quand vous serez prêt, cliquez sur le polaroïd de l'infirmerie pour continuer.
objective_food_runending_description	L'infirmerie est au bord sud-ouest de l'établissement.

cutscene_food_succession1				Vitalia !
cutscene_food_succession1b				... ?
cutscene_food_succession2				Enfin !
cutscene_food_succession3				Désolé. J'ai merdé.
cutscene_food_succession4				Tais-toi.
cutscene_food_succession5				Le Don durera pas la semaine, d'après eux.
cutscene_food_succession6				Je sais. Je suis venue lui dire adieu.
cutscene_food_succession7				Tu sais, on pourrait s'en aller maintenant. Toi et moi. Chienne de vie. Elle nous a tout pris.
cutscene_food_succession8				J'aimerais bien.
cutscene_food_succession9				Mais je ne peux pas. Je suis une Palermo, Nico.
cutscene_food_succession10				Maintenant que papa n'est plus là, et avec toi qui n'est qu'une pièce rapportée, nos ennemis détruiraient notre famille.
cutscene_food_succession11 				Je ne peux pas le permettre. Je dois leur montrer qu'une Palermo occupe toujours le trône.
cutscene_food_succession12				Alors t'es là pour me liquider ? Après tout ce qu'on a surmonté ensemble ?
cutscene_food_succession13				Ah, Nico. Tu es si vieux jeu. 
cutscene_food_succession14 				Non, mon chéri. Je divorce.
cutscene_food_succession15				De quoi ? Tu te fiches de moi ? Sans la famille pour me soutenir, je suis un homme mort ici.
cutscene_food_succession16				Je sais mon chéri. Mais ce n'est plus mon problème.
cutscene_food_succession17				Puisses-tu atteindre un monde meilleur, papa.
cutscene_food_succession18				Adieu Nico.


# =============================================================================
# Riot 
# =============================================================================

campaignchapter_riot                    Une prison très ferme
campaignchapter_riot_description		Une émeute a éclaté à la prison d'état d'Alchemico. Rendez-vous sur les lieux et reprenez le contrôle de l'établissement.

campaigncutscene_riotintro              Flash info

adviser_riot_newsintro_01				Flash info !
adviser_riot_newsintro_02				Une émeute est survenue à la prison d'état d'Alchemico. Les gardiens et le personnel se sont retirés dans le périmètre de sécurité où ils attendent des renforts militaires.
adviser_riot_newsintro_1				Certains membres du personnel manquent toujours à l'appel, dont le PDG Charles Wallace.
adviser_riot_newsintro_2				L'émeute a éclaté suite à l'arrestation de plusieurs juges haut placés...
adviser_riot_newsintro_3				...dont on pense qu'ils ont reçu des pots-de-vin pour infliger de plus lourdes peines.
adviser_riot_newsintro_4				Pour empirer encore les choses, certaines sources indiquent que le monde de la pègre a récemment été ébranlé par une série de meurtres...
adviser_riot_newsintro_5				...dont la tentative d'assassinat du parrain Victor Palermo le mois dernier.
adviser_riot_newsintro_6				La tâche de restaurer l'ordre incombe aujourd'hui à l'adjoint du PDG Charles Wallace, un nouveau venu à son poste.
adviser_riot_newsintro_7				Il reste encore à voir s'il parviendra à résoudre cette difficile crise malgré son manque d'expérience.
adviser_riot_newsintro_8                On pense que le meneur des émeutiers à l'origine des violences se nomme Douglas Benedict. C'est un détenu qui purge ici une peine à perpétuité.

adviser_riot_newsintroheller_1 			Calvin Heller, le maire de la ville, vient de faire la déclaration suivante.
adviser_riot_newsintroheller_2 			Ceci devrait servir de rappel à tous ceux qui remettent en cause nos politiques de réforme pénale.
adviser_riot_newsintroheller_3 			Ces hommes profitent du gîte et du couvert. Ils disposent même d'un travail payé.
adviser_riot_newsintroheller_4 			Et voilà comment ils remercient les contribuables qui leur offrent tout ceci.

campaigncutscene_riothostages			Otages
adviser_name_riotceo					Le PDG
adviser_name_riotbenedict 				Benedict

adviser_riot_hostages1					Écoutez bien. On a votre PDG.
adviser_riot_hostages1b 				Eurgh...
adviser_riot_hostages2 					Voilà comment on va faire. Je demande. Vous donnez.
adviser_riot_hostages3					S'il y a le moindre problème, si vous envoyez qui que ce soit, ou si je sens la moindre odeur de poulet, je lui tire une balle dans le crâne.
adviser_riot_hostages4 					On veut un véhicule banalisé. Avec des vitres opaques. Et le réservoir plein. Une heure. Je vous rappelle.
adviser_riot_hostages5 					Alors, on en était où ?
adviser_riot_hostages5b					Qu'est-ce que tu fichais dans ce bureau ?
adviser_riot_hostages6					Je vous jure, je ne sais rien.
adviser_riot_hostages7					J'ai assez vu mon reflet pour savoir quand un type se sent coupable.
adviser_riot_hostages8					Que cachais-tu ?
adviser_riot_hostages9					J'ai ma place dans un tel endroit. Mais le môme... Ça sert à quoi qu'il tire du temps ici ?
adviser_riot_hostages10					Tu sais quelque chose. Et ta seule chance de t'en sortir, c'est de me le dire.

adviser_riot_hostageheller1 			C'est inacceptable. Nous devons absolument voir ce qui se passe dans cette cantine.
adviser_riot_hostageheller2 			Il y a une petite salle de surveillance au nord de la cantine. Nous devons la sécuriser.
adviser_riot_hostageheller3 			Déployez-y des gardiens. Ils s'occuperont de la console de télésurveillance, et nous pourrons alors voir tout ce qui se passe dans le bloc de cellules.

objective_Riot_MaxSecCameras			Reprendre la salle de surveillance

campaigncutscene_riotroulette			Roulette

adviser_riot_rouletteintro1             Un gardien occupe la salle de surveillance, nous pouvons donc voir les images du système de caméras.
adviser_riot_rouletteintro2             Regardons ce qui se passe avec les otages.
adviser_riot_click 						<clic>
adviser_riot_roulette1					Hé big boss, c'est ta dernière chance de partir d'ici en vie. C'est juste un petit jeu à deux balles !
adviser_riot_roulette2 					Deux balles. Et quatre chambres vides.
adviser_riot_roulette2b 				On y jouait souvent avec des lièvres. Ça leur arrachait carrément la tête.
adviser_riot_roulette3 					Mais tu feras tout aussi bien l'affaire.
adviser_riot_roulette4 					Commençons par une question facile. Qu'est-ce que tu fichais dans ce bureau ?
adviser_riot_roulette5 					Je vous jure, je ne sais rien.
adviser_riot_roulette5b 				Ce que tu fichais vraiment.
adviser_riot_roulette6 					Très bien. Qui commence ? Toi ? Moi ? Ou ce type peut-être ?
adviser_riot_roulette7					Qui l'aurait cru. Pareil qu'un lièvre.
adviser_riot_roulette8 					QU'Y AVAIT-IL DANS CE DOSSIER ?
adviser_riot_roulette9 					Je le jure ! Je ne sais pas...
adviser_riot_roulette10 				Ta chance va bientôt tourner. Il reste une balle là-dedans. J'ai des yeux tu sais.
adviser_riot_roulette11b 				Et je n'arrivais pas à les croire.
adviser_riot_roulette11c 				Le big boss en personne, là dans ma prison. Avec une mine de cocker.
adviser_riot_roulette11d 				Il y avait autre chose que mon casier judiciaire dans ce dossier.
adviser_riot_roulette11					Je vous en prie. Je vous en prie, non.
adviser_riot_roulette11e 				Il te reste de moins en moins de chances, Wallace.
adviser_riot_roulette12 				Je vais te dire, je vais te faciliter les choses.
adviser_riot_roulette12b	 			OK, ras-le-bol de ces conneries.
adviser_riot_roulette13 				C'est toi le prochain. À moins que tu me dises tout de suite ce que je veux savoir.
adviser_riot_roulette14 				Je ne peux pas. Je vous en prie.
adviser_riot_roulette15 				OK. Non. Non. Ne tirez pas. C'était de l'argent. Ce n'était que de l'argent.
adviser_riot_roulette16 				C'est tout ?
adviser_riot_roulette17 				Vous êtes de simples biens marchands. Plus vous passez de temps ici, plus on fait de profits. On contournait juste les règles.
adviser_riot_roulette17b				Ce dossier en était la preuve.
adviser_riot_roulette18 				Alors qu'est-ce qu'on vaut ? Tu touches combien pour qu'on croupisse ici ?
adviser_riot_roulette19 				Soixante-treize milles dollars par an.
adviser_riot_roulette20					Par tête de pipe ? Salopard. Tu vas nous payer ça.

campaigncutscene_riotassault 			Assaut

adviser_riot_assault01					Assez. Il faut mettre un terme à tout ça.
adviser_riot_assault02 					Toute l'équipe est en position.
adviser_riot_assault03					Je veux le véhicule, maintenant ! Wallace vient avec nous. Et si je vois qu'on nous file, faudra racler ce qu'il en reste sur l'autoroute.
adviser_riot_assault2 					Très bien big boss. Tu nous accompagnes. Ils vont rien tenter d'idiot avec toi à l'avant.
adviser_riot_assault3 					Aucun de nous ne sortira d'ici. Ce n'est pas ce qu'ils veulent.
adviser_riot_assault4 					Qu'est-ce que tu baragouines ?
