
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nouvelle
samplebankeditor_title                  Éditeur d'échantillons
samplebankeditor_addsample              Ajouter son
samplebank                              (Banque d'échantillons)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            Terminé
interfacemode_destroy                         Effacer
interfacemode_foundations				Fondations
interfacemode_construction                    Matériaux
interfacemode_planning                        Planification
interfacemode_objects                         Objets
interfacemode_designation                     Pièces
interfacemode_utilities                       Services
interfacemode_staff                           Personnel
interfacemode_deployment                      Déploiement
interfacemode_logistics                       Logistique
interfacemode_prisoners                       Prisonniers
interfacemode_needs                           Besoins
interfacemode_threats                         Menaces
interfacemode_overlays                        Vues
interfacemode_research                        Administration
interfacemode_emergencies                     Urgences
interfacemode_clone                           Dupliquer
interfacemode_contraband                      Renseignements
interfacemode_grading                         Évaluation
interfacemode_spawn                           (Point d'apparition)
interfacemode_properties                      (Propriétés)
interfacemode_cutscenes                       (Scènes narratives)
interfacemode_selection                       Sélectionner

interfaceoverlay_security                       Sécurité
interfaceoverlay_patrols                        Patrouilles
interfaceoverlay_decay                          Détérioration
interfaceoverlay_territory                      Territoire
interfaceoverlay_contraband                     Contrebande

interfaceproperty_indoor                        Intérieur
interfaceproperty_visible                       Visible
interfaceproperty_territoryprisoner             Gangs
interfaceproperty_territoryguard                Gardiens
interfaceproperty_sectorprisoner                Émeutes
interfaceproperty_tunnel                        Tunnel

interfacedeployment_guards                      Gardiens
interfacedeployment_patrols                     Patrouilles de gardiens
interfacedeployment_dogpatrols                  Patrouilles de chiens
interfacedeployment_armedpatrols                Patrouilles armées
interfacedeployment_removeguards                Retirer les gardiens
interfacedeployment_clearpatrols                Supprimer les patrouilles
interfacedeployment_targetting                  Logistique
interfacedeployment_targettingfood              Circuit nourriture
interfacedeployment_targettinglaundry           Circuit linge
interfacedeployment_securearea                  Secteur sécurisé
interfacedeployment_sharedzone                  Secteur partagé
interfacedeployment_staffonlyzone               Personnel seulement
interfacedeployment_maxseczone                  Haute sécurité seulement
interfacedeployment_medseczone                  Moyenne sécurité seulement
interfacedeployment_minseczone                  Basse sécurité seulement
interfacedeployment_protectedzone               Surveillance préventive seulement
interfacedeployment_supermaxzone                Très haute sécurité seulement
interfacedeployment_deathrowzone                Condamnés à mort seulement
interfacedeployment_unlockedzone                Non verrouillé
interfacedeployment_zonered                     Aile rouge
interfacedeployment_zonegreen                   Aile verte
interfacedeployment_zoneblue                    Aile bleue
interfacedeployment_zoneyellow                  Aile jaune

interfacelogistics_jobs                         Travail carcéral
interfacelogistics_removejobs                   Supprimer travail carcéral
interfacelogistics_targettingfood               Distribution nourriture
interfacelogistics_targettinglaundry            Distribution buanderie
interfacelogistics_roomquality                  Qualité des pièces

interfaceplanning_wall							Murs
interfaceplanning_object						Objets
interfaceplanning_route							Chemins
interfaceplanning_clear							Dégager
interfaceplanning_zone1							Zone 1
interfaceplanning_zone2							Zone 2
interfaceplanning_zone3							Zone 3
interfaceplanning_zone4							Zone 4
interfaceplanning_zone5							Zone 5
interfaceplanning_zone6							Zone 6
interfaceplanning_zone7							Zone 7
interfaceplanning_zone8							Zone 8
interfaceplanning_zone9							Zone 9

interfacecontraband_source                      Dangers
interfacecontraband_day                         Depuis 24 heures
interfacecontraband_week                        Depuis 7 jours
interfacecontraband_alltime                     Depuis 30 jours
interfacecontraband_informants                  Informateurs
interfacecontraband_gangs                       Gangs

interfaceclone_copy                             Copier
interfaceclone_paste                            Coller

interfacetopbar_todo							Tâches
interfacetopbar_balance							Banque *B
interfacetopbar_budget							Flux *C
interfacetopbar_income							Recettes *I
interfacetopbar_expenses						Dépenses *C
interfacetopbar_day								JOUR *D

interfacetopbar_title_balance					Solde bancaire
interfacetopbar_title_budget					Flux quotidien
interfacetopbar_title_cctv						Vidéosurveillance
interfacetopbar_title_day						Jour
interfacetopbar_title_prisoners					Prisonniers
interfacetopbar_title_guards					Gardiens
interfacetopbar_title_tension                   Danger

interfacetopbar_tooltip_balance					L'argent dont vous disposez en banque.\n\nCliquez pour prendre connaissance des subventions possibles.
interfacetopbar_tooltip_budget					L'argent entrant ou sortant chaque jour, en fonction de vos recettes et de vos dépenses actuelles.\n\nCliquez pour en afficher une analyse détaillée.
interfacetopbar_tooltip_cctv					Le nombre de caméras et de moniteurs de vidéosurveillance dont vous disposez actuellement.
interfacetopbar_tooltip_day						Le temps passé à diriger votre prison.
interfacetopbar_tooltip_prisoners				Le nombre de prisonniers actuellement présents, et celui que peut contenir votre prison.
interfacetopbar_tooltip_guards					Le nombre de gardiens actuellement présents dans votre prison.
interfacetopbar_tooltip_tension                 Le niveau de danger global de votre prison, selon votre chef de la sécurité.

interfacetopbar_tooltip_recenttransactions      Transactions récentes

interfacetopbar_tooltip_gametime                Temps de jeu total : X heures, *Y minutes, *Z secondes

interfacetopbar_tooltip_totalguards             *X gardiens au total
interfacetopbar_tooltip_guardincapacitated      *X immobilisés
interfacetopbar_tooltip_guardstationed          *X en poste
interfacetopbar_tooltip_guardpatrolling         *X en patrouille
interfacetopbar_tooltip_guardavailable          *X disponibles
interfacetopbar_tooltip_guardresting            *X au repos
interfacetopbar_tooltip_guardactive             (*X répondent à des incidents)
interfacetopbar_tooltip_guarddoingjob           *X effectuent des tâches
interfacetopbar_tooltip_idle                    (*X sont inactifs)
interfacetopbar_tooltip_armedguards              + *X gardiens armés
interfacetopbar_tooltip_dogs                     + *X maîtres-chiens

interfacetopbar_unlimitedfunds                  FONDS ILLIMITÉS

interfacetopbar_budget_moneyin					Recettes : $*M /jour
interfacetopbar_budget_moneyout					Dépenses : $*M /jour
interfacetopbar_budget_cantgonegative           Vous ne pouvez pas avoir de flux négatif (des dépenses supérieures aux recettes) avant d'avoir engagé une comptable pour s'occuper de vos finances.

interfacetopbar_prisoners_types					*X détenus incarcérés :
interfacetopbar_prisoners_capacity              Capacité raisonnable maximale : *X
interfacetopbar_prisonercells_shared            Capacité de toutes les cellules : *X
interfacetopbar_prisonercells_unlocked          Capacité des zones non verrouillées : *X
interfacetopbar_prisonercells_minseconly        Capacité des cellules à basse sécurité : *X
interfacetopbar_prisonercells_medseconly        Capacité des cellules à moyenne sécurité : *X
interfacetopbar_prisonercells_maxseconly        Capacité des cellules à haute sécurité : *X
interfacetopbar_prisonercells_protectedonly     Capacité des cellules de surveillance préventive : *X
interfacetopbar_prisonercells_supermaxonly      Capacité des cellules à très haute sécurité : *X
interfacetopbar_prisonercells_deathrowonly      Capacité des cellules pour condamnés à mort : *X
interfacetopbar_prisonercells_staffonly         Non disponibles : *X
interfacetopbar_prisoners_nocells               *X prisonniers ne peuvent se voir attribuer de cellule

interfacetopbar_cctv_current					Nombre de caméras : *C
interfacetopbar_cctv_cap						Espace disponible pour *C

interfacetopbar_tension_currentlevel            Le niveau de danger est *X
interfacetopbar_tension_increasing              et il augmente
interfacetopbar_tension_decreasing              et il diminue
interfacetopbar_tension_description             FACTEURS :
interfacetopbar_tension_happyprisoners           - *X prisonniers s'estiment bien traités
interfacetopbar_tension_unhappyprisoners         + *X prisonniers se plaignent sérieusement
interfacetopbar_tension_lockedupprisoners        + *X prisonniers sont enfermés dans leur cellule ou en isolement
interfacetopbar_tension_riotingprisoners         + *X prisonniers participent à une émeute
interfacetopbar_tension_wellfedprisoners         - *X prisonniers sont bien nourris
interfacetopbar_tension_suppressedprisoners      = *X prisonniers sont matés (conciliants)
interfacetopbar_tension_activeriotguards         + *X policiers antiémeutes sont sur place
interfacetopbar_tension_activearmedguards        + *X gardiens armés sont en service
interfacetopbar_tension_recentdeaths             + *X personnes ont été tuées récemment
interfacetopbar_tension_recentsearches           + *X prisonniers ont été fouillés inutilement récemment
interfacetopbar_tension_angrygangmembers         + *X MEMBRES DE GANG SONT FURIEUX (leur chef est sanctionné)
interfacetopbar_tension_recentpunishments        = (DISSUASION) *X sanctions ont été décidées récemment
interfacetopbar_tension_recentcalmed             - *X ont été calmés récemment

interfacecontrol_mainmenu                       Menu principal (Échap)
interfacecontrol_mainmenu_tooltip               Bascule le menu principal (Nouvelle/Charger/Sauvegarder/Quitter etc.)
interfacecontrol_todo                           Liste des tâches
interfacecontrol_todo_tooltip                   Bascule la liste des tâches
interfacecontrol_research                       Administration
interfacecontrol_research_tooltip               Ouvre l'écran d'administration, où vous pouvez affecter vos administrateurs au déverrouillage de nouveaux éléments, de nouveaux types de personnel et de nouveaux types d'installations.
interfacecontrol_grading                        Évaluation de la prison
interfacecontrol_grading_tooltip                Ouvre l'écran d'évaluation de la prison, qui évalue la manière globale dont vous gérez votre prison.

interface_confirmlandbuy                        Voulez-vous vraiment acheter cette parcelle de terrain pour $*X ?
interface_loadconfirm                           Voulez-vous vraiment charger cette carte ? Toute progression non sauvegardée sera perdue.
interface_saveconfirm                           Voulez-vous vraiment utiliser ce nom de sauvegarde ? Les données existantes seront écrasées.

interface_landbuylabel                          *Xm x *Ym. Surface totale *Am². *C

interface_action_dismantle                      Démonter
interface_action_dump                           Jeter
interface_action_repair                         Réparer
interface_action_medicalbay                     Infirmerie
interface_action_search                         Fouiller
interface_action_searchcell                     Fouiller cellule
interface_action_searchcellblock                Fouiller bloc de cellules
interface_action_sack                           Renvoyer
interface_action_doormodenormal                 Mode : normal
interface_action_doormodelockedshut             Mode : verrouillé fermé
interface_action_doormodelockedopen             Mode : verrouillé ouvert
interface_action_switchon                       Activer
interface_action_switchoff                      Désactiver
interface_action_sellobject                     Vendre objet
interface_action_dismiss                        Renvoyer
interface_action_connect                        Connecter
interface_action_clearconnections               Effacer les connexions
interface_action_servoopen                      Ouvrir sur déclenchement
interface_action_servoclose                     Fermer sur déclenchement

interface_contents_container                    Contenu : *X
interface_contents_stack                        Contenu : *X x *Y

interface_skip                                  PASSER

interface_error_riotmove                        Entrée impossible : émeute

interface_foundationsinprogress                 Fondations en cours de construction
riot_underway                                   ÉMEUTE EN COURS
riot_status_prisoners                           *X participent à une émeute
shakedown_underway                              FOUILLE EN COURS
shakedown_found                                 Découvert :

gameover_caption                                Appuyer sur Échap pour continuer

sector_jobs_max                                 Emplois maximums *X
sector_jobs_qualified                           Prisonniers qualifiés : *X
sector_jobs_required                            (Requis : *X)
sector_noaccess                                 PAS D'ACCÈS
sector_insecure                                 DANGEREUX



# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Test de compatibilité matérielle
hardware_compat_message					Nous aimerions recueillir avec votre permission les données matérielles suivantes de votre ordinateur.\n\nCes renseignements sont entièrement anonymes et nous permettront de faire fonctionner Prison Architect sur la plus large gamme d'ordinateurs possible.\n\nMerci !
hardware_compat_accept					Accepter
hardware_compat_decline					Refuser

connectionmenu_connect                  Connecter
connectionmenu_disconnect               Se déconnecter
connectionmenu_clear                    Dégager
connectionmenu_done                     Terminé


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Construction
buildtoolbar_reports                    Rapports
buildtoolbar_bangup                     Confinement
buildtoolbar_lockdown                   Verrouillage
buildtoolbar_shakedown                  Fouille gén.
buildtoolbar_weaponsfree                Feu à volonté

buildtoolbar_tooltip_reports			Ouvre la fenêtre de rapports pour consulter des renseignements sur vos prisonniers, votre personnel, vos revenus, vos subventions et bien plus encore.
buildtoolbar_tooltip_bangup				Renvoie tous les prisonniers (conciliants) dans leurs cellules. Enfermer vos prisonniers trop longtemps les rendra furieux.
buildtoolbar_tooltip_lockdown			Verrouille instantanément toutes les portes de la prison.
buildtoolbar_tooltip_shakedown          Ordonne la fouille immédiate de toutes les cellules. Cette fouille prendra un certain temps et dérangera beaucoup vos prisonniers.
buildtoolbar_tooltip_weaponsfree        Autorise vos gardiens armés à avoir recours à la force létale.

buildtoolbar_cost						Coût : $*C
buildtoolbar_cost_sqrft					Coût : $*C /m
buildtoolbar_wages						Salaire : $*W par jour
buildtoolbar_outdoor					À l'extérieur seulement
buildtoolbar_indoor						À l'intérieur seulement
buildtoolbar_walk_speed					Vitesse de marche : *S
buildtoolbar_walk_speed_slow			lente
buildtoolbar_walk_speed_norm			normale
buildtoolbar_walk_speed_fast			rapide
buildtoolbar_locked                     VERROUILLÉ
buildtoolbar_locked_research			VERROUILLÉ (prérequis : *B)
buildtoolbar_locked_administrator		VERROUILLÉ (prérequis : *B)
buildtoolbar_room						Pièce

buildtoolbar_electrical                  - Électrique
buildtoolbar_highpower                   - Haute tension
buildtoolbar_water                       - Nécessite une connexion à l'eau
buildtoolbar_wired                       - Relié (connexion possible avec d'autres objets)
buildtoolbar_modcontent                  - Contenu de mod

buildtoolbar_popup_foundations			Construisez ou démolissez des bâtiments pour façonner votre prison.
buildtoolbar_popup_construction			Différents types de sols et de murs.
buildtoolbar_popup_planning				Planifiez votre prison sans donner l'ordre réel à vos ouvriers de faire quoi que ce soit.
buildtoolbar_popup_designation			Donnez une fonction spécifique à chaque secteur de votre prison.
buildtoolbar_popup_objects				Placez des objets très utiles dans toute votre prison.
buildtoolbar_popup_overlays				Identifiez visuellement les points faibles dans l'agencement de votre prison.
buildtoolbar_popup_utilities			Les systèmes électriques et d'alimentation en eau.
buildtoolbar_popup_staff				Engagez le personnel nécessaire au bon fonctionnement de la prison.
buildtoolbar_popup_deployment			Affectez du personnel aux différents secteurs de la prison.
buildtoolbar_popup_logistics            Affectez des prisonniers à travailler dans votre prison. Assignez également manuellement les tâches de la cantine et de la buanderie.
buildtoolbar_popup_research				Déverrouillez de nouvelles possibilités pour votre prison.
buildtoolbar_popup_emergencies			Appelez les services d'urgence si les choses viennent à très mal tourner.
buildtoolbar_popup_spawn				Un point d'apparition ? Mais qu'est-ce que c'est que ce truc ?
buildtoolbar_popup_clone				Copiez et collez vos structures existantes.
buildtoolbar_popup_properties			Renseignez-vous sur différentes choses.
buildtoolbar_popup_contraband           Affichez les sources de contrebande ainsi que tous les articles de contrebande récemment découverts dans votre prison. Prenez également contact avec vos informateurs et apprenez ce qu'ils ont découvert.
buildtoolbar_popup_grading              Consultez l'évaluation globale de votre prison selon quatre indicateurs clefs : répression, réhabilitation, sécurité et santé. Affichez également le taux de récidive de vos détenus.
buildtoolbar_popup_room_cell			L'endroit où vivent vos prisonniers.
buildtoolbar_popup_room_holdingcell		Une pièce où les nouveaux détenus sont placés le temps qu'on leur trouve une cellule.
buildtoolbar_popup_room_solitary		Une réclusion entièrement en solitaire pour les durs de durs.
buildtoolbar_popup_room_canteen			L'endroit où vos prisonniers iront prendre leur quatre-heures.
buildtoolbar_popup_room_kitchen			L'endroit où vos cuisiniers cuisinent des plats pour vos prisonniers.
buildtoolbar_popup_room_shower			Utilisées pour que vos prisonniers restent tout propres, tout beaux. Et sans poux.
buildtoolbar_popup_room_yard			Permet à vos prisonniers de voir le soleil quelques heures par jour, dans le champ de mire de vos gardiens.
buildtoolbar_popup_room_storage			Un secteur servant à entreposer tous les matériaux dont a besoin votre personnel.
buildtoolbar_popup_room_deliveries		L'endroit où sont déposés vos marchandises, vos matériaux et vos prisonniers.
buildtoolbar_popup_room_garbage			Le lieu où sont récupérées vos ordures.
buildtoolbar_popup_room_execution		L'endroit où vous envoyez mourir vos condamnés.
buildtoolbar_popup_room_workshop		L'endroit où vous envoyez mourir d'ennui vos prisonniers en construisant des plaques d'immatriculation.
buildtoolbar_popup_room_security		Les bureaux de vos agents de la sécurité.
buildtoolbar_popup_room_office			Un lieu où travaille votre personnel administratif.
buildtoolbar_popup_room_medicalward		Un lieu où travaille votre personnel médical.
buildtoolbar_popup_room_morgue			L'endroit où vous envoyez les morts, que ce soit des prisonniers ou des membres du personnel.
buildtoolbar_popup_room_commonroom		Un endroit où vos prisonniers peuvent se relaxer tranquillement.
buildtoolbar_popup_room_kennel          Le lieu où vivent vos chiens.
buildtoolbar_popup_room_chapel          Qu'est-ce qui se passe quand une bande de bureaucrates se réunit pour trouver une solution aux besoins spirituels des détenus ? Une « salle de prière multiculturelle », voilà quoi. On l'appelle ici la chapelle.
buildtoolbar_popup_room_paroleroom      Vos prisonniers seront éligibles à une libération conditionnelle après avoir purgé 50% et 75% de leurs peines. C'est dans cette pièce que ce se jouera leur sort, en présence du directeur et du chef.\n\nRemarque : une sécurité renforcée y est préférable. Les prisonniers sont souvent très fâchés quand leur libération leur est refusée.
buildtoolbar_popup_room_library         La prison recevra des cartons de livres usagés ou abandonnés de tout le pays. Les prisonniers devront classer ces livres sur les étagères.
buildtoolbar_popup_room_intake          L'endroit où sont tout d'abord amenés vos prisonniers à leur arrivée.

buildtoolbar_popup_obj_bed				Ni trop doux, ni trop dur, juste moelleux comme il faut. C'est faux, très dur et beaucoup trop petit en fait.
buildtoolbar_popup_obj_toilet			Un droit de l'homme essentiel, à en croire tous ces dingues.
buildtoolbar_popup_obj_table			Va superbement bien avec une chaise.
buildtoolbar_popup_obj_chair			Va admirablement bien avec une table.
buildtoolbar_popup_obj_bench			Pour s'assoir.
buildtoolbar_popup_obj_electricchair	Pour administrer 2000 volts de justice.
buildtoolbar_popup_obj_jaildoor			Garde vos prisonniers en place.
buildtoolbar_popup_obj_jaildoorlarge	Garde beaucoup de vos prisonniers en place.
buildtoolbar_popup_obj_door				Une porte toute simple.
buildtoolbar_popup_obj_solitarydoor		Une porte blindée pour empêcher même les plus costauds de vos prisonniers de s'échapper.
buildtoolbar_popup_obj_staffdoor		Une porte verrouillée pouvant être ouverte par n'importe quel membre du personnel, et non pas seulement par les gardiens.
buildtoolbar_popup_obj_window			Pour entrevoir le soleil à travers.
buildtoolbar_popup_obj_windowlarge		Pour entrevoir beaucoup de soleil à travers.
buildtoolbar_popup_obj_tree				Lutter contre le réchauffement climatique est l'affaire de tous.
buildtoolbar_popup_obj_light			Vous permet de voir vos prisonniers à toute heure de la journée.
buildtoolbar_popup_obj_cooker			Offrez la vie de luxe à vos prisonniers grâce à des repas chauds.
buildtoolbar_popup_obj_fridge			Empêche vos provisions alimentaires de s'avarier.
buildtoolbar_popup_obj_bin				Tout bon contrebandier doit savoir travailler proprement.
buildtoolbar_popup_obj_sink				Tous les employés sont tenus de se laver les mains.
buildtoolbar_popup_obj_servingtable		Permet de présenter des plats à vos prisonniers.
buildtoolbar_popup_obj_showerhead		La pomme d'une douche. Pour se doucher.
buildtoolbar_popup_obj_bookshelf		Une étagère sur laquelle poser des livres.
buildtoolbar_popup_obj_officedesk		Vos employés ont beaucoup de choses à écrire. Offrez-leur un joli bureau pour le faire.
buildtoolbar_popup_obj_filingcabinet	Vos employés ont besoin de classer bien comme il faut tout ce qu'ils écrivent.
buildtoolbar_popup_obj_medicalbed		Un endroit où détenir les narcotiques jusqu'à ce que les prisonniers les volent.
buildtoolbar_popup_obj_morgueslab		Permet à vos morts de disposer d'un lieu de repos avant de partir.
buildtoolbar_popup_obj_drain			Élimine l'eau du sol.
buildtoolbar_popup_obj_sprinkler		Pulvérise automatiquement de l'eau en cas d'incendie.
buildtoolbar_popup_obj_metaldetector	Découvrez les articles de contrebande détenus par vos prisonniers qui le traversent. Un gardien devra se trouver à côté pour confisquer la contrebande.
buildtoolbar_popup_obj_weightsbench		Permet à vos prisonniers de faire de l'exercice pour rester heureux.
buildtoolbar_popup_obj_phonebooth		Les prisonniers peuvent vouloir parler à leurs familles et ces cabines téléphoniques tombent alors à point nommé.
buildtoolbar_popup_obj_tv				Abrutissez vos prisonniers avec de la médiocrité adoucissante.
buildtoolbar_popup_obj_largetv			Permet à de nombreux prisonniers de s'abrutir en groupe.
buildtoolbar_popup_obj_pooltable		Brisez la monotonie de la vie carcérale avec une bonne partie de billard.
buildtoolbar_popup_obj_dismantleobject	Démonte un objet de la prison.
buildtoolbar_popup_obj_altar            Relaie directement vos prières à la puissance supérieure de votre choix.
buildtoolbar_popup_obj_pews             Des bancs pour les fidèles. Construits à partir du bois le plus dur et le moins capitonné possible.
buildtoolbar_popup_obj_prayermat        Permet à vos prisonniers de ne pas se salir les genoux le temps qu'ils prient.

buildtoolbar_popup_staff_workman		Il construira votre prison pour vous, en suivant vos instructions.
buildtoolbar_popup_staff_guard			Il contient vos prisonniers et leur évite les ennuis.
buildtoolbar_popup_staff_armedguard     Il est armé d'un fusil à pompe. Les prisonniers y réfléchiront à deux fois avant de s'en prendre à lui.\n\nRemarque : chaque gardien armé a besoin de son propre casier à l'armurerie.
buildtoolbar_popup_staff_doctor			Soigne automatiquement tous les blessés proches, qu'il s'agisse de gardiens ou de prisonniers.
buildtoolbar_popup_staff_cook			Il nourrit les prisonniers avec les repas qu'il prépare.
buildtoolbar_popup_staff_gardener		Il s'occupe d'embellir et d'entretenir les terrains de votre prison.
buildtoolbar_popup_staff_janitor		Il s'occupe d'entretenir l'intérieur de votre prison. Il peut également aider à la buanderie.
buildtoolbar_popup_staff_warden			Le grand chef administratif de votre prison. Vous devrez en disposer avant de pouvoir rechercher et engager des administrateurs.
buildtoolbar_popup_staff_chief			Un administrateur qui vous permet de rechercher le déploiement, les caméras de vidéosurveillance et les gardiens antiémeutes.
buildtoolbar_popup_staff_foreman		Un administrateur qui vous permet d'avoir accès aux concierges et aux jardiniers.
buildtoolbar_popup_staff_psychologist	Un administrateur qui vous permet de vous faire une idée de ce que pensent vos prisonniers.
buildtoolbar_popup_staff_accountant		Un administrateur qui vous permet d'avoir accès à vos rapports financiers.
buildtoolbar_popup_staff_lawyer			Un administrateur qui vous aide à contourner certaines règles pour disposer d'un plus grand contrôle sur votre prison.

buildtoolbar_popup_uts_powerstation		Produit de l'électricité pour alimenter votre prison.
buildtoolbar_popup_uts_capacitor		Augmente la quantité d'électricité produite quand il est placé à côté d'un poste électrique.
buildtoolbar_popup_uts_electricalcable	Distribue de l'électricité à travers votre prison.
buildtoolbar_popup_uts_powerswitch		Bascule l'alimentation en électricité de tout câble connecté.\n\nEffectuez un clic droit pour activer ou désactiver l'alimentation.
buildtoolbar_popup_uts_waterpumpstation	Fournit une source d'eau à votre prison.
buildtoolbar_popup_uts_pipevalve		Bascule l'alimentation en eau de tout tuyau relié.
buildtoolbar_popup_uts_pipelarge		Distribue sous haute pression une grande quantité d'eau dans votre prison. Il est probablement assez large pour que quelqu'un puisse un jour tenter de s'échapper en rampant 500 mètres sur un fond nauséabond.\n\nRemarque : il ne sert généralement pas à relier les éviers, les têtes de douches ou les petits objets, la pression serait trop forte. Préférez pour eux de petits tuyaux.
buildtoolbar_popup_uts_pipesmall		Relie des objets comme des toilettes, des douches, des éviers etc. à votre réseau de grands tuyaux. La pression d'eau est largement inférieure, sa longueur est donc limitée avant qu'elle ne devienne trop basse.
buildtoolbar_popup_uts_cctv				Gardez l'œil sur toute la prison sans que les gardiens aient à être partout à la fois.\n\nVous devez relier un moniteur de vidéosurveillance à cette caméra pour que celle-ci fonctionne.
buildtoolbar_popup_uts_cctvmonitor		Il doit être placé dans une salle de surveillance et opéré par un gardien. Retransmet à distance les images des caméras de votre prison.\n\nUtilisez l'outil Connecter pour relier ce moniteur à vos caméras de vidéosurveillance.\n\nRemarque : huit caméras au maximum peuvent être visionnées à la fois. Si vous connectez plus de huit caméras, le moniteur alternera entre elles et ne vous fournira qu'une couverture partielle.
buildtoolbar_popup_uts_DoorControlSystem  Il doit être placé dans une salle de surveillance et opéré par un gardien. Il sert à ouvrir les portes de votre prison à distance.\n\nUtilisez l'outil Connecter pour relier ce système aux servomoteurs de vos portes. Ces servomoteurs doivent être construits sur les portes que vous souhaitez contrôler à distance.\n\nRemarque : vous pouvez le relier à autant de servomoteurs que vous le voulez. Le gardien opérant le système ne pourra cependant ouvrir qu'un maximum de deux portes à la seconde.
buildtoolbar_popup_uts_phonemonitor     Il doit être placé dans une salle de surveillance et opéré par un gardien. Il sert à enregistrer tous les appels téléphoniques sortants de vos détenus et peut vous permettre d'obtenir de très importants renseignements sur des activités illégales.\n\nUtilisez l'outil Connecter pour relier ce système à vos cabines téléphoniques.
buildtoolbar_popup_uts_Servo            Placez un servomoteur sur une porte que vous souhaitez contrôler à distance. Assurez-vous que l'engrenage du moteur soit directement placé au-dessus de la porte.\n\nUne fois installé, la porte s'ouvrira au déclenchement du servomoteur : généralement par un système de contrôle des portes, ou par une minuterie de porte.\n\nLes servomoteurs peuvent être enchaînés pour que lorsque le premier s'ouvre, il déclenche les suivants.
buildtoolbar_popup_uts_LogicCircuit     Réservé aux architectes expérimentés.\n\nUn simple boîtier de circuits qui effectue une opération logique selon ses entrées et règle sa sortie en conséquence.\n\nLes opérations suivantes sont disponibles : And / Or / Not / Nand / Nor / Xor\n\nEffectuez des clics droits pour naviguer parmi les opérations logiques.
