
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Novo
soundeditor_sustaintitle                Sustentação
soundeditor_releasetitle                Diminuição
soundeditor_loopdelaytitle              Atraso do Loop
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Próximo evento

soundeditor_play                        Reproduzir
soundeditor_stop                        Parar

soundparametereditor_title              Parâmetro do som
soundparametereditor_typetitle          Tipo
soundparametereditor_linktitle          Vinculado a
soundparametereditor_updatetitle        Tipo de atualização
soundparametereditor_smoothing          Suavização
soundparametereditor_chaintitle         Corrente

soundeditor_newdsp                      Adicionar DSP
sounddspeditor_title                    Editor de DSP
samplebankeditor_title                  Editor de amostras
samplebankeditor_addsample              Adicionar som
samplebank                              (Banco de amostras)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            Feito
interfacemode_destroy                         Remover
interfacemode_foundations				Fundações
interfacemode_construction                    Materiais
interfacemode_planning                        Planeamento
interfacemode_objects                         Objetos
interfacemode_designation                     Setores
interfacemode_utilities                       Utilidades
interfacemode_staff                           Equipa
interfacemode_deployment                      Ação
interfacemode_logistics                       Logística
interfacemode_prisoners                       Prisioneiros
interfacemode_needs                           Necessidades
interfacemode_threats                         Ameaças
interfacemode_overlays                        Ecrãs
interfacemode_research                        Burocracia
interfacemode_emergencies                     Emergências
interfacemode_clone                           Clonagem
interfacemode_contraband                      Inteligência
interfacemode_grading                         Classificação
interfacemode_spawn                           (Início)
interfacemode_properties                      (Propriedades)
interfacemode_cutscenes                       (Animações)
interfacemode_selection                       Selecionar

interfaceoverlay_security                       Segurança
interfaceoverlay_patrols                        Rondas
interfaceoverlay_decay                          Decadência
interfaceoverlay_territory                      Território
interfaceoverlay_contraband                     Contrabando

interfaceproperty_indoor                        Interno
interfaceproperty_visible                       Visível
interfaceproperty_territoryprisoner             Gangues
interfaceproperty_territoryguard                Guardas
interfaceproperty_sectorprisoner                Tumultos
interfaceproperty_tunnel                        Túnel

interfacedeployment_guards                      Guardas
interfacedeployment_patrols                     Rondas
interfacedeployment_dogpatrols                  Rondas com cão
interfacedeployment_armedpatrols                Rondas armadas
interfacedeployment_removeguards                Remover guardas
interfacedeployment_clearpatrols                Limpar rondas
interfacedeployment_targetting                  Logística
interfacedeployment_targettingfood              Logística de comida
interfacedeployment_targettinglaundry           Logística de lavandaria
interfacedeployment_securearea                  Área segura
interfacedeployment_sharedzone                  Partilhado
interfacedeployment_staffonlyzone               Apenas equipa
interfacedeployment_maxseczone                  Apenas seg. máx.
interfacedeployment_medseczone                  Apenas seg. méd.
interfacedeployment_minseczone                  Apenas seg. mín.
interfacedeployment_protectedzone               Apenas protegidos
interfacedeployment_supermaxzone                Apenas SuperMax
interfacedeployment_deathrowzone                Apenas pena de morte
interfacedeployment_unlockedzone                Destrancado
interfacedeployment_zonered                     Ala Vermelha
interfacedeployment_zonegreen                   Ala Verde
interfacedeployment_zoneblue                    Ala Azul
interfacedeployment_zoneyellow                  Ala Amarela

interfacelogistics_jobs                         Trabalho prisional
interfacelogistics_removejobs                   Remover trabalho
interfacelogistics_targettingfood               Distribuição de comida
interfacelogistics_targettinglaundry            Distribuição de roupas
interfacelogistics_roomquality                  Qualidade do ambiente

interfaceplanning_wall							Paredes
interfaceplanning_object						Objetos
interfaceplanning_route							Caminhos
interfaceplanning_clear							Limpar
interfaceplanning_zone1							Zona 1
interfaceplanning_zone2							Zona 2
interfaceplanning_zone3							Zona 3
interfaceplanning_zone4							Zona 4
interfaceplanning_zone5							Zona 5
interfaceplanning_zone6							Zona 6
interfaceplanning_zone7							Zona 7
interfaceplanning_zone8							Zona 8
interfaceplanning_zone9							Zona 9

interfacecontraband_source                      Perigos
interfacecontraband_day                         -24 horas
interfacecontraband_week                        -7 dias
interfacecontraband_alltime                     -30 dias
interfacecontraband_informants                  Informador
interfacecontraband_gangs                       Gangues

interfaceclone_copy                             Copiar
interfaceclone_paste                            Colar

interfacetopbar_todo							Tarefas
interfacetopbar_balance							Banco *B
interfacetopbar_budget							Fluxo de caixa *C
interfacetopbar_income							Entrada *I
interfacetopbar_expenses						Custos *C
interfacetopbar_day								DIA *D

interfacetopbar_title_balance					Saldo
interfacetopbar_title_budget					Fluxo diário
interfacetopbar_title_cctv						CITV
interfacetopbar_title_day						Dia
interfacetopbar_title_prisoners					Prisioneiros
interfacetopbar_title_guards					Guardas
interfacetopbar_title_tension                   Perigo

interfacetopbar_tooltip_balance					Quanto dinheiro tens no banco.\n\nClica para levantar mais fundos através da lista de Subsídios.
interfacetopbar_tooltip_budget					A quantia de dinheiro que irás receber diariamente, baseado nas suas despesas e receitas.\n\nClica para ver um relatório financeiro detalhado de receitas e despesas.
interfacetopbar_tooltip_cctv					A quantidade de câmeras e monitores CITV que tens atualmente.
interfacetopbar_tooltip_day						Há quanto tempo estás a gerir a prisão.
interfacetopbar_tooltip_prisoners				O número atual de prisioneiros e quantos consegues abrigar na prisão.
interfacetopbar_tooltip_guards					Quantos guardas tens disponíveis para trabalhar na prisão.
interfacetopbar_tooltip_tension                 O nível geral de perigo da prisão, de acordo com o seu Chefe de Segurança.

interfacetopbar_tooltip_recenttransactions      Transações recentes

interfacetopbar_tooltip_gametime                Tempo total de jogo: *X horas, *Y minutos, *Z segundos

interfacetopbar_tooltip_totalguards             *X guardas ao todo
interfacetopbar_tooltip_guardincapacitated      *X incapacitados
interfacetopbar_tooltip_guardstationed          *X alocados
interfacetopbar_tooltip_guardpatrolling         *X a patrulhar
interfacetopbar_tooltip_guardavailable          *X disponíveis
interfacetopbar_tooltip_guardresting            *X a descansar
interfacetopbar_tooltip_guardactive             (*X respondendo a incidentes)
interfacetopbar_tooltip_guarddoingjob           (*X com tarefa designada)
interfacetopbar_tooltip_idle                    (*X ociosos)
interfacetopbar_tooltip_armedguards             + *X guardas armados
interfacetopbar_tooltip_dogs                    + *X treinadores de cães

interfacetopbar_unlimitedfunds                  RECURSOS ILIMITADOS

interfacetopbar_budget_moneyin					Receita: $*M /dia
interfacetopbar_budget_moneyout					Despesas: $*M /dia
interfacetopbar_budget_cantgonegative           Não podes ter fluxo negativo (mais despesas que receitas) até contratar uma Contabilista para gerir as finanças.

interfacetopbar_prisoners_types					A abrigar atualmente *X prisioneiros
interfacetopbar_prisoners_capacity              Capacidade máxima segura: *X
interfacetopbar_prisonercells_shared            Capacidade partilhada: *X
interfacetopbar_prisonercells_unlocked          Capacidade em áreas livres: *X
interfacetopbar_prisonercells_minseconly        Capacidade Seg. Mín.: *X
interfacetopbar_prisonercells_medseconly        Capacidade Seg. Méd.: *X
interfacetopbar_prisonercells_maxseconly        Capacidade Seg. Máx.: *X
interfacetopbar_prisonercells_protectedonly     Capacidade Protegida: *X
interfacetopbar_prisonercells_supermaxonly      Capacidade SuperMax: *X
interfacetopbar_prisonercells_deathrowonly      Capacidade Pena de Morte: *X
interfacetopbar_prisonercells_staffonly         Indisponível: *X
interfacetopbar_prisoners_nocells               *X prisioneiros não podem ter uma cela atribuída

interfacetopbar_cctv_current					Atualmente *C câmaras a gravar
interfacetopbar_cctv_cap						Espaço para *C câmaras

interfacetopbar_tension_currentlevel            O nível de perigo é *X
interfacetopbar_tension_increasing              e está a aumentar
interfacetopbar_tension_decreasing              e está a diminuir
interfacetopbar_tension_description             FATORES:
interfacetopbar_tension_happyprisoners          - *X prisioneiros dizem que são bem tratados
interfacetopbar_tension_unhappyprisoners         + *X têm sérias reclamações
interfacetopbar_tension_lockedupprisoners       + *X prisioneiros estão algemados nas suas celas ou na solitária
interfacetopbar_tension_riotingprisoners        + *X prisioneiros estão revoltados
interfacetopbar_tension_wellfedprisoners        - *X prisioneiros estão bem alimentados
interfacetopbar_tension_suppressedprisoners     = *X prisioneiros foram reprimidos (complacente)
interfacetopbar_tension_activeriotguards        + *X tropas de choque estão no local
interfacetopbar_tension_activearmedguards       + *X guardas armados estão em serviço
interfacetopbar_tension_recentdeaths            + *X pessoas foram mortas recentemente
interfacetopbar_tension_recentsearches          + *X prisioneiros foram revistados sem necessidade
interfacetopbar_tension_angrygangmembers        + *X MEMBROS DE GANGUE ESTÃO FURIOSOS (líder sendo punido)
interfacetopbar_tension_recentpunishments         (SUSPENSIVO) *X punições foram aplicadas recentemente
interfacetopbar_tension_recentcalmed            *- *X prisioneiros foram acalmados recentemente

interfacecontrol_mainmenu                       Menu Principal (Esc)
interfacecontrol_mainmenu_tooltip               Mostra o menu principal (Novo/Carregar/Salvar/Sair etc.)
interfacecontrol_todo                           Tarefas
interfacecontrol_todo_tooltip                   Mostra a lista de tarefas
interfacecontrol_research                       Burocracia
interfacecontrol_research_tooltip               Abre o ecrã Burocracia, onde podes designar os administradores para desbloquear novos itens, tipos de funcionários e estruturas.
interfacecontrol_grading                        Classificação da Prisão
interfacecontrol_grading_tooltip                Abre o ecrã Classificação da Prisão, que mostra a pontuação geral e o teu nível de êxito.

interface_confirmlandbuy                        Queres mesmo comprar este terreno por $*X?
interface_loadconfirm                           Queres mesmo carregar este mapa? O progresso não guardado será perdido.
interface_saveconfirm                           Queres mesmo guardar com esse nome de ficheiro? Os dados existentes serão substituídos.

interface_landbuylabel                          *Xm x *Ym. Área total *A m2. *C

interface_action_dismantle                      Desmontar
interface_action_dump                           Descartar
interface_action_repair                         Reparar
interface_action_medicalbay                     Enfermaria
interface_action_search                         Revistar
interface_action_searchcell                     Revistar Cela
interface_action_searchcellblock                Revistar Bloco
interface_action_sack                           Despedir
interface_action_doormodenormal                 Modo: Normal
interface_action_doormodelockedshut             Modo: Sempre fechada
interface_action_doormodelockedopen             Modo: Sempre aberta
interface_action_switchon                       Ligar
interface_action_switchoff                      Desligar
interface_action_sellobject                     Vender objeto
interface_action_dismiss                        Dispensar
interface_action_connect                        Ligar
interface_action_clearconnections               Limpar ligações
interface_action_servoopen                      Abrir ao ativar
interface_action_servoclose                     Fechar ao ativar

interface_contents_container                    Conteúdo: *X 
interface_contents_stack                        Conteúdo: *X x *Y 

interface_skip                                  SALTAR

interface_error_riotmove                        Não é possível entrar: Rebelião

interface_foundationsinprogress                 Fundações em progresso
riot_underway                                   REBELIÃO EM ANDAMENTO
riot_status_prisoners                           *X prisioneiros estão em rebelião
shakedown_underway                              REVISTA EM ANDAMENTO
shakedown_found                                 Encontrado:

gameover_caption                                Pressione ESC para continuar

sector_jobs_max                                 Máx. Vagas *X
sector_jobs_qualified                           Prisioneiros qualificados: *X
sector_jobs_required                            (Requer: *X)
sector_noaccess                                 SEM ACESSO
sector_insecure                                 INSEGURO



# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Teste de Compatibilidade de Hardware
hardware_compat_message					Com a sua autorização, gostaríamos de recolher as seguintes informações de hardware do seu computador.\n\nEstas informações são totalmente anónimas e ajudam a assegurar que o Prison Architect seja compatível com a maior gama possível de computadores.\n\nObrigado!
hardware_compat_accept					Aceitar
hardware_compat_decline					Recusar

connectionmenu_connect                  Ligar
connectionmenu_disconnect               Desligar
connectionmenu_clear                    Limpar
connectionmenu_done                     Feito


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Construir
buildtoolbar_reports                    Relatórios
buildtoolbar_bangup                     Trancar
buildtoolbar_lockdown                   Fechar celas
buildtoolbar_shakedown                  Revistar
buildtoolbar_weaponsfree                Tiro livre

buildtoolbar_tooltip_reports			Abra a janela de relatórios para ver informações sobre os prisioneiros, equipa, fluxo de caixa, subsídios e mais.
buildtoolbar_tooltip_bangup				Manda todos os prisioneiros (dispostos) de volta às suas celas. Isso deixará os prisioneiros muito irritados se os deixares trancados muito tempo.
buildtoolbar_tooltip_lockdown			Tranca todas as portas da prisão instantaneamente.
buildtoolbar_tooltip_shakedown          Ordena a revista imediata de todas as celas. Isto leva algum tempo e deixa os prisioneiros muito irritados.
buildtoolbar_tooltip_weaponsfree        Autoriza os guardas armados a utilizarem força letal.

buildtoolbar_cost						Custo: $*C
buildtoolbar_cost_sqrft					Custo: $*C /quadrado
buildtoolbar_wages						Salário: $*W por dia
buildtoolbar_outdoor					Somente externo
buildtoolbar_indoor						Somente interno
buildtoolbar_walk_speed					Velocidade: *S
buildtoolbar_walk_speed_slow			Lento
buildtoolbar_walk_speed_norm			Normal
buildtoolbar_walk_speed_fast			Rápido
buildtoolbar_locked                     BLOQUEADO
buildtoolbar_locked_research			BLOQUEADO (Precisas de *B)
buildtoolbar_locked_administrator		BLOQUEADO (Requer *B)
buildtoolbar_room						Setor

buildtoolbar_electrical                  - Elétrico
buildtoolbar_highpower                   - Alta Voltagem
buildtoolbar_water                       - Requer conexão hidráulica
buildtoolbar_wired                       - Liagado (liga a outros objetos eletrificados)
buildtoolbar_modcontent                  - Conteúdo adicional

buildtoolbar_popup_foundations			Constrói/Destrói edifícios para modelar a prisão.
buildtoolbar_popup_construction			Diferentes tipos de pisos e paredes.
buildtoolbar_popup_planning				Planeia a prisão sem medo dos operários realmente construírem.
buildtoolbar_popup_designation			Define áreas da sua prisão com uma função especifica.
buildtoolbar_popup_objects				Coloca itens úteis na tua prisão.
buildtoolbar_popup_overlays				Identifica visualmente pontos fracos na planta da prisão.
buildtoolbar_popup_utilities			Sistemas elétricos e hidráulicos.
buildtoolbar_popup_staff				Empregue as pessoas necessárias para manter a prisão a funcionar.
buildtoolbar_popup_deployment			Designa funcionários para áreas de sua prisão.
buildtoolbar_popup_logistics            Designa prisioneiros para trabalharem na prisão. Também permite o controlo manual da cantina e da lavandaria.
buildtoolbar_popup_research				Desbloqueia novas possibilidades para a prisão.
buildtoolbar_popup_emergencies			Chama serviços de emergência se as coisas piorarem.
buildtoolbar_popup_spawn				Criar? Como assim?
buildtoolbar_popup_clone				Copia e cola as estruturas existentes.
buildtoolbar_popup_properties			Descubre os podres.
buildtoolbar_popup_contraband           Mostra as fontes de Contrabando e todos os itens recentemente recuperados na prisão. Também mostra os seus Informadores Secretos e as informações que possuem.
buildtoolbar_popup_grading              Verifica a classificação geral da prisão em quatro classificações principais: Punição, Reintegração, Segurança e Saúde. Também mostra a taxa de reincidência na prisão.
buildtoolbar_popup_room_cell			Onde os prisioneiros moram.
buildtoolbar_popup_room_holdingcell		Uma sala onde os novos prisioneiros são colocados enquanto uma cela é disponibilizada para eles.
buildtoolbar_popup_room_solitary		Uma forma isolada de detenção para os piores elementos.
buildtoolbar_popup_room_canteen			Onde os prisioneiros farão o lanche da tarde.
buildtoolbar_popup_room_kitchen			Área para os cozinheiros prepararem comida para os prisioneiros.
buildtoolbar_popup_room_shower			Usado para manter os prisioneiros bem limpos e livres de piolhos.
buildtoolbar_popup_room_yard			Permite que os prisioneiros vejam o sol por algumas horas no dia sob o olhar atento da torre de vigia.
buildtoolbar_popup_room_storage			Área destinada a guardar qualquer material que os funcionários da sua prisão necessitem.
buildtoolbar_popup_room_deliveries		Onde os teus bens, materiais e prisioneiros são deixados.
buildtoolbar_popup_room_garbage			Onde o lixo é recolhido.
buildtoolbar_popup_room_execution		Para onde envias os prisioneiros para morrerem.
buildtoolbar_popup_room_workshop		Para onde envias os prisioneiros para morrerem de tédio enquanto fabricam placas de carro.
buildtoolbar_popup_room_security		Escritórios para os seus oficiais.
buildtoolbar_popup_room_office			Uma área para os funcionários administrativos trabalharem.
buildtoolbar_popup_room_medicalward		Área para os funcionários médicos trabalharem.
buildtoolbar_popup_room_morgue			Para onde envias os funcionários e os prisioneiros mortos.
buildtoolbar_popup_room_commonroom		Oferece aos prisioneiros um tempo livre para relaxar.
buildtoolbar_popup_room_kennel          Onde vivem os cães.
buildtoolbar_popup_room_chapel          O que acontece quando uma comissão de burocratas se reúne e projeta uma solução para as necessidades religiosas dos prisioneiros? Uma "Sala de Oração Multirreligiosa'. Nós a chamamos de Capela.
buildtoolbar_popup_room_paroleroom      Os prisioneiros qualificam-se para a liberdade condicional após cumprirem 50% e 75% de suas penas. Os seus destinos serão decididos nessa sala, junto com o Diretor e o Chefe de Segurança.\n\nRecomenda-se ter segurança reforçada. Os prisioneiros ficam revoltados quando a liberdade é negada.
buildtoolbar_popup_room_library         A tua prisão receberá caixas de livros usados de toda parte do país. Os prisioneiros deverão organizar esses livros nas prateleiras.
buildtoolbar_popup_room_intake          Para onde os prisioneiros são levados quando chegam na prisão.

buildtoolbar_popup_obj_bed				Nem tão macia, nem tão dura; ideal. Bem, na verdade, muito dura e bem pequena.
buildtoolbar_popup_obj_toilet			Uma necessidade básica do homem, se acreditares nestes malucos.
buildtoolbar_popup_obj_table			Fica excelente com uma cadeira.
buildtoolbar_popup_obj_chair			Vai muito bem com uma mesa.
buildtoolbar_popup_obj_bench			Para sentar.
buildtoolbar_popup_obj_electricchair	Para entregar 2.000 Volts de justiça.
buildtoolbar_popup_obj_jaildoor			Mantém os prisioneiros onde eles deveriam estar.
buildtoolbar_popup_obj_jaildoorlarge	Mantém vários prisioneiros onde eles deveriam estar.
buildtoolbar_popup_obj_door				Uma simples porta.
buildtoolbar_popup_obj_solitarydoor		Uma porta reforçada para deter a fuga até mesmo dos mais fortes prisioneiros.
buildtoolbar_popup_obj_staffdoor		Uma porta fechada à chave que pode ser aberta por qualquer funcionário, não apenas guardas.
buildtoolbar_popup_obj_window			Para vislumbrar o sol.
buildtoolbar_popup_obj_windowlarge		Para receber bastante sol.
buildtoolbar_popup_obj_tree				Tomar medidas contra o aquecimento global é da tua responsabilidade.
buildtoolbar_popup_obj_light			Garante a visualização dos prisioneiros em todas as horas do dia.
buildtoolbar_popup_obj_cooker			Dá aos prisioneiros vida de luxo com comida quente.
buildtoolbar_popup_obj_fridge			Evita que os abastecimentos de comida apodreçam.
buildtoolbar_popup_obj_bin				Asseio é importante quando se trata de contrabando.
buildtoolbar_popup_obj_sink				Todos os funcionários devem lavar as mãos.
buildtoolbar_popup_obj_servingtable		Serve comida aos prisioneiros.
buildtoolbar_popup_obj_showerhead		Um chuveiro. Para tomar banho.
buildtoolbar_popup_obj_bookshelf		Uma prateleira para livros.
buildtoolbar_popup_obj_officedesk		Os teus funcionários precisam de tomar notas de muitas coisas. Dá-lhes uma bela secretária para isso.
buildtoolbar_popup_obj_filingcabinet	Os teus funcionários precisam ordenar tudo o que anotam.
buildtoolbar_popup_obj_medicalbed		Um lugar para guardar drogas até que os prisioneiros as roubem.
buildtoolbar_popup_obj_morgueslab		Garante que os mortos tenham um lugar de respeito para descansar antes de serem removidos.
buildtoolbar_popup_obj_drain			Remove a água do chão.
buildtoolbar_popup_obj_sprinkler		Borrifa automaticamente a área com água no caso de incêndio.
buildtoolbar_popup_obj_metaldetector	Deteta contrabando nos prisioneiros que é transportado por eles. Requer um guarda próximo para apreender o contrabando.
buildtoolbar_popup_obj_weightsbench		Permite que os prisioneiros se exercitem, o que os mantém felizes.
buildtoolbar_popup_obj_phonebooth		Os prisioneiros talvez queiram falar com os seus familiares, usando essas cabines telefónicas.
buildtoolbar_popup_obj_tv				Pacifica os prisioneiros com lavagem cerebral medíocre.
buildtoolbar_popup_obj_largetv			Permite que vários prisioneiros partilhem a experiência de apodrecer a mente.
buildtoolbar_popup_obj_pooltable		Remova a monotonia da vida na prisão com um snooker.
buildtoolbar_popup_obj_dismantleobject	Remove um objeto da prisão.
buildtoolbar_popup_obj_altar            Transmite as tuas orações diretamente para a tua força superior preferida.
buildtoolbar_popup_obj_pews             Bancos para os fiéis. Fabricados com as madeiras mais duras e ásperas.
buildtoolbar_popup_obj_prayermat        Protege os prisioneiros da sujidade do chão enquanto eles fazem as suas orações.

buildtoolbar_popup_staff_workman		Constroem a prisão para ti, em conformidade com a planta que disponibilizares.
buildtoolbar_popup_staff_guard			Utilizados para supervisionar os prisioneiros e mantê-los longe de problemas.
buildtoolbar_popup_staff_armedguard     Armado com uma espingarda, os prisioneiros pensarão duas vezes antes de atacar essa pessoa.\n\nObs.: cada guarda armado precisa de ter o seu próprio armário no Arsenal.
buildtoolbar_popup_staff_doctor			Curam automaticamente todas as pessoas feridas que estejam próximas, sejam guardas ou prisioneiros.
buildtoolbar_popup_staff_cook			Alimenta os prisioneiros com as refeições que eles preparam.
buildtoolbar_popup_staff_gardener		Mantém o terreno da prisão bem cuidado.
buildtoolbar_popup_staff_janitor		Mantém o interior da prisão limpo e organizado. Também podes ajudar na lavandaria.
buildtoolbar_popup_staff_warden			O grande superintendente da prisão. É necessário para poderes pesquisar e contratares membros da equipa avançada.
buildtoolbar_popup_staff_chief			Um membro da equipa avançada que dá acesso a itens de pesquisa de alocação, CITV e Policia de Choque.
buildtoolbar_popup_staff_foreman		Um membro da equipa avançada que dá acesso a tecnicos de limpeza e jardineiros.
buildtoolbar_popup_staff_psychologist	Um membro da equipa avançada que dá acesso ao interior da mente dos seus prisioneiros.
buildtoolbar_popup_staff_accountant		Um membro da equipa avançada que dá acesso ao relatório financeiro.
buildtoolbar_popup_staff_lawyer			Um membro da equipa avançada que ajuda a contornar algumas leis para maior controlo da prisão.

buildtoolbar_popup_uts_powerstation		Gera energia para ser utilizada na prisão.
buildtoolbar_popup_uts_capacitor		Aumenta a quantidade de energia gerada quando colocado próximo de uma estação de energia.
buildtoolbar_popup_uts_electricalcable	Distribui eletricidade para a prisão.
buildtoolbar_popup_uts_powerswitch		Alterna a disponibilidade de energia a qualquer cabo conectado.\n\nClica no o botão direito para alternar entre ligado/desligado.
buildtoolbar_popup_uts_waterpumpstation	Fornece uma fonte de água para a prisão.
buildtoolbar_popup_uts_pipevalve		Alterna a disponibilidade de água a qualquer cano ligado a ele.
buildtoolbar_popup_uts_pipelarge		Distribui uma grande quantidade de água para a prisão, em alta pressão. Provavelmente suficientemente grande para alguém rastejar para a liberdade por quinhentos metros de loucura fedendo a merda..\n\nNão costuma ser usado para ligar a pias, chuveiros, etc.; a pressão é muito alta. Use um cano pequeno para isso.
buildtoolbar_popup_uts_pipesmall		Usado para ligar itens como casas de banho, chuveiros, pias, etc. à canalização principal. A pressão é bem menor, então há um comprimento limitado para um pequeno cano percorrer antes que a pressão se torne muito baixa.
buildtoolbar_popup_uts_cctv				Fica atento à prisão sem haver a necessidade dos guardas estarem em todos os sitios.\n\nPrecisas de ligar um monitor CITV a esta câmara para funcionar.
buildtoolbar_popup_uts_cctvmonitor		Projetado para ser construído numa Sala de Segurança e operado por um Guarda. Monitora as câmeras CITV instaladas na tua prisão remotamente.\n\nUsa a ferramenta Conectar para conectar esse monitor às câmeras CITV.\n\nObs.: um máximo de 8 câmaras podem ser visualizadas de uma vez. Se conectares mais de oito câmaras, o monitor as percorrerá gradualmente, fornecendo cobertura parcial.
buildtoolbar_popup_uts_DoorControlSystem  Projetado para ser construído numa Sala de Segurança e operado por um Guarda. Pode ser usado remotamente para abrir portas pela prisão remotamente.\n\nUsa a ferramenta Ligar para ligar esse sistema aos servomotores de portas. Os servomotores devem ser construídos sobre as portas para que sejam controlados remotamente.\n\nObs.: podes ligar isso a quantos servomotores quiseres, mas o guarda que opera o sistema pode abrir no máximo duas portas por segundo.
buildtoolbar_popup_uts_phonemonitor     Projetado para ser construído numa Sala de Segurança e operado por um Guarda. Permite que monitores todas as chamadas telefónicas feitas pelos prisioneiros, obter informações importantes sobre planos de atividades ilegais.\n\nUtiliza a ferramenta Ligar para ligar este sistema às suas cabines telefónicas.
buildtoolbar_popup_uts_Servo            Coloca um servomotor por cima de uma porta que queiras controlar remotamente. Certifica-te que a engrenagem do motor está diretamente sobre a porta.\n\nUma vez instalada, a porta será aberta quando o servomotor for acionado, geralmente por um Sistema de Controlo de Porta ou um Timer de Porta.\n\nOs Servomotores podem ser interligados para que quando o primeiro abrir, os seguintes sejam acionados.
buildtoolbar_popup_uts_LogicCircuit     Somente arquitetos avançados.\n\nUma caixa de circuito simples que executa uma operação lógica baseada nos sinais de entrada e ativa a saída correspondente.\n\nOperações disponíveis: And / Or / Not / Nand / Nor / Xor\n\nClica com o botão direito do rato para percorrer as operações lógicas.
buildtoolbar_popup_uts_LogicBridge      Apenas arquitetos avançados.\n\nConverte o sinal de entrada e envia aos Cabos Elétricos instalados no mesmo lugar. O cabo elétrico transporta o sinal a qualquer outro circuito lógico instalado no mesmo cabo elétrico.\n\nPode ser utilizado para "difundir" um sinal comum para toda a prisão, útil para transmitir um sinal de relógio comum.
buildtoolbar_popup_uts_DoorTimer        Pode ser utilizado para abrir portas automaticamente em determinados horários.\n\nUsa a ferramenta Ligar para ligar esse temporizador aos servomotores das portas.
buildtoolbar_popup_uts_Wire             Ativa os sistemas de acesso remoto.
buildtoolbar_popup_uts_showallwires		Mostra todas as ligações da prisão.
buildtoolbar_popup_uts_remotedoor       Uma porta de metal reforçada que não pode ser aberta com uma chave (só pode ser aberta remotamente). Usa essa porta para prevenir fugas em massa quando um prisioneiro tiver chaves da prisão.
buildtoolbar_popup_uts_dismantleutility	Remove um objeto de utilidade da prisão.
buildtoolbar_popup_uts_pressurepad      Envia um sinal para objetos ligados sempre que algo estiver sobre a placa.
buildtoolbar_popup_uts_statuslight      Acende em vermelho ou verde, dependendo do sinal que estiver a receber.

buildtoolbar_popup_autolights_name      Luzes automáticas
