
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nytt
# =============================================================================

profiler_title                          Profilerare 
profiler_name                           Namn
profiler_timings                        Timings
profiler_totaltime                      Totalt
profiler_glfinishcaption                glFinish
profiler_reset                          Återställ


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Ljudkanaler
soundeditor_title                       Ljudredigerare
soundinstanceeditor_title				Ljudexempelredigerare

soundeditor_positiontitle		Positionstyp
soundeditor_instancetitle		Exempeltyp
soundeditor_looptitle			Looptyp
soundeditor_sourcetypetitle		Ljudtyp
soundeditor_soundnametitle		Namn på ljud

soundeditor_volumetitle			Volym
soundeditor_frequencytitle              Frekvens
soundeditor_mindistancetitle            Min. avstånd
soundeditor_attacktitle                 Attack
soundeditor_sustaintitle                Sustain
soundeditor_releasetitle                Release
soundeditor_loopdelaytitle              Loopfördröjning
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Nästa händelse

soundeditor_play                        Spela
soundeditor_stop                        Stopp

soundparametereditor_title              Ljudparameter
soundparametereditor_typetitle          Typ
soundparametereditor_linktitle          Anknyts till
soundparametereditor_updatetitle        Typ av uppdatering
soundparametereditor_smoothing          Smoothing
soundparametereditor_chaintitle         Chain

soundeditor_newdsp                      Lägg till DSP
sounddspeditor_title                    DSP-redigerare
samplebankeditor_title                  Samplingredigerare
samplebankeditor_addsample              Lägg till ljud
samplebank                              (Samplingsbank)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            Färdig
interfacemode_destroy                         Ta bort
interfacemode_foundations				Fundament
interfacemode_construction                    Material
interfacemode_planning                        Planering
interfacemode_objects                         Objekt
interfacemode_designation                     Rum
interfacemode_utilities                       Utiliteter
interfacemode_staff                           Personal
interfacemode_deployment                      Utplacering
interfacemode_logistics                       Logistik
interfacemode_prisoners                       Interner
interfacemode_needs                           Behov
interfacemode_threats                         Hot
interfacemode_overlays                        Överlägg
interfacemode_research                        Byråkrati
interfacemode_emergencies                     Krishjälp
interfacemode_clone                           Klona
interfacemode_contraband                      Underrättelse
interfacemode_grading                         Betyg
interfacemode_spawn                           (Startpunkt)
interfacemode_properties                      (Egenskaper)
interfacemode_cutscenes                       (Mellansekvenser)
interfacemode_selection                       Välj

interfaceoverlay_security                       Säkerhet
interfaceoverlay_patrols                        Patruller
interfaceoverlay_decay                          Förfall
interfaceoverlay_territory                      Område
interfaceoverlay_contraband                     Smuggelgods

interfaceproperty_indoor                        Inomhus
interfaceproperty_visible                       Synlig
interfaceproperty_territoryprisoner             Gäng
interfaceproperty_territoryguard                Vakter
interfaceproperty_sectorprisoner                Upplopp
interfaceproperty_tunnel                        Tunnel

interfacedeployment_guards                      Vakter
interfacedeployment_patrols                     Vaktpatruller
interfacedeployment_dogpatrols                  Hundpatruller
interfacedeployment_armedpatrols                Beväpnade patruller
interfacedeployment_removeguards                Ta bort vakter
interfacedeployment_clearpatrols                Rensa patruller
interfacedeployment_targetting                  Logistik
interfacedeployment_targettingfood              Matlogistik
interfacedeployment_targettinglaundry           Tvättlogistik
interfacedeployment_securearea                  Säkert område
interfacedeployment_sharedzone                  Delad
interfacedeployment_staffonlyzone               Endast personal
interfacedeployment_maxseczone                  Endast högsäkerhet
interfacedeployment_medseczone                  Endast mediumsäkerhet
interfacedeployment_minseczone                  Endast minimumsäkerhet
interfacedeployment_protectedzone               Endast skyddad
interfacedeployment_supermaxzone                Endast supermax
interfacedeployment_deathrowzone                Endast dödscell
interfacedeployment_unlockedzone                Olåst
interfacedeployment_zonered                     Avdelning Röd
interfacedeployment_zonegreen                   Avdelning Grön
interfacedeployment_zoneblue                    Avdelning Blå
interfacedeployment_zoneyellow                  Avdelning Gul

interfacelogistics_jobs                         Fängelsearbete
interfacelogistics_removejobs                   Ta bort arbete
interfacelogistics_targettingfood               Matutskick
interfacelogistics_targettinglaundry            Tvättutskick
interfacelogistics_roomquality                  Rumskvalitet

interfaceplanning_wall							Väggar
interfaceplanning_object						Objekt
interfaceplanning_route							Vägar
interfaceplanning_clear							Rensa
interfaceplanning_zone1							Zon 1
interfaceplanning_zone2							Zon 2
interfaceplanning_zone3							Zon 3
interfaceplanning_zone4							Zon 4
interfaceplanning_zone5							Zon 5
interfaceplanning_zone6							Zon 6
interfaceplanning_zone7							Zon 7
interfaceplanning_zone8							Zon 8
interfaceplanning_zone9							Zon 9

interfacecontraband_source                      Faror
interfacecontraband_day                         -24 timmar
interfacecontraband_week                        -7 dagar
interfacecontraband_alltime                     -30 dagar
interfacecontraband_informants                  Uppgiftslämnare
interfacecontraband_gangs                       Gäng

interfaceclone_copy                             Kopiera
interfaceclone_paste                            Klistra in

interfacetopbar_todo							Att göra
interfacetopbar_balance							Saldo *B
interfacetopbar_budget							Kassaflöde *C
interfacetopbar_income							Intäkter *I
interfacetopbar_expenses						Kostnader *C
interfacetopbar_day								DAG *D

interfacetopbar_title_balance					Saldo på banken
interfacetopbar_title_budget					Dagligt kassaflöde
interfacetopbar_title_cctv						Kameraövervakning
interfacetopbar_title_day						Dag
interfacetopbar_title_prisoners					Interner
interfacetopbar_title_guards					Vakter
interfacetopbar_title_tension                   Fara

interfacetopbar_tooltip_balance					Ditt saldo på banken.\n\nKlicka för att få mer pengar genom listan Bidrag.
interfacetopbar_tooltip_budget					Den summa pengar som du får varje dag, baserat på dina löpande utgifter och inkomster.\n\nKlicka för att få tillgång till en detaljerad fördelning av inkomster och utgifter.
interfacetopbar_tooltip_cctv					Antalet övervakningskameror och bildskärmar som du har för närvarande.
interfacetopbar_tooltip_day						Hur länge ditt fängelse har varit i drift.
interfacetopbar_tooltip_prisoners				Antalet interner för tillfället, samt hur många som det finns plats för i fängelset.
interfacetopbar_tooltip_guards					Antalet vakter som finns tillgängliga för arbete på fängelset.
interfacetopbar_tooltip_tension                 Ditt fängelses totala risknivå, enligt säkerhetschefen.

interfacetopbar_tooltip_recenttransactions      Senaste överföringarna

interfacetopbar_tooltip_gametime                Total speltid: *X timmar, *Y minuter, *Z sekunder

interfacetopbar_tooltip_totalguards             *X vakter totalt
interfacetopbar_tooltip_guardincapacitated      *X kan inte arbeta
interfacetopbar_tooltip_guardstationed          *X är i tjänst
interfacetopbar_tooltip_guardpatrolling         *X är ute på patrull
interfacetopbar_tooltip_guardavailable          *X är till förfogande
interfacetopbar_tooltip_guardresting            *X vilar
interfacetopbar_tooltip_guardactive             (*X svarar på incidenter)
interfacetopbar_tooltip_guarddoingjob           *X har fått jobb tilldelade
interfacetopbar_tooltip_idle                    (*X är sysslolösa)
interfacetopbar_tooltip_armedguards             + *X beväpnade vakter
interfacetopbar_tooltip_dogs                    + *X hundförare

interfacetopbar_unlimitedfunds                  OBEGRÄNSADE TILLGÅNGAR

interfacetopbar_budget_moneyin					Inkommande saldo: $*M/dag
interfacetopbar_budget_moneyout					Utgående saldo: $*M/dag
interfacetopbar_budget_cantgonegative           Du kan inte ha ett negativt kassaflöde (fler utgifter än inkomster) förrän du har anställt en Revisor för att hantera ekonomin.

interfacetopbar_prisoners_types					Du har för närvarande *X interner:
interfacetopbar_prisoners_capacity              Maximal säker kapacitet: *X
interfacetopbar_prisonercells_shared            Kapacitet i delade celler: *X
interfacetopbar_prisonercells_unlocked          Kapacitet i olåsta områden: *X
interfacetopbar_prisonercells_minseconly        Kapacitet i låg säkerhet: *X
interfacetopbar_prisonercells_medseconly        Kapacitet i mediumsäkerhet: *X
interfacetopbar_prisonercells_maxseconly        Kapacitet i högsäkerhet: *X
interfacetopbar_prisonercells_protectedonly     Kapacitet i skyddsförvar: *X
interfacetopbar_prisonercells_supermaxonly      Kapacitet i SuperMax: *X
interfacetopbar_prisonercells_deathrowonly      Kapacitet i dödsceller: *X
interfacetopbar_prisonercells_staffonly         Ej tillgängliga: *X
interfacetopbar_prisoners_nocells               *X interner kan inte tilldelas en cell

interfacetopbar_cctv_current					Kör för närvarande *C kameror
interfacetopbar_cctv_cap						Utrymme för *C kameror

interfacetopbar_tension_currentlevel            Risknivån är *X
interfacetopbar_tension_increasing              och ökar
interfacetopbar_tension_decreasing              och minskar
interfacetopbar_tension_description             FAKTORER:
interfacetopbar_tension_happyprisoners          - *X interner säger att de behandlas väl
interfacetopbar_tension_unhappyprisoners        + *X interner har allvarliga klagomål
interfacetopbar_tension_lockedupprisoners       + *X interner är fastbojade i sina celler eller i isoleringscellen
interfacetopbar_tension_riotingprisoners        + *X interner gör upplopp
interfacetopbar_tension_wellfedprisoners        - *X interner är mätta
interfacetopbar_tension_suppressedprisoners     = *X interner undertrycks (lyder)
interfacetopbar_tension_activeriotguards        + *X kravallpolis finns närvarande
interfacetopbar_tension_activearmedguards       + *X beväpnade vakter är i tjänst
interfacetopbar_tension_recentdeaths            + *X människor har dödats på sistone
interfacetopbar_tension_recentsearches          + *X interner har blivit visiterade i onödan på sistone
interfacetopbar_tension_angrygangmembers        + *X GÄNGMEDLEMMAR ÄR RASANDE (ledaren straffas)
interfacetopbar_tension_recentpunishments       = (AVSKRÄCKANDE) *X straff har avkunnats på sistone
interfacetopbar_tension_recentcalmed            - *X interner har lugnats ned på sistone

interfacecontrol_mainmenu                       Huvudmeny (Esc)
interfacecontrol_mainmenu_tooltip               Visa huvudmenyn (Nytt/Ladda/Spara/Avsluta etc.)
interfacecontrol_todo                           Att göra-lista
interfacecontrol_todo_tooltip                   Visa att göra-listan
interfacecontrol_research                       Byråkrati
interfacecontrol_research_tooltip               Öppnar Byråkrati-skärmen, där dina administratörer kan låsa upp nya föremål, personaltyper och anläggningar.
interfacecontrol_grading                        Fängelsebetyg
interfacecontrol_grading_tooltip                Öppnar skärmen Fängelsebetyg som visar dig hur framgångsrik du har varit i genomsnitt.

interface_confirmlandbuy                        Är du säker på att du vill köpa denna tomt för $*X? 
interface_loadconfirm                           Är du säker på att du vill ladda denna karta? Allt som inte har sparats kommer att försvinna.
interface_saveconfirm                           Är du säker på att du vill spara med detta filnamn? Existerande data kommer att skrivas över.

interface_landbuylabel                          *Xm x *Ym. total yta *A kvm. *C

interface_action_dismantle                      Ta isär
interface_action_dump                           Dumpa
interface_action_repair                         Reparera
interface_action_medicalbay                     Sjukstuga
interface_action_search                         Sök
interface_action_searchcell                     Sök igenom cell
interface_action_searchcellblock                Sök igenom cellblock
interface_action_sack                           Avskeda
interface_action_doormodenormal                 Dörrläge: Normalt
interface_action_doormodelockedshut             Dörrläge: Låst
interface_action_doormodelockedopen             Dörrläge: Öppen
interface_action_switchon                       Sätt på
interface_action_switchoff                      Stäng av
interface_action_sellobject                     Sälj objekt
interface_action_dismiss                        Avvisa
interface_action_connect                        Anslut
interface_action_clearconnections               Rensa anslutningar
interface_action_servoopen                      Öppna vid utlösare
interface_action_servoclose                     Stäng vid utlösare

interface_contents_container                    Innehåll: *X
interface_contents_stack                        Innehåll: *X x *Y

interface_skip                                  HOPPA ÖVER

interface_error_riotmove                        Kan inte gå in: Upplopp

interface_foundationsinprogress                 Fundament byggs
riot_underway                                   UPPLOPP PÅGÅR
riot_status_prisoners                           *X interner gör upplopp
shakedown_underway                              GENOMSÖKNING PÅGÅR
shakedown_found                                 Hittat:

gameover_caption                                Tryck på ESC för att fortsätta

sector_jobs_max                                 Max antal jobb *X
sector_jobs_qualified                           Kvalificerade interner: *X
sector_jobs_required                            Krav: *X)
sector_noaccess                                 TILLTRÄDE FÖRBJUDET
sector_insecure                                 OSÄKERT



# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Test av hårdvarukompabilitet
hardware_compat_message					Med din tillåtelse skulle vi vilja samla in följande hårdvaruinformation från din dator.\n\nDenna information är fullständigt anonym och hjälper oss att se till att Prison Architect stöds på största möjliga utbudet av hårdvara.\n\nTack!
hardware_compat_accept					Godkänn
hardware_compat_decline					Avböj

connectionmenu_connect                  Anslut
connectionmenu_disconnect               Koppla ifrån
connectionmenu_clear                    Rensa
connectionmenu_done                     Klar


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Bygg
buildtoolbar_reports                    Rapporter
buildtoolbar_bangup                     Cellarrest
buildtoolbar_lockdown                   Låsning
buildtoolbar_shakedown                  Genomsökning
buildtoolbar_weaponsfree                Öppna eld

buildtoolbar_tooltip_reports			Öppna rapportfönstret för att se information om dina interner, din personal, inkomst, dina bidrag med mera.
buildtoolbar_tooltip_bangup				Skicka alla (villiga) interner tillbaka till sin cell. Detta får dina interner att bli arga om du lämnar dem inlåsta för länge.
buildtoolbar_tooltip_lockdown			Lås alla dörrar i fängelset omedelbart.
buildtoolbar_tooltip_shakedown          Ge order om en omedelbar genomsökning av alla celler. Detta tar tid och irriterar dina interner.
buildtoolbar_tooltip_weaponsfree        Godkänner att dina beväpnade vakter får använda dödligt våld.

buildtoolbar_cost						Kostnad: $*C*
buildtoolbar_cost_sqrft					Kostnad: $*C* /ruta
buildtoolbar_wages						Löner : $*W per dag
buildtoolbar_outdoor					Endast utomhus
buildtoolbar_indoor						Endast inomhus
buildtoolbar_walk_speed					Gånghastighet: *S
buildtoolbar_walk_speed_slow			Långsam
buildtoolbar_walk_speed_norm			Normal
buildtoolbar_walk_speed_fast			Snabb
buildtoolbar_locked                     LÅST
buildtoolbar_locked_research			LÅST (Du behöver *B)
buildtoolbar_locked_administrator		LÅST (*B krävs)
buildtoolbar_room						Rum

buildtoolbar_electrical                 - Elektrisk
buildtoolbar_highpower                  - Högspänningsdriven
buildtoolbar_water                      - Kräver vattenanslutning
buildtoolbar_wired                      - Elektrisk (ansluter till andra elektriska objekt)
buildtoolbar_modcontent                 - Moddens innehåll

buildtoolbar_popup_foundations			Bygg/Riv byggnader för att skapa ditt fängelse.
buildtoolbar_popup_construction			Olika typer av väggar och golv.
buildtoolbar_popup_planning				Planera ditt fängelse utan att vara rädd för att dina arbetare faktiskt gör någonting.
buildtoolbar_popup_designation			Utse områden i ditt fängelse med en särskild funktion.
buildtoolbar_popup_objects				Placera användbara föremål runtom i ditt fängelse.
buildtoolbar_popup_overlays				Identifiera svagheter i ditt fängelses utformning.
buildtoolbar_popup_utilities			Rörmokeri och elsystem.
buildtoolbar_popup_staff				Anställ de personer som behövs för att hålla igång ditt fängelse.
buildtoolbar_popup_deployment			Placera personal vid olika områden i ditt fängelse.
buildtoolbar_popup_logistics            Låt interner arbeta runtom i ditt fängelse. Även manuell kontroll över matsalen och tvättstugan.
buildtoolbar_popup_research				Lås upp nya möjligheter för ditt fängelse.
buildtoolbar_popup_emergencies			Ring efter krishjälp om saker och ting går dåligt.
buildtoolbar_popup_spawn				Startpunkten? Vad fan gör den?
buildtoolbar_popup_clone				Kopiera och klistra in existerande strukturer.
buildtoolbar_popup_properties			Få reda på saker.
buildtoolbar_popup_contraband           Visa källorna till Smuggelgods och all smuggelgods som nyligen hittats i ditt fängelse. Detta visar även dina Konfidentiella uppgiftslämnare och deras information.
buildtoolbar_popup_grading              Se ditt allmänna fängelsebetyg med fyra olika graderingar: Straff, Reform, Säkerhet och Hälsa. På denna sida ser du även återfallsgraden för ditt fängelse.
buildtoolbar_popup_room_cell			Där dina interner bor.
buildtoolbar_popup_room_holdingcell		Ett rum där nya interner placeras tills en cell finns tillgänglig.
buildtoolbar_popup_room_solitary		En isoleringsdom för de allra värsta.
buildtoolbar_popup_room_canteen			Där dina interner får sig sitt fika.
buildtoolbar_popup_room_kitchen			Den plats där kockarna lagar mat åt dina interner.
buildtoolbar_popup_room_shower			Används för att hålla internerna rena och fria från löss.
buildtoolbar_popup_room_yard			Låter dina interner få se solen under några timmar per dag under dina prickskyttetorns vakande öga.
buildtoolbar_popup_room_storage			Ett område där det material som fängelsepersonalen kan tänkas behöva finns.
buildtoolbar_popup_room_deliveries		Där dina varor, material och interner släpps av.
buildtoolbar_popup_room_garbage			Där ditt avfall samlas in.
buildtoolbar_popup_room_execution		Dit du skickar dina interner för att dö.
buildtoolbar_popup_room_workshop		Dit du skickar dina interner för att dö av uttråkning när de tillverkar registreringsskyltar för bilar.
buildtoolbar_popup_room_security		Kontor för dina vakter.
buildtoolbar_popup_room_office			En plats där administrativ personal arbetar.
buildtoolbar_popup_room_medicalward		En plats där din medicinska personal arbetar.
buildtoolbar_popup_room_morgue			Dit du skickar dina döda interner och anställda.
buildtoolbar_popup_room_commonroom		Låter dina interner få sig lite fritid så att de kan koppla av.
buildtoolbar_popup_room_kennel          Där dina hundar bor.
buildtoolbar_popup_room_chapel          Vad händer när en byråkratisk kommitté samlas och skapar en lösning för internernas religiösa behov? Det blir ett bönerum för flera religioner. Vi kallar det Kapellet. 
buildtoolbar_popup_room_paroleroom      Dina interner kan få villkorlig frigivning när de har tjänat 50% och 75% av sina straff. Deras öde bestäms i detta rum, av Direktören och Säkerhetschefen.\n\nObs: Extra säkerhet rekommenderas. Internerna kan bli ganska upprörda när den villkorliga frigivningen nekas.
buildtoolbar_popup_room_library         Ditt fängelse får lådor med kasserade och använda böcker från hela landet. Internerna får sortera böckerna på hyllorna.
buildtoolbar_popup_room_intake          Dit dina interner först tas när de kommer.

buildtoolbar_popup_obj_bed				Inte för hård, inte för mjuk. Just lagom. Faktum är att de är stenhårda och alldeles för små.
buildtoolbar_popup_obj_toilet			En grundläggande mänsklig rättighet, om man får tro alla de där galningarna.
buildtoolbar_popup_obj_table			Passar fint med en stol.
buildtoolbar_popup_obj_chair			Passar perfekt med ett bord.
buildtoolbar_popup_obj_bench			För att sitta på.
buildtoolbar_popup_obj_electricchair	För att leverera 2000 volts rättvisa.
buildtoolbar_popup_obj_jaildoor			Håller dina interner där de ska vara.
buildtoolbar_popup_obj_jaildoorlarge	Håller massor av dina interner där de ska vara.
buildtoolbar_popup_obj_door				En vanlig dörr.
buildtoolbar_popup_obj_solitarydoor		En kraftig dörr som stoppar till och med de starkaste internerna från att fly.
buildtoolbar_popup_obj_staffdoor		En låst dörr som kan öppnas av en anställd, inte bara vakter.
buildtoolbar_popup_obj_window			För att skymta solen igenom.
buildtoolbar_popup_obj_windowlarge		För att skymta massor av solen igenom.
buildtoolbar_popup_obj_tree				Åtgärder mot den globala uppvärmningen är allas vårt ansvar.
buildtoolbar_popup_obj_light			Se till att du kan se dina fångar vid alla tider på dygnet.
buildtoolbar_popup_obj_cooker			Ge dina fångar ett lyxliv med varm mat.
buildtoolbar_popup_obj_fridge			Ser till att maten inte ruttnar.
buildtoolbar_popup_obj_bin				Det är viktigt med renlighet när det kommer till smuggelgods.
buildtoolbar_popup_obj_sink				Alla anställda måste tvätta händerna.
buildtoolbar_popup_obj_servingtable		Servera mat till internerna.
buildtoolbar_popup_obj_showerhead		Ett duschmunstycke. För att duscha med.
buildtoolbar_popup_obj_bookshelf		En hylla där det finns böcker.
buildtoolbar_popup_obj_officedesk		Din personal måste skriva en massa. Ge dem ett fint skrivbord som de kan göra det vid.
buildtoolbar_popup_obj_filingcabinet	Din personal behöver ha ordning på det de skriver.
buildtoolbar_popup_obj_medicalbed		Ett ställe att ha medicin på tills dina interner stjäl den.
buildtoolbar_popup_obj_morgueslab		Se till att de döda har ett värdigt ställe för sista vilan innan de flyttas.
buildtoolbar_popup_obj_drain			Ta bort vatten från golvet.
buildtoolbar_popup_obj_sprinkler		Sprutar automatiskt vatten i händelse av en brand.
buildtoolbar_popup_obj_metaldetector	Hitta smuggelgods på dina interner när de passerar genom denna. Det krävs en vakt i närheten för att ta hand om smuggelgodset.
buildtoolbar_popup_obj_weightsbench		Tillåt dina interner att träna, vilket gör dem glada.
buildtoolbar_popup_obj_phonebooth		Interner vill troligtvis prata med sina familjer, och dessa behändiga telefonautomater låter dem göra det.
buildtoolbar_popup_obj_tv				Lugna dina interner med slöa serier på TV:n.
buildtoolbar_popup_obj_largetv			Låt många av dina interner dela upplevelsen av hjärnröta.
buildtoolbar_popup_obj_pooltable		Låt fängelselivet bli lite mindre enformigt med en omgång biljard.
buildtoolbar_popup_obj_dismantleobject	Ta bort ett objekt från ditt fängelse.
buildtoolbar_popup_obj_altar            Skickar vidare dina böner direkt till den högre makt som just du föredrar.
buildtoolbar_popup_obj_pews             Sittplatser för den trogne. Gjorda av de hårdaste, mest sittdynelösa av träslag.
buildtoolbar_popup_obj_prayermat        Skydda dina interner från ett smutsigt golv när de ber.

buildtoolbar_popup_staff_workman		Bygger ditt fängelse åt dig, baserat på de skisser som du ger dem.
buildtoolbar_popup_staff_guard			Används för att hålla ordning på internerna, och att hålla dem ur trubbel.
buildtoolbar_popup_staff_armedguard     Den här killen är beväpnad med ett hagelgevär, så fångarna tänker två gånger innan de attackerar.\n\nObservera: Alla beväpnade vakter behöver ett eget skåp i Vapenförrådet.
buildtoolbar_popup_staff_doctor			Ger automatiskt vård åt alla skadade i närheten, vare sig de är vakter eller interner.
buildtoolbar_popup_staff_cook			Ger mat åt dina fångar med det de lagar till.
buildtoolbar_popup_staff_gardener		Håller området runtom fängelset snyggt och fint.
buildtoolbar_popup_staff_janitor		Håller det snyggt och fint på insidan av fängelset. Hjälper även till med fängelsets tvättbehov.
buildtoolbar_popup_staff_warden			Ditt fängelses övervakare. Krävs innan du kan forska fram och anställa avancerad personal.
buildtoolbar_popup_staff_chief			En avancerad medlem ur personalen som ger tillgång till utplacering, kameraövervakning och kravallvakter.
buildtoolbar_popup_staff_foreman		En avancerad medlem ur personalen som ger tillgång till Vaktmästare och Trädgårdsmästare.
buildtoolbar_popup_staff_psychologist	En avancerad medlem ur personalen som låter dig få en inblick i internernas sinnen.
buildtoolbar_popup_staff_accountant		En avancerad medlem ur personalen som ger dig tillgång till dina finansiella rapporter.
buildtoolbar_popup_staff_lawyer			En avancerad medlem ur personalen som hjälper dig att tänja på reglerna så att du får bättre kontroll över fängelset.

buildtoolbar_popup_uts_powerstation		Genererar elektricitet som kan användas i ditt fängelse.
buildtoolbar_popup_uts_capacitor		Ökar mängden elektricitet som genereras när den placeras bredvid ett kraftverk.
buildtoolbar_popup_uts_electricalcable	Distribuerar elektricitet runtom i ditt fängelse.
buildtoolbar_popup_uts_powerswitch		Ändrar tillgången på elektricitet till kablar som är anslutna till den.\n\nHögerklicka för att ändra läget till på eller av.
buildtoolbar_popup_uts_waterpumpstation	Ger en vattenkälla till ditt fängelse.
buildtoolbar_popup_uts_pipevalve		Ändrar tillgången på vatten till ledningar som är anslutna till det.
buildtoolbar_popup_uts_pipelarge		Distribuerar en stor mängd vatten  i ditt fängelse, under högt tryck. Troligen stort nog för att någon ska kunna kravla sig till friheten genom fem hundra meters skitluktande vidrighet.\n\nAnsluts vanligtvis inte till diskbänkar, duschmunstycken etc. – trycket är för högt. Använd ett litet rör för detta.
buildtoolbar_popup_uts_pipesmall		Används för att ansluta bland annat toaletter, duschar, diskbänkar etc. till ditt nätverk av stora rör. Trycket är mycket lägre så det finns ett minimumavstånd som ett litet rör kan gå innan trycket blir för lågt.
buildtoolbar_popup_uts_cctv				Håll ett öga på fängelset utan att behöva ha vakter överallt på samma gång.\n\n Du måste ansluta en övervakningsmonitor till denna kamera för att detta ska fungera.
buildtoolbar_popup_uts_cctvmonitor		Utformad för att byggas i ett Säkerhetsrum och skötas om av en Vakt. Den visar vad dina övervakningskameror runtom på fängelset ser.\n\nAnvänd verktyget Anslut för att ansluta denna monitor till dina övervakningskameror.\n\nObs: Bilderna från högst åtta kameror kan visas på en gång. Om du ansluter fler än åtta kameror kommer monitorn att gå igenom dem efter hand, så att du bara ser delvis vad som händer.
buildtoolbar_popup_uts_DoorControlSystem  Utformad för att byggas i ett Säkerhetsrum och skötas om av en Vakt. Används för att öppna dörrar runtom i fängelset på avstånd.\n\nAnvänd verktyget Anslut för att ansluta detta system till dina Dörrservos. Dörrservos måste byggas över de dörrar som du vill öppna på avstånd.\n\nObs: Du kan ansluta så många servos som du vill. Vakten som sköter om systemet kan dock bara öppna högst två dörrar per sekund.
buildtoolbar_popup_uts_phonemonitor     Utformad för att byggas i ett Säkerhetsrum och skötas om av en Vakt. Med denna kan du övervaka utgående telefonsamtal som görs av internerna, och du kan få värdefulla insikter om illegal aktivitet som planeras.\n\nAnvänd verktyget Anslut för att ansluta detta system till dina Telefonkiosker.
buildtoolbar_popup_uts_Servo            Placera en servo över en dörr som du vill öppna på avstånd. Se till att motorn är direkt ovanför dörren.\n\nNär denna har installerats öppnas dörren när servon aktiveras, oftast av ett dörrkontrollsystem eller en dörrtimer.\n\nServos kan kopplas samman, så att när den första öppnas kommer de som följer också att öppnas.
buildtoolbar_popup_uts_LogicCircuit     Endast för avancerade arkitekter.\n\nEn enkel kretslåda som utför en logisk handling baserat på input, och ställer in output efter detta.\n\nTillgängliga handlingar: And / Or / Not / Nand / Nor / Xor\n\nHögerklicka för att bläddra genom de olika handlingarna.
buildtoolbar_popup_uts_LogicBridge      Endast för avancerade arkitekter.\n\nDen tar sin inkommande signal och bryggar över den till Elkabeln som installerats i samma ruta. Elkabeln bär över signalen till andra Logiska kretsar som finns installerade på samma Elkabel.\n\nKan användas för att "sända" en gemensam signal runt hela ditt fängelse, t.ex. användbar för att skicka runt en gemensam klocksignal.  
buildtoolbar_popup_uts_DoorTimer        Kan användas för att automatiskt öppna dörrar vid vissa tider på dagen.\n\n Använd verktyget Koppla för att ansluta denna timer till dina dörrar med servo.
buildtoolbar_popup_uts_Wire             Koppla samman dina fjärråtkomstsystem.
buildtoolbar_popup_uts_showallwires		Visa alla sammankopplade sladdar i ditt fängelse.
buildtoolbar_popup_uts_remotedoor       En stark metalldörr som inte kan öppnas med en nyckel (Öppnas endast på distans). Använd detta för att förebygga rymningar när en fånge har fått tag på Fängelsenycklar.
buildtoolbar_popup_uts_dismantleutility	Ta bort ett utilitetsobjekt från ditt fängelse.
buildtoolbar_popup_uts_pressurepad      Skickar en signal till anslutna föremål om något står på plattan.
