
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Novo
interfacemode_cutscenes                       (Animações)
interfacemode_selection                       Selecionar

interfaceoverlay_security                       Segurança
interfaceoverlay_patrols                        Rondas
interfaceoverlay_decay                          Decadência
interfaceoverlay_territory                      Território
interfaceoverlay_contraband                     Contrabando

interfaceproperty_indoor                        Interno
interfaceproperty_visible                       Visível
interfaceproperty_territoryprisoner             Gangues
interfaceproperty_territoryguard                Guardas
interfaceproperty_sectorprisoner                Detonando
interfaceproperty_tunnel                        Túnel

interfacedeployment_guards                      Guardas
interfacedeployment_patrols                     Rondas
interfacedeployment_dogpatrols                  Rondas com cão
interfacedeployment_armedpatrols                Rondas armadas
interfacedeployment_removeguards                Remover guardas
interfacedeployment_clearpatrols                Limpar rondas
interfacedeployment_targetting                  Logística
interfacedeployment_targettingfood              Logística de comida
interfacedeployment_targettinglaundry           Logística de lavanderia
interfacedeployment_securearea                  Área segura
interfacedeployment_sharedzone                  Compartilhado
interfacedeployment_staffonlyzone               Apenas equipe
interfacedeployment_maxseczone                  Apenas seg. máx.
interfacedeployment_medseczone                  Apenas seg. méd.
interfacedeployment_minseczone                  Apenas seg. mín.
interfacedeployment_protectedzone               Apenas protegidos
interfacedeployment_supermaxzone                Apenas SuperMax
interfacedeployment_deathrowzone                Apenas pena de morte
interfacedeployment_unlockedzone                Destrancado
interfacedeployment_zonered                     Ala Vermelha
interfacedeployment_zonegreen                   Ala Verde
interfacedeployment_zoneblue                    Ala Azul
interfacedeployment_zoneyellow                  Ala Amarela

interfacelogistics_jobs                         Trabalho prisional
interfacelogistics_removejobs                   Remover trabalho
interfacelogistics_targettingfood               Distribuição de comida
interfacelogistics_targettinglaundry            Distribuição de roupas
interfacelogistics_roomquality                  Qualidade do ambiente

interfaceplanning_wall							Paredes
interfaceplanning_object						Objetos
interfaceplanning_route							Caminhos
interfaceplanning_clear							Limpar
interfaceplanning_zone1							Zona 1
interfaceplanning_zone2							Zona 2
interfaceplanning_zone3							Zona 3
interfaceplanning_zone4							Zona 4
interfaceplanning_zone5							Zona 5
interfaceplanning_zone6							Zona 6
interfaceplanning_zone7							Zona 7
interfaceplanning_zone8							Zona 8
interfaceplanning_zone9							Zona 9

interfacecontraband_source                      Perigos
interfacecontraband_day                         -24 horas
interfacecontraband_week                        -7 dias
interfacecontraband_alltime                     -30 dias
interfacecontraband_informants                  Informantes
interfacecontraband_gangs                       Gangues

interfaceclone_copy                             Copiar
interfaceclone_paste                            Colar

interfacetopbar_todo							Tarefas
interfacetopbar_balance							Banco *B
interfacetopbar_budget							Fluxo *C
interfacetopbar_income							Entrada *I
interfacetopbar_expenses						Custos *C
interfacetopbar_day								DIA *D

interfacetopbar_title_balance					Saldo
interfacetopbar_title_budget					Fluxo diário
interfacetopbar_title_cctv						CITV
interfacetopbar_title_day						Dia
interfacetopbar_title_prisoners					Detentos
interfacetopbar_title_guards					Guardas
interfacetopbar_title_tension                   Perigo

interfacetopbar_tooltip_balance					Quanto dinheiro você tem no banco.\n\nClique para levantar mais fundos através da lista de Subsídios.
interfacetopbar_tooltip_budget					O quanto de dinheiro você receberá a cada dia, baseado nas suas despesas e receitas.\n\nClique para acessar um relatório financeiro detalhado de receitas e despesas.
interfacetopbar_tooltip_cctv					A quantidade de câmeras e monitores CITV que você tem atualmente.
interfacetopbar_tooltip_day						Há quanto tempo você está administrando a prisão.
interfacetopbar_tooltip_prisoners				O número de detentos que você tem atualmente e quantos você consegue abrigar na prisão.
interfacetopbar_tooltip_guards					Quantos guardas você tem disponíveis para trabalhar na prisão.
interfacetopbar_tooltip_tension                 O nível geral de perigo da sua prisão, de acordo com o seu Chefe de Segurança.

interfacetopbar_tooltip_recenttransactions      Transações recentes

interfacetopbar_tooltip_gametime                Tempo total de jogo: *X horas, *Y minutos, *Z segundos

interfacetopbar_tooltip_totalguards             *X guardas ao todo
interfacetopbar_tooltip_guardincapacitated      *X incapacitados
interfacetopbar_tooltip_guardstationed          *X alocados
interfacetopbar_tooltip_guardpatrolling         *X patrulhando
interfacetopbar_tooltip_guardavailable          *X disponíveis
interfacetopbar_tooltip_guardresting            *X descansando
interfacetopbar_tooltip_guardactive             (*X respondendo a incidentes)
interfacetopbar_tooltip_guarddoingjob           (*X com tarefa designada)
interfacetopbar_tooltip_idle                    (*X ociosos)
interfacetopbar_tooltip_armedguards             + *X guardas armados
interfacetopbar_tooltip_dogs                    + *X adestradores

interfacetopbar_unlimitedfunds                  RECURSOS ILIMITADOS

interfacetopbar_budget_moneyin					Receitas: $*M /dia
interfacetopbar_budget_moneyout					Despesas: $*M /dia
interfacetopbar_budget_cantgonegative           Você não pode ter fluxo negativo (mais despesas que receitas) até contratar uma Contadora para gerenciar suas finanças.

interfacetopbar_prisoners_types					Abrigando atualmente *X detentos
interfacetopbar_prisoners_capacity              Capacidade máxima segura: *X
interfacetopbar_prisonercells_shared            Capacidade compartilhada: *X
interfacetopbar_prisonercells_unlocked          Capacidade em áreas livres: *X
interfacetopbar_prisonercells_minseconly        Capacidade Seg. Mín.: *X
interfacetopbar_prisonercells_medseconly        Capacidade Seg. Méd.: *X
interfacetopbar_prisonercells_maxseconly        Capacidade Seg. Máx.: *X
interfacetopbar_prisonercells_protectedonly     Capacidade Protegida: *X
interfacetopbar_prisonercells_supermaxonly      Capacidade SuperMax: *X
interfacetopbar_prisonercells_deathrowonly      Capacidade Pena de Morte: *X
interfacetopbar_prisonercells_staffonly         Indisponível: *X
interfacetopbar_prisoners_nocells               *X prisioneiros não podem ter uma cela designada

interfacetopbar_cctv_current					Atualmente *C câmeras gravando
interfacetopbar_cctv_cap						Espaço para *C câmeras

interfacetopbar_tension_currentlevel            O nível de perigo é *X
interfacetopbar_tension_increasing              e está aumentando
interfacetopbar_tension_decreasing              e está diminuindo
interfacetopbar_tension_description             FATORES:
interfacetopbar_tension_happyprisoners          - *X detentos dizem que são bem tratados
interfacetopbar_tension_unhappyprisoners         + *X têm sérias reclamações
interfacetopbar_tension_lockedupprisoners       + *X detentos estão algemados em suas celas ou na solitária
interfacetopbar_tension_riotingprisoners        + *X detentos estão em rebelião
interfacetopbar_tension_wellfedprisoners        - *X detentos estão bem alimentados
interfacetopbar_tension_suppressedprisoners     = *X detentos foram reprimidos (complacente)
interfacetopbar_tension_activeriotguards        + *X tropas de choque estão no local
interfacetopbar_tension_activearmedguards       + *X guardas armados estão em serviço
interfacetopbar_tension_recentdeaths            + *X pessoas foram mortas recentemente
interfacetopbar_tension_recentsearches          + *X detentos foram revistados sem necessidade
interfacetopbar_tension_angrygangmembers        + *X MEMBROS DE GANGUE ESTAO FURIOSOS (líder sendo punido)
interfacetopbar_tension_recentpunishments         (SUSPENSIVO) *X punições foram aplicadas recentemente
interfacetopbar_tension_recentcalmed            *- *X detentos foram acalmados recentemente

interfacecontrol_mainmenu                       Menu Principal (Esc)
interfacecontrol_mainmenu_tooltip               Mostre o menu principal (Novo/Carregar/Salvar/Sair etc.)
interfacecontrol_todo                           Tarefas
interfacecontrol_todo_tooltip                   Exibe a lista de tarefas
interfacecontrol_research                       Burocracia
interfacecontrol_research_tooltip               Abre a tela de Burocracia, onde você pode desbloquear novos itens, tipos de funcionários e estruturas.
interfacecontrol_grading                        Classificação da Prisão
interfacecontrol_grading_tooltip                Abre a tela de Classificação da Prisão, que exibe a sua pontuação geral e o seu nível de êxito.

interface_confirmlandbuy                        Quer mesmo comprar esse terreno por $*X?
interface_loadconfirm                           Quer mesmo carregar esse mapa? O progresso não salvo será perdido.
interface_saveconfirm                           Quer mesmo salvar com esse nome de arquivo? Os dados existentes serão sobrescritos.

interface_landbuylabel                          *Xm x *Ym. Área total *A m2. *C

interface_action_dismantle                      Desmontar
interface_action_dump                           Descartar
interface_action_repair                         Reparar
interface_action_medicalbay                     Enfermaria
interface_action_search                         Revistar
interface_action_searchcell                     Revistar Cela
interface_action_searchcellblock                Revistar Bloco
interface_action_sack                           Despedir
interface_action_doormodenormal                 Modo: Normal
interface_action_doormodelockedshut             Modo: Sempre fechada
interface_action_doormodelockedopen             Modo: Sempre aberta
interface_action_switchon                       Ligar
interface_action_switchoff                      Desligar
interface_action_sellobject                     Vender objeto
interface_action_dismiss                        Dispensar
interface_action_connect                        Conectar
interface_action_clearconnections               Limpar conexões
interface_action_servoopen                      Abrir ao ativar
interface_action_servoclose                     Fechar ao ativar

interface_contents_container                    Conteúdo: *X 
interface_contents_stack                        Conteúdo: *X x *Y 

interface_skip                                  PULAR

interface_error_riotmove                        Não é possível entrar: Rebelião

interface_foundationsinprogress                 Fundações em progresso
riot_underway                                   REBELIÃO EM ANDAMENTO
riot_status_prisoners                           *X detentos estão em rebelião
shakedown_underway                              REVISTA EM ANDAMENTO
shakedown_found                                 Encontrado:

gameover_caption                                Pressione ESC para continuar

sector_jobs_max                                 Máx. Vagas *X
sector_jobs_qualified                           Detentos qualificados: *X
sector_jobs_required                            (Requer: *X)
sector_noaccess                                 SEM ACESSO
sector_insecure                                 INSEGURO



# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Teste de Compatibilidade de Hardware
hardware_compat_message					Com sua permissão, gostaríamos de coletar as seguintes informações de hardware de seu computador.\n\nEstas informações são totalmente anônimas e nos ajudarão a assegurar que o Prison Architect seja compatível com a maior gama possível de computadores.\n\nObrigado!
hardware_compat_accept					Aceitar
hardware_compat_decline					Recusar

connectionmenu_connect                  Conectar
connectionmenu_disconnect               Desconectar
connectionmenu_clear                    Limpar
connectionmenu_done                     Feito


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Construção
buildtoolbar_reports                    Relatórios
buildtoolbar_bangup                     Trancar
buildtoolbar_lockdown                   Fechar celas
buildtoolbar_shakedown                  Revistar
buildtoolbar_weaponsfree                Tiro livre

buildtoolbar_tooltip_reports			Abra a janela de relatórios para ver informações sobre seus detentos, equipe, fluxo de caixa, subsídios e mais.
buildtoolbar_tooltip_bangup				Mande todos os detentos (dispostos) de volta a suas celas. Isso deixará os detentos muito irritados se você os deixar trancafiados por muito tempo.
buildtoolbar_tooltip_lockdown			Tranque todas as portas da prisão instantaneamente.
buildtoolbar_tooltip_shakedown          Ordene a revista imediata de todas as celas. Isso levará algum tempo e deixará seus detentos muito irritados.
buildtoolbar_tooltip_weaponsfree        Autoriza os seus guardas armados a utilizarem força letal.

buildtoolbar_cost						Custo: $*C
buildtoolbar_cost_sqrft					Custo: $*C /quadrado
buildtoolbar_wages						Salário: $*W por dia
buildtoolbar_outdoor					Somente externo
buildtoolbar_indoor						Somente interno
buildtoolbar_walk_speed					Velocidade: *S
buildtoolbar_walk_speed_slow			Lento
buildtoolbar_walk_speed_norm			Normal
buildtoolbar_walk_speed_fast			Rápido
buildtoolbar_locked                     BLOQUEADO
buildtoolbar_locked_research			BLOQUEADO (Você precisa de *B)
buildtoolbar_locked_administrator		BLOQUEADO (Requer *B)
buildtoolbar_room						Setor

buildtoolbar_electrical                  - Elétrico
buildtoolbar_highpower                   - Alta Voltagem
buildtoolbar_water                       - Requer conexão hidráulica
buildtoolbar_wired                       - Conectado (conecta a outros objetos eletrificados)
buildtoolbar_modcontent                  - Conteúdo adicional

buildtoolbar_popup_foundations			Construa/Destrua edifícios para modelar sua prisão.
buildtoolbar_popup_construction			Diferentes tipos de pisos e paredes.
buildtoolbar_popup_planning				Planeje sua prisão sem medo dos operários realmente construírem.
buildtoolbar_popup_designation			Defina áreas da sua prisão com uma função especifica.
buildtoolbar_popup_objects				Coloque itens úteis na sua prisão.
buildtoolbar_popup_overlays				Identifique visualmente pontos fracos na planta da sua prisão.
buildtoolbar_popup_utilities			Sistemas elétricos e hidráulicos.
buildtoolbar_popup_staff				Empregue as pessoas necessárias para manter sua prisão funcionando.
buildtoolbar_popup_deployment			Designe funcionários para áreas de sua prisão.
buildtoolbar_popup_logistics            Designe detentos para trabalharem na prisão. Também permite o controle manual da cantina e da lavanderia.
buildtoolbar_popup_research				Desbloqueie novas possibilidades para a prisão.
buildtoolbar_popup_emergencies			Chame serviços de emergência se as coisas piorarem.
buildtoolbar_popup_spawn				Criar? Como assim?
buildtoolbar_popup_clone				Copie e cole as estruturas existentes.
buildtoolbar_popup_properties			Descubra os podres.
buildtoolbar_popup_contraband           Exibe as fontes de Contrabando e todos os itens recentemente recuperados na sua prisão. Também mostra seus Informantes Confidenciais e as informações que possuem.
buildtoolbar_popup_grading              Veja a classificação geral da sua prisão em quatro métricas principais: Punição, Reintegração, Segurança e Saúde. Também exibe a taxa de reincidência na sua prisão.
buildtoolbar_popup_room_cell			Onde seus detentos moram.
buildtoolbar_popup_room_holdingcell		Uma sala onde novos detentos são colocados enquanto uma cela é disponibilizada para eles.
buildtoolbar_popup_room_solitary		Uma forma isolada de detenção para os piores elementos.
buildtoolbar_popup_room_canteen			Onde seus detentos farão o lanche da tarde.
buildtoolbar_popup_room_kitchen			Área para os cozinheiros prepararem comida para os detentos.
buildtoolbar_popup_room_shower			Usado para manter os detentos bem limpos e livres de piolhos.
buildtoolbar_popup_room_yard			Permite que os detentos vejam o sol por algumas horas no dia sob o olhar atento da torre de vigia.
buildtoolbar_popup_room_storage			Área destinada a guardar qualquer material que os funcionários da sua prisão necessitem.
buildtoolbar_popup_room_deliveries		Onde seus bens, materiais e detentos são deixados.
buildtoolbar_popup_room_garbage			Onde o seu lixo é recolhido.
buildtoolbar_popup_room_execution		Onde você envia os detentos para morrerem.
buildtoolbar_popup_room_workshop		Onde você envia os detentos para morrerem de tédio enquanto fabricam placas de carro.
buildtoolbar_popup_room_security		Escritórios para seus oficiais.
buildtoolbar_popup_room_office			Uma área para os funcionários administrativos trabalharem.
buildtoolbar_popup_room_medicalward		Área para os funcionários médicos trabalharem.
buildtoolbar_popup_room_morgue			Para onde você envia os funcionários e detentos mortos.
buildtoolbar_popup_room_commonroom		Oferece aos detentos um tempo livre para relaxar.
buildtoolbar_popup_room_kennel          Onde seus cachorros vivem.
buildtoolbar_popup_room_chapel          O que acontece quando uma comissão de burocratas se reúne e projeta uma solução para as necessidades religiosas dos detentos? Uma "Sala de Oração Multirreligiosa'. Nós a chamamos de Capela.
buildtoolbar_popup_room_paroleroom      Os detentos se qualificam para liberdade condicional após cumprirem 50% e 75% de suas penas. Os seus destinos serão decididos nessa sala, junto com o Diretor e o Chefe de Segurança.\n\nRecomenda-se ter segurança reforçada. Os detentos ficam revoltados quando a liberdade é negada.
buildtoolbar_popup_room_library         Sua prisão receberá caixas de livros usados de toda parte do país. Os detentos deverão organizar esses livros nas prateleiras.
buildtoolbar_popup_room_intake          Onde seus detentos são levados quando chegam na prisão.

buildtoolbar_popup_obj_bed				Nem tão macia, nem tão dura; ideal. Bem, na verdade, muito dura e bem pequena.
buildtoolbar_popup_obj_toilet			Uma necessidade básica do homem, se você acredita nesses malucos.
buildtoolbar_popup_obj_table			Fica excelente com uma cadeira.
buildtoolbar_popup_obj_chair			Vai muito bem com uma mesa.
buildtoolbar_popup_obj_bench			Para sentar.
buildtoolbar_popup_obj_electricchair	Para entregar 2.000 Volts de justiça.
buildtoolbar_popup_obj_jaildoor			Mantêm os detentos onde eles deveriam estar.
buildtoolbar_popup_obj_jaildoorlarge	Mantêm vários detentos onde eles deveriam estar.
buildtoolbar_popup_obj_door				Uma simples porta.
buildtoolbar_popup_obj_solitarydoor		Uma porta reforçada para deter a fuga até mesmo dos mais fortes detentos.
buildtoolbar_popup_obj_staffdoor		Uma porta chaveada que pode ser aberta por qualquer funcionário, não apenas guardas.
buildtoolbar_popup_obj_window			Para vislumbrar o sol.
buildtoolbar_popup_obj_windowlarge		Para receber bastante sol.
buildtoolbar_popup_obj_tree				Tomar medidas contra o aquecimento global é sua responsabilidade.
buildtoolbar_popup_obj_light			Garante a visualização dos seus detentos em todas as horas do dia.
buildtoolbar_popup_obj_cooker			Dá aos seus detentos a vida de luxo com comida quente.
buildtoolbar_popup_obj_fridge			Evita que os suprimentos de comida apodreçam.
buildtoolbar_popup_obj_bin				Asseio é importante quando se trata de contrabando.
buildtoolbar_popup_obj_sink				Todos os funcionários devem lavar as mãos.
buildtoolbar_popup_obj_servingtable		Sirva comida aos detentos.
buildtoolbar_popup_obj_showerhead		Um chuveiro. Para tomar banho.
buildtoolbar_popup_obj_bookshelf		Uma prateleira para livros.
buildtoolbar_popup_obj_officedesk		Seus funcionários precisam anotar muitas coisas. Dê a eles uma bela escrivaninha para isso.
buildtoolbar_popup_obj_filingcabinet	Seus funcionários precisam ordenar tudo o que anotam.
buildtoolbar_popup_obj_medicalbed		Um lugar para guardar os entorpecentes até que os detentos os roubem.
buildtoolbar_popup_obj_morgueslab		Garante que os mortos tenham um lugar respeitoso para descansar antes de serem removidos.
buildtoolbar_popup_obj_drain			Remova água do chão.
buildtoolbar_popup_obj_sprinkler		Borrifa a área com água automaticamente no caso de incêndio.
buildtoolbar_popup_obj_metaldetector	Detecte contrabando nos detentos que passam por eles. Requer um guarda próximo para apreender o contrabando.
buildtoolbar_popup_obj_weightsbench		Permite que seus detentos se exercitem, o que os mantêm felizes.
buildtoolbar_popup_obj_phonebooth		Os detentos talvez queiram falar com seus familiares, usando essas cabines telefônicas.
buildtoolbar_popup_obj_tv				Pacifique seus detentos com lavagem cerebral medíocre.
buildtoolbar_popup_obj_largetv			Permite que vários detentos compartilhem a experiência de apodrecer a mente.
buildtoolbar_popup_obj_pooltable		Remova a monotonia da vida na prisão com uma sinuca.
buildtoolbar_popup_obj_dismantleobject	Remova um objeto da sua prisão.
buildtoolbar_popup_obj_altar            Transmite suas orações diretamente para a sua força superior preferida.
buildtoolbar_popup_obj_pews             Bancos para os fiéis. Fabricados com as madeiras mais duras e ásperas.
buildtoolbar_popup_obj_prayermat        Protege os seus detentos da sujeira do chão enquanto eles fazem suas preces.

buildtoolbar_popup_staff_workman		Constroem a prisão para você, de acordo com a planta que você fornecer.
buildtoolbar_popup_staff_guard			Utilizados para supervisionar seus detentos e mantê-los longe de problemas.
buildtoolbar_popup_staff_armedguard     Armado com uma espingarda, os detentos pensarão duas vezes antes de atacar essa pessoa.\n\nObs.: cada guarda armado requer seu próprio armário no Arsenal.
buildtoolbar_popup_staff_doctor			Curam automaticamente todas as pessoas feridas próximas, sejam guardas ou detentos.
buildtoolbar_popup_staff_cook			Alimenta seus detentos com as refeições que eles preparam.
buildtoolbar_popup_staff_gardener		Mantém o terreno da sua prisão bem cuidado.
buildtoolbar_popup_staff_janitor		Mantém o interior da prisão limpo e organizado. Também pode ajudar na lavanderia.
buildtoolbar_popup_staff_warden			O grande superintendente da sua prisão. Necessário para poder pesquisar e contratar membros da equipe avançada.
buildtoolbar_popup_staff_chief			Um membro da equipe avançada que dá acesso a itens de pesquisa de alocação, CITV e Tropa de Choque.
buildtoolbar_popup_staff_foreman		Um membro da equipe avançada que dá acesso a faxineiros e jardineiros.
buildtoolbar_popup_staff_psychologist	Um membro da equipe avançada que dá acesso ao interior da mente dos seus detentos.
buildtoolbar_popup_staff_accountant		Um membro da equipe avançada que dá acesso ao relatório financeiro.
buildtoolbar_popup_staff_lawyer			Um membro da equipe avançada que ajuda a contornar algumas leis para maior controle da prisão.

buildtoolbar_popup_uts_powerstation		Gera energia para ser utilizada na prisão.
buildtoolbar_popup_uts_capacitor		Aumenta a quantidade de energia gerada quando colocado próximo a uma estação de energia.
buildtoolbar_popup_uts_electricalcable	Distribui eletricidade para a prisão.
buildtoolbar_popup_uts_powerswitch		Alterna a disponibilidade de energia a qualquer cabo conectado.\n\nClique com o botão direito para alternar entre ligado/desligado.
buildtoolbar_popup_uts_waterpumpstation	Fornece uma fonte de água para sua prisão.
buildtoolbar_popup_uts_pipevalve		Alterna a disponibilidade de água a qualquer cano ligado a ele.
buildtoolbar_popup_uts_pipelarge		Distribui uma grande quantidade de água para sua prisão, em alta pressão. Provavelmente grande o suficiente para alguém rastejar para a liberdade por quinhentos metros de loucura fedendo a merda..\n\nNão costuma ser usado para conectar com pias, chuveiros, etc.; a pressão é muito alta. Use um cano pequeno para isso.
buildtoolbar_popup_uts_pipesmall		Usado para conectar itens como privadas, chuveiros, pias, etc. ao encanamento principal. A pressão é bem menor, então há um comprimento limitado para um pequeno cano percorrer antes que a pressão se torne muito baixa.
buildtoolbar_popup_uts_cctv				Fique de olho na prisão sem a necessidade dos guardas estarem em todos os lugares.\n\nVocê precisa conectar um monitor CITV a esta câmera para funcionar.
buildtoolbar_popup_uts_cctvmonitor		Projetado para ser construído em uma Sala de Segurança e operado por um Guarda. Monitora as câmeras CITV instaladas em sua prisão remotamente.\n\nUse a ferramenta Conectar para conectar esse monitor às câmeras CITV.\n\nObs.: um máximo de 8 câmeras podem ser visualizadas de uma vez. Se você conectar mais de oito câmeras, o monitor as percorrerá gradualmente, fornecendo cobertura parcial.
buildtoolbar_popup_uts_DoorControlSystem  Projetado para ser construído em uma Sala de Segurança e operado por um Guarda. Pode ser usado remotamente para abrir portas pela prisão remotamente.\n\nUse a ferramenta Conectar para conectar esse sistema aos servomotores de portas. Servomotores devem ser construídos sobre as portas para que sejam controlados remotamente.\n\nObs.: você pode conectar isso a quantos servomotores quiser, mas o guarda que opera o sistema pode abrir no máximo duas portas por segundo.
buildtoolbar_popup_uts_phonemonitor     Projetado para ser construído em uma Sala de Segurança e operado por um Guarda. Permite que você monitore todas as chamadas telefônicas feitas pelos detentos, obtendo informações importantes sobre planos de atividades ilegais.\n\nUtilize a ferramenta Conectar para conectar este sistema às suas cabines telefônicas.
buildtoolbar_popup_uts_Servo            Coloque um servomotor sobre uma porta que você quer controlar remotamente. Certifique-se que a engrenagem do motor esteja diretamente sobre a porta.\n\nUma vez instalado, a porta será aberta quando o servomotor for acionado, geralmente por um Sistema de Controle de Porta ou um Timer de Porta.\n\nServomotores podem ser interligados para que quando o primeiro abrir, os seguintes sejam acionados.
buildtoolbar_popup_uts_LogicCircuit     Somente arquitetos avançados.\n\nUma caixa de circuito simples que executa uma operação lógica baseada nos sinais de entrada e ativa a saída correspondente.\n\nOperações disponíveis: And / Or / Not / Nand / Nor / Xor\n\nClique com o botão direito do mouse para percorrer as operações lógicas.
buildtoolbar_popup_uts_LogicBridge      Apenas arquitetos avançados.\n\nConverte o sinal de entrada e envia aos Cabos Elétricos instalados no mesmo lugar. O cabo elétrico transporta o sinal a qualquer outro circuito lógico instalado no mesmo cabo elétrico.\n\nPode ser utilizado para "difundir" um sinal comum para toda a prisão, útil para transmitir um sinal de relógio comum.
buildtoolbar_popup_uts_DoorTimer        Pode ser utilizado para abrir portas automaticamente em determinados horários.\n\nUse a ferramenta Conectar para conectar esse temporizador aos servomotores das portas.
buildtoolbar_popup_uts_Wire             Conecta os sistemas de acesso remoto.
buildtoolbar_popup_uts_showallwires		Exibe todas as conexões em sua prisão.
buildtoolbar_popup_uts_remotedoor       Uma porta de metal reforçada que não pode ser aberta com uma chave (só pode ser aberta remotamente). Use essa porta para prevenir fugas em massa quando um detento possuir chaves da prisão.
buildtoolbar_popup_uts_dismantleutility	Remove um objeto de utilidade da sua prisão.
buildtoolbar_popup_uts_pressurepad      Envia um sinal para objetos conectados sempre que algo estiver sobre a placa.
buildtoolbar_popup_uts_statuslight      Acende em vermelho ou verde, dependendo do sinal que estiver recebendo.

buildtoolbar_popup_autolights_name      Luzes automáticas
buildtoolbar_popup_autolights           Instalação automática das luzes
buildtoolbar_popup_autolights_desc      Quando selecionado, as luzes são instaladas automaticamente pelos novos edifícios criados quando estiverem concluídos.

buildtoolbar_contraband_source          Exibe todos os locais da sua prisão em que é possível pegar contrabandos.
